Speed Up|Battle speed will be doubled|Tap the item while in battle|to toggle it on or off.|＠|
Treasure Radar|100% Chance of Treasure.|Get a Superior Treasure or the |standard reward upon victory.|＠|
Rich Cat|Your Worker Cat will start|the battle at MAX Level|＠||
Cat CPU|Cat CPU will control your base|and fight for you. Don't expect much.|＠||
Cat Jobs|Receive 1.5 times more experience|than usual upon stage clear.|＠||
Sniper the Cat|Cat sniper provides cover fire and|pushes back enemies. Attack power is|proportional to your Cat Base's health.|＠|
XP|Purchase XP to power up your Cat Units!|＠|＠||
NP|＠||||
dummy|＠||||
dummy|＠||||
5000 XP|＠||||
10000 XP|＠||||
30000 XP|＠||||
50000 XP|＠||||
100000 XP|＠||||
200000 XP|＠||||
500000 XP|＠||||
1000000 XP|＠||||
2000000 XP|＠||||
XP 500000|＠||||
Cat Ticket|＠||||
Rare Ticket|＠||||
Cat Food|Used to purchase Items, XP and other goods.|＠|||
Lucky Ticket|＠||||
|＠||||
|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Platinum Ticket|＠||||
Purple Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Red Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Blue Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Green Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Yellow Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Purple Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Red Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Blue Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Green Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Yellow Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Epic Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Elder Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Elder Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Epic Catfruit Seed|The seed of a mystical fruit that helps|certain Cats realize their True potential.|＠||
Gold Catfruit|A mystical fruit that helps certain|Cats realize their True potential.|＠||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Lucky Ticket|＠||||
Catseye [Special]|Raise level cap for one Special Cat.|※Usable on Level 30 Cat Units.|＠||
Catseye [Rare]|Raise level cap for one Rare Cat.|※Usable on Level 30 Cat Units.|＠||
