28,266,-1,101268,101268,    //マップ番号 0～16,　アイテム報酬型ステージ設定(-1:OFF),　スコア報酬型ステージ設定(-1:OFF)
8,						//マップパターン 0～
2004,164000,3,99,33,10,6,2130000,0,30,6,1320000,100,6,610000,-1,	//1ステージ			//1ステージ
2004,180000,30,99,32,10,6,2630000,0,30,6,1620000,100,6,810000,-1,			//1ステージ
2004,196000,31,100,31,10,6,3230000,0,30,6,2220000,100,6,1210000,-1,			//1ステージ

//超極悪ゲリラ経験値にゃ！（ネコビタン）
//消費統率力			0
//クリア時の獲得XP		1
//サウンド（スタート時）	2
//サウンド ボス出現時の城体力％	3
//サウンド（ボス）		4
//アイテム入手確率		0～100%
//アイテム番号	0:スピードアップ	1:トレジャーレーダー	2:ネコボン	3:ニャンピュータ	4：おかめはちもく	5:スニャイパー	6:XP	11:にゃんこチケット	12：レアチケット
//貰える数		0
