25,-1,113,-1,-1
1
50,950,3,100,3,5,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,0,1,-1
70,1330,30,100,30,10,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,3,1,-1
80,1520,33,100,33,20,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,50000,-1
90,1710,3,100,3,50,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,4,1,-1
100,1900,30,100,30,100,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,5,1,-1
110,2090,33,100,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
120,2280,3,100,3,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,55,3,-1
140,2660,30,100,30,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,56,3,-1
150,2850,33,100,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,57,3,-1
200,3800,34,100,34,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
