MapID	画像番号	1:MapPNG	1:配置x	1:配置y	1:使用imgcutID	2:MapPNG	2:配置x	2:配置y	2:使用imgcutID	3:MapPNG	3:配置x	3:配置y	3:使用imgcutID	4:MapPNG	4:配置x	4:配置y	4:使用imgcutID	5:MapPNG	5:配置x	5:配置y	5:使用imgcutID	6:MapPNG	6:配置x	6:配置y	6:使用imgcutID	7:MapPNG	7:配置x	7:配置y	7:使用imgcutID	8:MapPNG	8:配置x	8:配置y	8:使用imgcutID																																																																																												
0	-1	0	267	148	0	1	1285	158	0	1	1285	664	1																																																																																																																
1	-1	0	253	284	0	1	1271	293	0	1	1271	799	1																																																																																																																
2	-1	0	262	265	0	1	1280	274	0	1	1280	780	1																																																																																																																
3	-1	0	262	340	0	1	1280	379	0	1	1280	885	1																																																																																																																
4	-1	0	304	260	0	1	1322	260	0	1	1322	766	1																																																																																																																
5	-1	0	141	317	0																																																																																																																								
6	-1	0	297	298	0																																																																																																																								
7	-1	0	310	204	0																																																																																																																								
8	-1	0	171	323	0	1	1189	323	0	1	1189	829	1																																																																																																																
9	-1	0	333	348	0																																																																																																																								
10	-1	0	322	347	0	1	1340	347	0	1	1340	853	1																																																																																																																
11	-1	0	339	357	0	1	1357	357	0	1	1357	863	1																																																																																																																
12	-1	0	282	277	0	1	1300	277	0	1	1300	783	1																																																																																																																
13	-1	0	294	340	0																																																																																																																								
14	-1	0	331	352	0	1	1349	352	0	1	1349	858	1																																																																																																																
15	-1	0	315	346	0	1	1333	346	0	1	1333	852	1																																																																																																																
16	-1	0	236	283	0	1	242	1271	0																																																																																																																				
17	-1	0	90	75	0	1	1108	84	0																																																																																																																				
18	-1	0	64	197	0	0	1083	321	1																																																																																																																				
19	-1	0	94	2869	0	0	130	2509	1	0	124	2149	8	0	130	1789	1	0	0	1130	2	0	131	1169	9	0	130	809	1	0	130	449	1																																																																																												
20	-1	0	64	197	0																																																																																																																								
21	-1	0	300	300	0	1	1298	300	0	1	300	1298	1	1	891	1298	2																																																																																																												
22	-1																																																																																																																												
23	-1	0	300	300	0	1	1295	304	0	1	301	1298	1	1	939	1298	2																																																																																																												
24	-1	0	142	248	0	0	1161	248	1	0	1425	641	2																																																																																																																
25	-1	0	68	78	0																																																																																																																								
26	-1	0	0	0	0																																																																																																																								
27	-1																																																																																																																												
28	-1	0	91	111	0																																																																																																																								
29	-1	0	68	78	0																																																																																																																								
30	-1																																																																																																																												
31	-1	0	0	0	0																																																																																																																								
32	-1	0	0	0	0																																																																																																																								
33	-1	0	0	0	0																																																																																																																								
34	-1	0	0	0	0																																																																																																																								
35	-1	0	0	0	0																																																																																																																								
36	-1	0	1	35	2	0	122	175	0	0	121	1109	0	0	3	2044	1																																																																																																												
37	-1	0	0	0	0	0	1837	33	1	0	-22	25	2																																																																																																																
38	-1	0	0	0	0	0	-20	25	2	0	2115	196	3	0	2120	280	4	0	1130	27	1																																																																																																								
39	-1	0	0	0	0																																																																																																																								
40	-1	1	91	93	0	0	1429	93	0																																																																																																																				
41	-1	0	0	0	0																																																																																																																								
42	-1	0	0	0	0	1	2701	0	0	2	0	1920	0	3	2701	1920	0																																																																																																												
43	-1	0	0	0	0																																																																																																																								
44	-1	0	0	0	0																																																																																																																								
45	-1	0	1738	793	0	1	970	1342	0	1	2521	684	6	1	2560	244	4	1	2862	60	5	1	1015	1848	7	1	1021	1965	8	1	1021	1988	9	1	875	1562	10	1	1493	1226	11	1	2163	1690	12	1	2205	1796	13	1	2808	18	14	1	2291	1149	1	1	892	1737	1	1	922	1327	2	1	1190	1773	2	1	2005	1560	2	1	1506	1671	2	1	2342	1416	2	1	2775	608	3	1	2712	271	3	1	2465	1224	3	1	1797	1271	3	1	3040	301	2	1	3347	336	15	1	2705	844	2	1	1911	1142	2
46	-1	0	94	2869	0	0	130	2509	1	0	124	2149	8	0	130	1789	1	0	0	1130	2	0	131	1169	9	0	130	809	1	0	130	449	1						
47	45	0	1738	793	0	1	970	1342	0	1	2521	684	6	1	2560	244	4	1	2862	60	5	1	1015	1848	7	1	1021	1965	8	1	1021	1988	9	1	875	1562	10	1	1493	1226	11	1	2163	1690	12	1	2205	1796	13	1	2808	18	14	1	2291	1149	1	1	892	1737	1	1	922	1327	2	1	1190	1773	2	1	2005	1560	2	1	1506	1671	2	1	2342	1416	2	1	2775	608	3	1	2712	271	3	1	2465	1224	3	1	1797	1271	3	1	3040	301	2	1	3347	336	15	1	2705	844	2	1	1911	1142	1	2	2400	1700	0	2	1270	1811	1	2	2999	673	2																																								
48	-1	0	0	4000	0	1	0	2000	0	2	0	0	0																																									
