76,93,85,1,					//下地のカラーR,G,B,点線,
8,	//A
1184,565,						//1
1092,667,						//2
1192,802,						//3
1142,950,						//4
902,872,						//5
838,705,						//6
656,860,						//7
555,638,						//8
8,	//B
657,768,						//1
555,617,						//2
760,572,						//3
936,747,						//4
1142,688,						//5
1151,858,						//6
1029,1013,					//7
1294,989,					//8
3,	//C
711,919,						//1
940,852,						//2
1073,656,						//3
1,	//D
949,790,						//1
6,	//E
595,585,						//1
670,761,						//2
835,720,						//3
1060,670,						//4
1243,784,						//5
1228,945,						//6
2,	//F
1228,945,						//1
949,790,						//2
5,	//G
1228,945,						//1
1128,661,						//2
925,701,						//3
745,853,						//4
595,585,						//5
5,	//H
595,585,						//1
745,853,						//2
925,701,						//3
1128,661,						//4
1228,945,						//5
20,	//I
653,543,						//1
592,667,						//2
563,806,						//3
674,925,						//4
809,1005,						//5
971,1047,						//6
1126,1020,						//7
1256,952,						//8
1301,821,						//9
1270,682,						//10
1143,582,						//11
967,554,						//12
772,590,						//13
726,750,						//14
815,872,						//15
1000,926,						//16
1151,875,						//17
1149,745,						//18
1001,680,						//19
932,787,						//20
20,	//J
484,674,						//1
632,720,						//2
586,841,						//3
756,862,						//4
817,1031,						//5
1006,1002,						//6
1237,1036,						//7
1172,878,						//8
1324,868,						//9
1281,671,						//10
1107,774,						//11
970,877,						//12
835,764,						//13
985,691,						//14
1146,634,						//15
1002,527,						//16
849,601,						//17
673,489,						//18
615,589,						//19
743,670,						//20
3,	//K
1218,921,						//1
1068,661,						//2
759,628,						//3
3,	//L
631,692,						//1
812,897,						//2
1154,918,						//3
10,	//M
577,528,						//1
779,650,						//2
585,803,						//3
835,854,						//4
817,1031,						//5
1053,989,						//6
979,762,						//7
1044,578,						//8
1266,734,						//9
1239,948,						//10
5,	//N
947,990,						//1
1154,826,						//2
834,817,						//3
669,672,						//4
958,582,						//5
4,	//O
711,919,						//1
940,852,						//2
1073,656,						//3
850,675,						//4
//ステージ数
//x,y,
