0	0	a923lm	世界編第1章台湾クリア
0	1	x1bpff	世界編第1章香港クリア
0	5	m8eqme	世界編第1章韓国クリア
0	6	77ya40	世界編第1章日本クリア
0	7	e2tb1o	世界編第1章オーストラリアクリア
0	8	zhfk31	世界編第1章シンガポールクリア
0	11	qc2l1r	世界編第1章ネパールクリア
0	12	2p3pu1	世界編第1章ドバイクリア
0	13	ru8oum	世界編第1章サウジアラビアクリア
0	16	1j6ieh	世界編第1章南アフリカクリア
0	17	3fu6ce	世界編第1章ガーナクリア
0	18	yk04y9	世界編第1章サハラ砂漠クリア
0	25	a3o86t	世界編第1章スペインクリア
0	26	you9ed	世界編第1章フランスクリア
0	27	i7mczp	世界編第1章ドイツクリア
0	38	9top8f	世界編第1章アルゼンチンクリア
0	39	xmmk9z	世界編第1章マチュピチュクリア
0	40	3wwxaf	世界編第1章イースター島クリア
0	46	dxr9hw	世界編第1章ハワイクリア
0	47	sqpztn	世界編第1章月クリア
1	0	l9dgvq	世界編第2章台湾クリア
1	1	2a9do6	世界編第2章香港クリア
1	2	bdwg2y	世界編第2章タイクリア
1	38	2da0zi	世界編第2章アルゼンチンクリア
1	39	fvgdbg	世界編第2章マチュピチュクリア
1	40	d88jyc	世界編第2章イースター島クリア
1	46	nd3g2g	世界編第2章ハワイクリア
1	47	aoi420	世界編第2章月クリア
2	0	62r1vn	世界編第3章台湾クリア
2	1	c1jfm7	世界編第3章香港クリア
2	3	kyqzua	世界編第3章中国クリア
2	38	v9opbs	世界編第3章アルゼンチンクリア
2	39	g5j5kg	世界編第3章マチュピチュクリア
2	40	7zx9fy	世界編第3章イースター島クリア
2	46	9xmtq2	世界編第3章ハワイクリア
2	47	wlpqru	世界編第3章月クリア
4	0	ca31sw	未来編第1章日本クリア
4	1	onkqlb	未来編第1章韓国クリア
4	4	6bvbo5	未来編第1章モンゴルクリア
4	5	bhkybj	未来編第1章ロシアクリア
4	6	xuprrc	未来編第1章ノルウェークリア
4	14	omrk6x	未来編第1章ギリシャクリア
4	15	lq6u3h	未来編第1章トルコクリア
4	16	4dfyxw	未来編第1章ドバイクリア
4	18	5pyq6q	未来編第1章ネパールクリア
4	19	spdz92	未来編第1章タイクリア
4	20	5mg8gk	未来編第1章香港クリア
4	22	fz0eyn	未来編第1章オーストラリアクリア
4	23	bbb1ty	未来編第1章深淵の大渦クリア
4	24	6xh0a9	未来編第1章マダガスカルクリア
4	45	mwnftf	未来編第1章ブラジルクリア
4	46	ymy6a4	未来編第1章浮遊大陸クリア
4	47	yan0bz	未来編第1章月クリア
5	0	lbdt43	未来編第2章日本クリア
5	1	18f6qr	未来編第2章韓国クリア
5	22	cs8no5	未来編第2章オーストラリアクリア
5	23	8245aa	未来編第2章深淵の大渦クリア
5	24	b0wkzb	未来編第2章マダガスカルクリア
5	45	5c3jyh	未来編第2章ブラジルクリア
5	46	o5zbkv	未来編第2章浮遊大陸クリア
5	47	yiqopk	未来編第2章月クリア
6	0	h7v1z3	未来編第3章日本クリア
6	1	ob1me4	未来編第3章韓国クリア
6	22	vqmzy6	未来編第3章オーストラリアクリア
6	23	g3kngp	未来編第3章深淵の大渦クリア
6	24	2zloqd	未来編第3章マダガスカルクリア
6	45	qzrc7h	未来編第3章ブラジルクリア
6	46	q02uud	未来編第3章浮遊大陸クリア
6	47	h67c1c	未来編第3章月クリア
7	0	j0rnhu	宇宙編第1章地球クリア
7	23	psxai4	宇宙編第1章惑星スナッククリア
7	47	oe5abx	宇宙編第1章ビッグバンクリア
8	0	f3nixa	宇宙編第2章地球クリア
8	23	p0iudw	宇宙編第2章惑星スナッククリア
8	47	oat5si	宇宙編第2章ビッグバンクリア
9	0	p9p8hs	宇宙編第3章地球クリア
9	23	2m4bdx	宇宙編第3章惑星スナッククリア
9	47	29ocq1	宇宙編第3章ビッグバンクリア
