slot_font_size	18
slot_bg_y	100
slot_name_margin_top	2
slot_name_margin_left	11
slot_page_y_offset	31
slot_font_size2	14
slot_name_margin_top2	9
slot_name_margin_left2	10
battle_wave_s_st	20
battle_wave_s_inter	2
battle_wave_s_frame1	2
battle_wave_s_frame2	5
battle_slot_2lines_line	95
battle_slot_2lines_y	-15
battle_zoom_y	520
battle_zoom_slot_y	500
battle_zoom_castle_y	20
battle_slot_desc_wait	14
battle_death_volcano_time	21
battle_super_beast_hunter	2500
battle_super_beast_hunter_df	600
boost_speed	3
logo_gimmick_sec	20
logo_gimmick_probability	25
logo_gimmick_increase	10
battle_demon_summon_frame	50
battle_demon_summon_se_frame	18
battle_castle_x0	130
battle_castle_y0	-30
battle_castle_x1	-130
battle_castle_y1	-30
battle_castle_x2	0
battle_castle_y2	0
volume_percentage_s	20
volume_percentage_m	50
volume_percentage_l	100
summon_position	-150
battle_super_sage_weaken	70
battle_super_sage_freeze	70
battle_super_sage_slow	70
battle_super_sage_curse	70
battle_super_sage_knockback	70
battle_super_sage_hunter_weaken	70
battle_super_sage_hunter_freeze	70
battle_super_sage_hunter_slow	70
battle_super_sage_hunter_curse	70
battle_super_sage_hunter_knockback	70
battle_super_sage_hunter_warp	70
battle_super_sage_hunter_damage1	1200
battle_super_sage_hunter_damage2	500
battle_metal_killer_hp_type	1
catbase_banner1	3
catbase_banner2	-2
story_fast_forward_speed	3
battle_explosion_frame1	11
battle_explosion_frame2	15
battle_explosion_frame3	0
battle_explosion_frame4	10
battle_explosion_width1	600
battle_explosion_width2	400
battle_explosion_width3	400
battle_explosion_damage1	100
battle_explosion_damage2	70
battle_explosion_damage3	40
battle_af_death_volcano_distance	800
battle_af_death_volcano_width	1200
battle_af_condition_production_0	2
battle_af_condition_production_1	2
battle_af_condition_production_2	2
battle_af_condition_production_3	2
battle_af_condition_production_4	2
battle_af_condition_production_5	2
battle_af_condition_production_type	0
autoset_level_param	5
autoset_chara_score	50
autoset_must_param	5
autoset_cut_score	0
battle_powerup_kill_enemy	10
comeback_treasure_day	14
