mission_id,unlock_condition_id,priority,popup_condition,item_category,item,item_count
0,1,28001,0,0,22,20
1,2,28001,0,0,22,20
2,2,28002,0,0,22,20
3,2,28002,0,0,22,20
4,6,28004,0,0,22,20
5,9,28006,0,0,22,20
6,2,28020,0,0,22,20
7,11,28008,0,0,22,20
8,1,28010,0,0,22,20
9,2,28010,0,0,22,20
10,3,28010,0,0,22,20
11,5,28010,0,0,22,20
12,6,28010,0,0,22,20
13,7,28010,0,0,22,20
14,8,28010,0,0,22,20
15,16,28100,0,0,22,50
16,9,28102,0,0,22,50
17,10,28104,0,0,22,100
18,9,28106,0,0,22,50
19,12,28108,0,0,22,50
20,13,28110,0,0,22,100
21,1,28030,0,0,22,20
22,12,28112,0,0,22,100
23,19,28114,0,0,22,100
24,1,0,0,0,29,1
25,20,28116,0,0,22,150
26,2,0,0,0,29,1
27,30,28200,0,0,29,1
28,30,28201,0,0,29,1
29,2,0,0,0,29,1
8000,15,29000,0,0,6,100000
8001,15,29001,0,0,20,1
8002,15,29002,0,0,57,1
8003,15,29003,0,0,20,1
8004,15,29004,0,0,22,20
8005,11,29005,0,0,6,100000
8006,11,29006,0,0,20,1
8007,11,29007,0,0,6,100000
8008,11,29008,0,0,20,1
8009,11,29009,0,0,20,1
8010,11,29010,0,0,22,30
8011,11,29011,0,0,22,30
9000,17,2000,1,1,352,1
9001,9,20000,0,0,20,1
9002,9,20001,0,0,20,1
9003,9,20002,0,0,20,1
9004,9,20003,0,0,6,50000
9005,9,20004,0,0,22,30
9006,9,10000,0,0,22,10
9007,9,10001,0,0,22,10
9008,9,10002,0,0,22,10
9009,9,10003,0,0,22,10
9010,9,10004,0,0,22,10
9011,9,20050,1,0,20,1
9012,9,20051,0,0,20,1
9013,9,20052,0,0,20,1
9014,9,20053,0,0,22,30
9015,9,99999,1,0,22,10
9016,9,99999,0,0,22,10
9017,9,99999,0,0,22,10
9018,9,99999,0,0,22,10
9019,2,3000,1,0,22,55
9020,9,3001,1,0,22,55
9021,2,3002,0,0,22,55
9022,2,99999,1,0,22,10
9023,2,99999,0,0,22,10
9024,2,99999,0,0,22,10
9025,2,99999,0,0,22,10
9026,2,99999,0,0,22,10
9027,2,99999,0,0,22,10
9028,18,2001,1,1,383,1
9029,2,20100,1,0,22,10
9030,2,20101,0,0,22,10
9031,2,20102,0,0,22,10
