Grenat stellaire|Les attaques contre les aliens étoilés|sont beaucoup plus puissantes.|
Béryl moucheté|Les attaques contre les aliens étoilés|sont beaucoup plus puissantes.|
Citrine lunaire|Les attaques contre les aliens étoilés|sont beaucoup plus puissantes.|
Topaze de Ganymède|Les attaques contre les aliens étoilés|sont beaucoup plus puissantes.|
Améthyste de Callisto|Les attaques contre les aliens étoilés|sont beaucoup plus puissantes.|
Fruit de titane|Les capacités anti-métal|ont un effet amélioré.|
Fruit antimatière|Les capacités anti-zombie|ont un effet amélioré.|
Fruit énigme|Les capacités anti-alien|ont un effet amélioré.|
Matière noire|Le maximum de Charburant|est augmenté.|
Neutrino|L’XP que tu reçois dans|les batailles est augmentée.|
Masque mystère|Un effet étrange est activé|une fois le ch.1 terminé !|
???|Tous les trésors requis n’ont|pas encore été trouvés.|
???|Trouve tous les trésors pour augmenter|la puissance d’att. contre les aliens étoilés.|
???|Trouve tous les trésors pour augmenter|la puissance d’att. contre les aliens étoilés.|
???|Trouve tous les trésors pour augmenter|la puissance d’att. contre les aliens étoilés.|
???|Trouve tous les trésors pour augmenter|la puissance d’att. contre les aliens étoilés.|
???|Trouve tous les trésors pour augmenter|la puissance d’att. contre les aliens étoilés.|
???|Trouve tous les trésors pour augmenter|l’efficacité des capacités anti-métal.|
???|Trouve tous les trésors pour augmenter|l’efficacité des capacités anti-zombie.|
???|Trouve tous les trésors pour augmenter|l’efficacité des capacités anti-alien.|
???|Trouve tous les trésors pour augmenter|le maximum de Charburant.|
???|Trouve tous les trésors pour augmenter|l’XP gagnée en terminant un niveau.|
???|???|
