GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID	CharaID	waitmaanimON_OFF
0	0	20	1	0	0	0	-1	0
1	0	20	1	0	1	0	-1	0
2	0	20	1	0	2	0	-1	0
3	0	20	1	0	3	0	-1	0
4	0	20	1	0	4	0	-1	0
5	0	20	1	0	5	0	-1	0
6	0	76	2	1	6	6	-1	0
7	0	77	3	1	7	7	-1	0
8	0	93	2	1	6	6	-1	0
9	0	94	3	1	7	7	-1	0
10	0	49	2	1	6	6	-1	0
11	0	95	3	1	7	7	-1	0
12	0	96	3	1	7	7	-1	0
13	0	97	3	1	7	7	-1	0
14	0	98	3	1	7	7	-1	0
15	0	99	2	1	6	6	-1	0
16	0	100	3	1	7	7	-1	0
17	0	101	2	1	6	6	-1	0
18	0	102	3	1	7	7	-1	0
19	0	103	3	1	7	7	-1	0
20	0	104	2	1	6	6	-1	0
21	0	106	3	1	7	7	-1	0
22	0	107	2	1	6	6	-1	0
23	0	108	3	1	7	7	-1	0
24	0	109	3	1	7	7	-1	0
25	0	110	2	1	6	6	-1	0
26	0	112	2	1	6	6	-1	0
27	0	113	3	1	7	7	-1	0
28	0	114	3	1	7	7	-1	0
29	0	115	3	1	7	7	-1	0
30	0	116	2	1	6	6	-1	0
31	0	117	2	1	6	6	-1	0
32	0	118	3	1	7	7	-1	0
33	0	119	3	1	7	7	-1	0
34	0	120	3	1	7	7	-1	0
35	0	121	3	1	7	7	-1	0
36	0	122	2	1	6	6	-1	0
37	0	124	3	1	7	7	-1	0
38	0	125	3	1	7	7	-1	0
39	0	126	2	1	6	6	-1	0
40	0	127	2	1	6	6	-1	0
41	0	128	3	1	7	7	-1	0
42	0	129	3	1	7	7	-1	0
43	0	130	3	1	7	7	-1	0
44	0	131	3	1	7	7	-1	0
45	0	132	2	1	6	6	-1	0
46	0	133	3	1	7	7	-1	0
47	0	134	2	1	6	6	-1	0
48	0	135	3	1	7	7	-1	0
49	0	136	2	1	6	6	-1	0
50	0	138	3	1	7	7	-1	0
51	0	139	2	1	6	6	-1	0
52	0	141	3	1	7	7	-1	0
53	0	142	3	1	7	7	-1	0
54	0	143	2	1	6	6	-1	0
55	0	144	3	1	7	7	-1	0
56	0	146	3	1	7	7	-1	0
57	0	147	2	1	6	6	-1	0
58	0	148	2	1	6	6	-1	0
59	0	149	3	1	7	7	-1	0
60	0	150	3	1	7	7	-1	0
61	0	154	3	1	7	7	-1	0
62	0	155	2	1	6	6	-1	0
63	0	156	3	1	7	7	-1	0
64	0	20	7	0	8	0	-1	1
65	0	20	1	0	5	0	-1	0
