Bebida energética|¡Activada!|Aumenta la eficiencia del Gatopeón.|
Caja fuerte gigante|¡Activada!|Aumenta la capacidad del monedero.|
Reloj de relatividad|¡Activado!|Acelera la producción de gatos.|
Piedra filosofal|¡Activada!|Aumenta la XP recibida en las batallas.|
Muro inteligente|¡Activado!|Aumenta la vida de la base gatuna.|
Caja registradora|¡Activada!|Ganas más dinero al vencer enemigos.|
Escudo legendario|¡Activado!|Aumenta la vida de los gatos.|
Espada legendaria|¡Activada!|Mejora el ataque de los gatos.|
Núcleo de energía|¡Activado!|Mejora el ataque de la gatorreta.|
Turbina|¡Activada!|Acelera la recarga de la gatorreta.|
Biblia de gestión|¡Activada!|Aumenta el límite de energía.|
¿?|No tienes suficientes|tesoros para activar esto.|
¿?|Reúne estos tesoros para acelerar|la producción de dinero en la batalla.|
¿?|Reúne estos tesoros para aumentar|la capacidad del monedero.|
¿?|Reúne estos tesoros para aumentar|la producción de gatos en la batalla.|
¿?|Reúne estos tesoros para aumentar|la XP que recibes al superar una fase.|
¿?|Reúne estos tesoros para aumentar|la vida de tu base gatuna.|
¿?|Reúne estos tesoros para aumentar|el dinero que ganas al vencer enemigos.|
¿?|Reúne estos tesoros para aumentar|para mejorar la vida de los gatos.|
¿?|Reúne estos tesoros para aumentar|para mejorar el ataque de los gatos.|
¿?|Reúne estos tesoros para aumentar|el ataque de la gatorreta.|
¿?|Reúne estos tesoros para acelerar|la recarga de la gatorreta.|
¿?|Reúne todos los tesoros|para aumentar el límite de energía.|
