0,0,0,0,10,
0,0,0,0,20,
0,0,0,0,30,
1,0,0,0,10,
1,0,0,4,20,
1,0,0,0,30,
1,1,8,9,10,
1,1,0,0,20,
1,2,8,9,10,
1,2,0,0,20,
2,0,0,1,10,
2,0,0,4,20,
2,0,0,0,30,
2,1,8,10,10,
2,1,0,0,20,
2,2,8,10,10,
2,2,0,0,20,
3,0,0,2,10,
3,0,0,4,20,
3,0,0,0,30,
3,1,8,11,10,
3,1,0,0,20,
3,2,8,11,10,
3,2,0,0,20,
4,0,0,3,10,
4,0,0,4,20,
4,0,0,0,30,
4,1,8,12,10,
4,1,0,0,20,
4,2,8,12,10,
4,2,0,0,20,
5,0,0,5,10,
5,0,0,4,20,
5,0,0,0,30,
5,1,8,13,10,
5,1,0,0,20,
5,2,8,13,10,
5,2,0,0,20,
6,0,0,6,10,
6,0,0,4,20,
6,0,0,0,30,
6,1,8,14,10,
6,1,0,0,20,
6,2,8,14,10,
6,2,0,0,20,
7,0,0,7,10,
7,0,0,4,20,
7,0,0,0,30,
7,1,8,15,10,
7,1,0,0,20,
7,2,8,15,10,
7,2,0,0,20,
