25,-1,133,-1,-1
13
50,950,3,100,3,5,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,0,1,-1
60,1140,30,100,30,5,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,3,1,-1
70,1330,31,100,31,10,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,50000,-1
80,1520,32,100,32,10,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
90,1710,33,100,33,20,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,55,3,-1
100,1900,3,100,3,20,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,5,1,-1
110,2090,30,100,30,50,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
120,2280,31,100,31,50,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,4,1,-1
130,2470,32,100,32,100,1030,1,-2,-2,-2,-2,-2,-2,-2,1,500,56,3,-1
140,2660,33,100,33,100,1063,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,500000,-1
150,2850,3,99,30,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
160,3040,30,99,31,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,57,3,-1
170,3230,31,99,32,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,1,1,-1
180,3420,32,99,33,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,11,1,-1
190,3610,33,99,4,0,1,1,-2,-2,-2,-2,-2,-2,-2,1,500,6,1000000,-1
