0|只要提高角色們的等級|強化貓咪們的戰力就會|更有利於打倒強敵喔！|＠|＠
0|在已經過關的關卡中|累積經驗值之後再來挑戰喵！|＠|＠|＠
0|一直無法勝利時|收集各國寶物就是最好的方式啦！|屆時貓咪們的力量|就會一舉提高數倍喔！|＠
1|價格便宜的貓咪角色們多生產一些|讓他們來保護遠距離攻擊的貓咪吧！|這就是帶領貓咪軍團朝向|勝利之路的秘訣喵！|＠
2|偶爾發動看看|神的力量會很有意思喔！|＠|＠|＠
3|只要使用各種道具|可以讓你更容易過關喔！|於每天活動關卡系列中|過關就有機會獲得各種道具唷！|＠
4|在第一章裡收集到的寶物效果|也可以在第二章使用唷！|一直無法勝利時|利用寶物來大幅強化吧！|＠
5|比起「粗劣的」寶物，|收集滿「最棒的」寶物效果更好喔！|如果統率力還足夠|就一關一關再去收集最棒的寶物吧！|＠
5|擁有範圍攻擊的角色|可以幫助你把小嘍囉一掃而空！|根據戰況充分的運用|能使出範圍攻擊的EX角色吧！|＠
6|基本角色達到第３進化後|戰力也會大大提升喔！|趕快收集更多貓咪轉蛋券|以轉蛋來提升基本角色等級吧！|＠
7|異星戰士是很強的敵人喵！|征服世界篇後把角色升級|或者收集對異星戰士很強|的寶物後再來復仇喵！|＠
8|在世界篇收集到的寶物|於未來篇也可發揮功力喔！|收集滿所有「最棒的」寶物再挑戰吧！|＠|＠
9|只要等級排行提高的話|就可以進一步強化貓咪們的能力喔！|只要多多進行升級，「等級排行」|就可慢慢提高喵！！|＠
10|無法獲勝的話將未來篇的寶物收集齊全，|對異星戰士的能力就會提升唷！|好好運用貓咪聯組|再來進行挑戰吧喵！|＠
11|想知道更多貓咪小知識嗎？|那就按按貓咪基地的貓咪對話框|你會獲得很多攻略唷！|＠|＠
11|面對鋼鐵屬性的敵人|用「會心一擊」最有效啦！|馬上確認你的貓咪軍團|組織有效對抗鋼鐵敵人的隊伍吧！|＠
12|稀有度越高的角色們|可是靠基本角色們的漸漸成長|才會如此活躍的唷！|日益精進很重要！|＠
13|在「傳奇故事」模式可以獲得|較多的經驗值喔！|回頭再挑戰已過關的關卡|繼續累積經驗值吧！|＠
14|「小小圓」與「小小焰」的|深厚羈絆將更改絕望命運！|＠|＠|＠
15|宇宙篇有許多未來篇|沒有出現過的異星敵人唷!|收集更多宇宙篇的寶物|對異星敵人的攻擊就會更強大!|＠
16|聽說宇宙裡沉睡著一個|此處才會發揮效果的寶物呢!|快想辦法收集寶物大反擊吧!|＠|＠
17|對抗有「護盾」的敵人|用「破壞護盾」能力極為有效|確認手上的角色能力|派出最佳陣容出擊吧！|＠
18|對上使用「傳送」能力的敵人時|「傳送無效」能力極為有效|確認手上的角色能力|派出最佳陣容出擊吧！|＠
19|對上使用「傳送」能力的敵人時|「傳送無效」能力極為有效|確認手上的角色能力|派出最佳陣容出擊吧！|＠
20|對抗有「護盾」的敵人|必須要用超過護盾強度的攻擊|一擊打破護盾後才能對其造成傷害！|派出最強的貓咪們迎戰吧！|＠
21|對抗有「護盾」的敵人|必須要用超過護盾強度的攻擊|一擊打破護盾後才能對其造成傷害！|派出最強的貓咪們迎戰吧！|＠
22|有星星的異星戰士很強唷！|快收集對抗有星星的異星戰士很強|的寶物大反擊吧！|＠|＠
23|只要用超過護盾強度的攻擊|即使沒有「破壞護盾」的能力|也可以破壞護盾喵！|＠|＠
24|聽說宇宙裡沉睡著一個|此處才會發揮效果的寶物呢！|快想辦法收集寶物大反擊吧！|＠|＠
25|聽說宇宙裡沉睡著一個|此處才會發揮效果的寶物呢！|快想辦法收集寶物大反擊吧！|＠|＠
26|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
26|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
26|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
27|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
27|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
27|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
28|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
28|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
28|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
29|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
29|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
29|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
30|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
30|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
30|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
31|一部分的降臨關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
31|儲存經驗值|再來升個等|對好屬性再挑戰喵！|＠|＠
31|將角色等級提高|貓咪們的能力上升後|可以更容易打倒敵人喔！|＠|＠
32|一部分的漩渦關卡|也可由喵力達專用關卡|來挑戰喔！|＠|＠
32|對好屬性再挑戰|也許就是最正確的攻略喔|意外的是一件超重要的事情呢！|＠|＠
