76,93,85,1,		//下地のカラーR,G,B,点線,
8,	//A
738,962,			//1
1041,1091,		//2
1381,996,			//3
1295,930,			//4
1084,801,			//5
999,560,			//6
717,743,			//7
535,591,			//8
8,	//B
895,668,			//1
1063,591,			//2
1271,668,			//3
1114,780,			//4
1113,962,			//5
915,1100,			//6
807,919,			//7
651,976,			//8
3,	//C
717,894,			//1
947,914,			//2
1159,821,			//3
1,	//D
922,812,			//1
5,	//E
1361,769,			//1
1134,723,			//2
1142,964,			//3
852,810,			//4
638,921,			//5
6,	//F
895,668,			//1
1163,591,			//2
1371,718,			//3
1264,962,			//4
1053,1062,			//5
651,900,			//6
5,	//G
638,921,			//1
852,810,			//2
1142,964,			//3
1134,723,			//4
1361,769,			//5
2,	//H
1228,945,			//1
922,812,			//2
12,	//I
649,977,			//1
858,921,			//2
973,1029,			//3
1126,955,			//4
1325,1042,			//5
1407,840,			//6
1360,631,			//7
1157,550,			//8
1154,753,			//9
971,670,			//10
784,763,			//11
583,639,			//12
10,	//J
616,674,			//1
865,695,			//2
1082,519,			//3
1335,593,			//4
1409,783,			//5
1305,1041,			//6
1149,884,			//7
973,1029,			//8
856,906,			//9
619,1017,			//10
8,	//K
1373,921,			//1
1150,845,		//2
1256,666,			//3
617,893,			//4
952,1077,			//5
894,592,			//6
702,712,			//7
535,591,			//8
10
832,1032
1079,1129
1289,973
1334,798
1026,537
763,488
840,699
779,803
903,885
1032,815
9
524,580
646,680
864,628
1126,687
1264,902
1002,1059
732,1011
747,849
953,832
//ステージ数
//x,y,
