57,59,82,1,					//下地のカラー
49
4012,877,155,142,  //00 : 台湾
3915,905,155,142,  //01 : 香港
3768,982,155,142,  //02 : タイ
3833,776,126,170,  //03 : 中国
3795,608,91,88,    //04 : モンゴル
4094,732,118,111,  //05 : 韓国
4232,732,128,133,   	//06日本
4188,1497,192,153,   	//07オーストラリア
3802,1150,178,167, 		//08シンガポール
3435,1167,120,94,   	//09モルジブ
3494,934,101,58,   	//10インド
3575,834,158,113, 		//11ネパール
3226,863,157,124,   	//12ドバイ
3097,904,187,177,  		//13サウジアラビア
3017,1197,129,122,  	//14ケニア
3124,1435,154,79,   	//15マダガスカル
2850,1559,136,206,   	//16南アフリカ
2549,1106,110,125, 		//17ガーナ
2639,921,77,104,   	//18サハラ砂漠
2910,868,134,152,   	//19エジプト
2980,708,75,118,  		//20トルコ
3062,467,118,203,   	//21ロシア
2820,735,78,123,   	//22ギリシャ
2688,680,167,133, 		//23イタリア
2593,647,127,208,   	//24モナコ
2448,697,129,113,   	//25スペイン
2535,604,150,177,   	//26フランス
2634,551,111,100,  	//27ドイツ
2622,470,186,135,   	//28デンマーク
2580,460,0,0,  	//29魔界火山
2639,400,103,111,  	//30ノルウェー
2464,504,152,244, 		//31イギリス
1675,371,249,251,   	//32グリーンランド
1028,500,100,78,   	//33カナダ
1306,662,128,157, 		//34ニューヨーク
1462,796,104,51, 	  //35バミューダ
1311,953,128,73,   	//36ジャマイカ
1366,1131,142,145, 		//37コロンビア
1652,1301,106,129,   	//38ブラジル
1450,1617,133,170,   	//39アルゼンチン
1371,1326,206,161, 		//40マチュピチュ
975,1439,156,171,		//41イースター島
1034,931,123,195,   	//42メキシコ
1100,791,157,237,   	//43NASA
891,717,149,228,   	//44ラスベガス
820,750,205,193,   	//45ハリウッド
430,390,521,493,	 	//46アラスカ
351,916,270,307,   	//47ハワイ
683,2303,44,34,   		//48南極

//ステージ数
//x,y,統率力,XP
