第1天簽到章獎勵！<br>恭喜獲得「加速＋4」！！	第1天
第2天簽到章獎勵！<br>恭喜獲得「土豪貓+4」！！	第2天
第3天簽到章獎勵！<br>恭喜獲得「寶物雷達＋2」！！	第3天
第4天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第4天
第5天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第5天
第6天簽到章獎勵！<br>恭喜獲得「洞悉先機＋2」！！	第6天
第7天簽到章獎勵！<br>恭喜獲得「狙擊手＋2」！！	第7天
第8天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第8天
第9天簽到章獎勵！<br>恭喜獲得「貓型電腦＋4」！！	第9天
第10天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第10天
第11天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第11天
第12天簽到章獎勵！<br>恭喜獲得「寶物雷達＋2」！！	第12天
第13天簽到章獎勵！<br>恭喜獲得「加速＋4」！！	第13天
第14天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第14天
第15天簽到章獎勵！<br>恭喜獲得「土豪貓+4」！！	第15天
第16天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第16天
第17天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第17天
第18天簽到章獎勵！<br>恭喜獲得「洞悉先機＋2」！！	第18天
第19天簽到章獎勵！<br>恭喜獲得「狙擊手＋3」！！	第19天
第20天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第20天
第21天簽到章獎勵！<br>恭喜獲得「貓型電腦＋4」！！	第21天
第22天簽到章獎勵！<br>恭喜獲得「貓咪券＋2」！！	第22天
第23天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第23天
第24天簽到章獎勵！<br>恭喜獲得「寶物雷達＋2」！！	第24天
第25天簽到章獎勵！<br>恭喜獲得「洞悉先機＋2」！！	第25天
第26天簽到章獎勵！<br>恭喜獲得「稀有券＋1」！！	第26天
第27天簽到章獎勵！<br>恭喜獲得「狙擊手＋3」！！	第27天
第28天簽到章獎勵！<br>恭喜獲得「寶物雷達＋2」！！	第28天
第29天簽到章獎勵！<br>恭喜獲得「洞悉先機＋2」！！	第29天
第30天簽到章獎勵！<br>恭喜獲得「金塊貓」！！	第30天
