76,93,85,1,		//下地のカラーR,G,B,点線,
6,	//A
634,875,			//1
715,787,			//2
677,701,			//3
569,670,			//4
626,605,			//5
646,480,			//6
6,	//B
630,935,			//1
631,870,			//2
601,785,			//3
673,711,			//4
615,581,			//5
644,492,			//6
3,	//C
641,835,			//1
641,702,			//2
641,581,			//3
1,	//D
640,660,			//1
2,	//E
641,860,			//1
641,660,			//2
18,	//F
630,912,			//1
514,784,			//2
355,884,			//3
288,714,			//4
459,675,			//5
316,543,			//6
520,560,			//7
487,421,			//8
650,449,			//9
783,507,			//10
890,435,			//11
987,549,			//12
828,625,			//13
973,718,			//14
812,747,			//15
826,898,			//16
650,763,			//17
650,637,			//18
4
632,901,
636,745,
637,602,
634,464,
10,0,
640,660
640,660
640,660
640,660
640,660
640,660
640,660
640,660
640,660
640,660
//ステージ数
//x,y,
