45,-1,145,-1,-1
0
10,190,171,100,171,100,207,20,-2,-2,-2,-2,-2,-2,-2,1,9000,4,1,7700,6,20000,500,6,10000,-1
20,380,3,99,171,100,207,40,-2,-2,-2,-2,-2,-2,-2,1,8200,0,1,7800,6,25000,500,6,15000,-1
30,570,32,99,172,100,207,60,-2,-2,-2,-2,-2,-2,-2,1,7800,5,1,7100,6,30000,500,6,20000,-1
40,760,30,99,31,100,207,80,-2,-2,-2,-2,-2,-2,-2,1,8200,3,1,7000,6,35000,500,6,25000,-1
50,950,3,99,171,100,207,100,-2,-2,-2,-2,-2,-2,-2,1,7000,6,40000,6000,6,30000,500,11,1,-1
60,1140,172,100,172,100,207,120,-2,-2,-2,-2,-2,-2,-2,1,7700,2,1,6500,6,45000,500,6,35000,-1
70,1330,31,100,31,100,207,140,-2,-2,-2,-2,-2,-2,-2,1,7800,1,1,6900,6,50000,500,6,40000,-1
80,1520,171,100,171,100,207,160,-2,-2,-2,-2,-2,-2,-2,1,7400,55,1,6000,6,60000,500,6,50000,-1
90,1710,172,100,172,100,207,180,-2,-2,-2,-2,-2,-2,-2,1,7800,56,1,6700,6,70000,500,6,60000,-1
100,1900,172,99,173,100,207,200,-2,-2,-2,-2,-2,-2,-2,1,7100,57,1,4300,6,150000,500,12,1,-1
