0,0,0,0,0,0,,,,//城番号
4200,9999999,1,1,1018,12,285,3,0,0,,//幅,,城体力,,生産最低F,生産最高F,,背景種類,,出現最大数,以後未使用
285,1,0,1,1,0,0,0,1,100,,//ID,出現数(0で無制限),初登場F,再登場最低F,再登場最高F,城連動出現％,手前ライン,奥ライン,ボスフラグ,強さ倍率,スコア値
32,1,0,1,1,1910000,6,6,1,600,10000,
116,4,0,50,100,1910000,7,9,0,300,400,
465,1,0,1,1,1790000,6,6,1,300,8000,
63,2,1,250,350,1790000,5,5,0,400,900,
30,8,1,50,100,1790000,7,9,0,800,300,
464,1,0,1,1,1640000,1,1,1,300,7000,
16,5,0,50,100,1640000,7,9,0,800,250,
32,1,0,1,1,1490000,6,6,1,500,9000,
116,4,0,50,100,1490000,7,9,0,250,350,
465,1,0,1,1,1370000,6,6,1,250,7000,
63,2,1,250,350,1370000,5,5,0,350,800,
30,8,1,50,100,1370000,7,9,0,750,250,
464,1,0,1,1,1220000,1,1,1,250,6000,
16,5,0,50,100,1220000,7,9,0,750,200,
32,1,0,1,1,1070000,6,6,1,400,8000,
116,4,0,50,100,1070000,7,9,0,200,300,
465,1,0,1,1,950000,6,6,1,200,6000,
63,2,1,250,350,950000,5,5,0,300,700,
30,8,1,50,100,950000,7,9,0,700,200,
464,1,0,1,1,800000,1,1,1,200,5000,
16,5,0,50,100,800000,7,9,0,700,150,
32,1,0,1,1,650000,6,6,1,350,7000,
116,4,0,50,100,650000,7,9,0,150,250,
465,1,0,1,1,530000,6,6,1,150,5000,
63,2,1,250,350,530000,5,5,0,250,600,
30,8,1,50,100,53000,7,9,0,650,150,
464,1,0,1,1,380000,1,1,1,150,4000,
16,5,0,50,100,380000,7,9,0,650,100,
32,1,0,1,1,230000,6,6,1,300,6000,
116,4,0,50,100,230000,7,9,0,150,200,
465,1,0,1,1,130000,6,6,1,100,4000,
63,2,1,250,350,130000,5,5,0,200,500,
30,8,1,50,100,130000,7,9,0,600,100,
464,1,0,1,1,60000,1,1,1,70,3000,
16,5,0,50,100,60000,7,9,0,600,50,
32,1,1,1,1,14000,6,6,1,100,2000,
63,1,1,1,1,14000,5,5,0,100,500,
31,1,1,1,1,5000,0,0,1,80,1500,
16,10,1,50,100,5000,7,9,0,400,50,
30,2,1,100,200,5000,7,9,0,400,100,
62,1,1,1,1,1000,0,0,1,150,1000,
30,4,1,50,100,1000,7,9,0,150,100,
30,2,25,50,100,0,7,9,0,100,,
30,0,1000,400,600,0,7,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,
0,0,0,0,0,0,0,9,0,100,,

//敵は１ステージ最大１０種類
