MapID	openMapStageSterID	priority	UnlockPopupID	getCharaID	CharFileName	00AnimeLoop	01AnimeLoop	GiftMessage
3000	-1	1	51	-1	003	4	1	GiftMessage_003
3000	-1	1	52	-1	004	4	1	GiftMessage_004
3001	-1	1	49	-1	000	4	1	GiftMessage_000
3002	-1	1	50	-1	001	4	1	GiftMessage_001
3003	-1	1	24	-1	011	4	1	GiftMessage_011
3004	-1	1	53	-1	002	4	1	GiftMessage_002
3005	-1	1	54	-1	007	4	1	GiftMessage_007
3006	-1	1	58	-1	010	4	1	GiftMessage_010
0	3000470	1	-1	1300	005	4	1	GiftMessage_005
0	3000470	2	-1	1720	006	4	1	GiftMessage_006
0	3000470	3	-1	2680	008	4	1	GiftMessage_008
0	3000470	4	-1	3230	009	4	1	GiftMessage_009
0	48000	6	66	-1	012	4	1	GiftMessage_012
3007	-1	1	70	-1	010	4	1	GiftMessage_013
3008	-1	1	74	-1	010	4	1	GiftMessage_014
3008	3008470	2	-1	4620	013	4	4	GiftMessage_015
0	48000	7	-1	4640	014	4	1	GiftMessage_016
0	48000	8	-1	5320	015	4	1	GiftMessage_017
0	48003	5	-1	5680	016	0	0	GiftMessage_018
0	48000	9	-1	6130	017	0	0	GiftMessage_019
0	48000	10	-1	6530	018	0	0	GiftMessage_020
0	13048000	12	-1	7280	019	0	0	GiftMessage_021
0	13048003	11	-1	7710	020	0	0	GiftMessage_022
