textID|テキスト内容
1|Obtiens la capacité : Affaiblissement.<br>Gagne des niveaux pour affaiblir tes ennemis plus longtemps !
2|Obtiens la capacité : Immobilisation.<br>Gagne des niv. pour immobiliser tes ennemis plus longtemps !
3|Obtiens la capacité : Ralentissement.<br>Gagne des niveaux pour ralentir tes ennemis plus longtemps !
4|Obtiens la capacité Attaque uniquement.
5|Obtiens la capacité Assure.
6|Obtiens la capacité Balèze contre.
7|Obtiens la capacité : Dégâts massifs.
8|Obtiens la capacité : Recul.<br>Gagne des niveaux pour mieux repousser tes ennemis !
9|Obtiens la capacité Téléportation.
10|Obtiens la capacité : Renforcement.<br>Gagne des niveaux pour plus de puissance d’attaque !
11|Obtiens la capacité : Survie.<br>Gagne des niveaux pour avoir plus de chances de survivre !
12|Obtiens la capacité Casseur de base.
13|Obtiens la capacité Critique.<br>Gagne des niveaux pour + de chances d’attaques critiques !
14|Obtiens la capacité : Tueur de zombies.
15|Obtiens la capacité : Brise-barrière.<br>Gagne des niveaux pour détruire plus de barrières !
16|Obtiens la capacité : Argent bonus.
17|Obtiens la capacité : Vague offensive.<br>Gagne des niveaux pour envoyer plus de Vagues offensives !
18|Obtiens la capacité : Résist. Affaiblissement.<br>Gagne des niveaux pour augmenter ta résistance !
19|Obtiens la capacité : Résist. Immobilisation.<br>Gagne des niveaux pour augmenter ta résistance !
20|Obtiens la capacité : Résist. Ralentissement.<br>Gagne des niveaux pour augmenter ta résistance !
21|Obtiens la capacité : Résist. Recul.<br>Gagne des niveaux pour augmenter ta résistance !
22|Obtiens la capacité : Résist. Vagues.<br>Gagne des niveaux pour augmenter ta résistance !
23|Obtiens la capacité Immun. Vagues.
24|Obtiens la capacité Résist. Téléportation.<br>Gagne des niveaux pour augmenter ta résistance !
25|Obtiens la capacité : Immun. Malédictions.
26|Obtiens la capacité : Résist. Malédictions.<br>Gagne des niveaux pour augmenter ta résistance !
27|La puissance défensive de l’unité est accrue.<br>Gagne des niveaux pour augmenter ta défense !
28|La puissance d’attaque de l’unité est accrue.<br>Gagne des niveaux pour augmenter ton attaque !
29|La vitesse de déplacement de l’unité est accrue.<br>Gagne des niveaux pour augmenter ta vitesse !
30|Le taux de recul de l’unité est accru.<br>Gagne des niveaux pour augmenter la chance de recul !
31|Le coût de l’unité est réduit.<br>Gagne des niveaux pour réduire encore le coût !
32|Le temps de récupération de l’unité est réduit.<br>Gagne des niveaux pour une meilleure récupération !
33|Ennemi cible : rouge ajouté.
34|Ennemi cible : flottant ajouté.
35|Ajoute cible : ennemis noirs
36|Ennemi cible : métal ajouté.
37|Ajoute cible : ennemis anges
38|Ajoute cible : ennemis aliens
39|Ajoute cible : ennemis zombies
40|Ajoute cible : ennemis reliques
41|Ajoute cible : ennemis sans caract.
42|Améliore la capacité : Affaiblissement.<br>Gagne des niveaux pour affaiblir tes ennemis plus longtemps !
43|Améliore la capacité : Immobilisation.<br>Gagne des niveaux pour des immobilisations plus longues !
44|Améliore la capacité : Ralentissement.<br>Gagne des niveaux pour ralentir tes ennemis plus longtemps !
45|Améliore la capacité : Recul.<br>Gagne des niveaux pour mieux repousser les ennemis !
46|Améliore la capacité : Renforcement.<br>Gagne des niveaux pour plus de puissance d’attaque !
47|Améliore la capacité : Survie.<br>Gagne des niveaux pour avoir plus de chances de survivre !
48|Améliore la capacité : Critique.<br>Gagne des niveaux pour plus de chances d’attaques critiques !
49|Améliore la capacité : Brise-barrière.<br>Gagne des niveaux pour détruire plus de barrières !
50|Améliore la capacité Vague offensive.<br>Gagne des niveaux pour envoyer plus de Vagues offensives !
51|Améliorer la capacité Téléportation.<br>Gagne des niveaux pour allonger la durée de téléportation !
52|Obtiens la capacité : Critique.
53|Obtiens la capacité : Immun. Affaiblissement.
54|Obtiens la capacité : Immun. Immobilisation.
55|Obtiens la capacité : Immun. Ralentissement.
56|Obtiens la capacité : Immun. Recul.
57|Obtiens la capacité : Immun. Vagues.
58|Obtiens la capacité : Bloque-téléportation.
59|Débloque la capacité : Frappe sauvage.<br>Gagne des niveaux pour plus de chances de Frappe sauvage !
60|Débloque la capacité : Esquive.<br>Gagne des niveaux pour plus de chances d’esquiver !
61|Améliore la capacité Frappe sauvage.<br>Gagne des niveaux pour plus de chances de Frappe sauvage !
62|Améliore la capacité Esquive.<br>Gagne des niveaux pour des effets d’esquive plus longs !
63|Obtiens la capacité : Ralentissement.<br>Gagne des niveaux pour ralentir tes ennemis plus longtemps !
64|Débloque la capacité Résist. tox.<br>Gagne des niveaux pour réduire les dégâts des attaques toxiques !
65|Obtiens la capacité : Immun. toxique.
66|Obtiens la capacité : Résist. rép.<br>Gagne des niveaux pour réduire les dégâts des répliques offensives !
67|Obtiens la capacité : Immun. répliques.
68|Obtiens la capacité : Réplique offensive.<br>Gagne des niv. pour augm. les chances de réplique offensive !
69|Obtiens la capacité : Ralentissement relique.<br>Gagne des niv. pour que l’ennemi soit ralenti plus longtemps !
70|Obtiens la capacité : Affaiblissement relique.<br>Gagne des niv. pour que l’ennemi soit affaibli plus longtemps !
71|Obtiens la capacité : Affaiblissement alien.<br>Gagne des niv. pour que l’ennemi soit affaibli plus longtemps !
72|Obtiens la capacité : Ralentissement métal.<br>Gagne des niv. pour que l’ennemi soit ralenti plus longtemps !
73|Obtiens la capacité : Recul zombies.<br>Gagne des niveaux pour mieux repousser les ennemis !
74|Améliore la capacité : Immobilisation.<br>Gagne des niveaux pour avoir plus de chances d'immobiliser !
75|Débloque la capacité : Recul (alien).<br>Gagne des niveaux pour mieux repousser les ennemis !
76|Débloque la capacité Immobilisation métal.<br>Gagne des niv. pour immobiliser tes ennemis plus longtemps !
77|Ajoute cible : ennemis Akus
78|Débloque la capacité : Perforation de bouclier. Gagne des<br>niv. pour avoir plus de chances de perforer les boucliers !
79|Obtiens la capacité : Impact spirituel.
80|Débloque la capacité Malédiction. La durée<br>de la malédiction augmente à chaque amélioration.
81|Renforce l'effet Esquive. Après un gain de niveau,<br>l'effet Esquive s'active plus souvent.
82|La fréquence d’att. de l’unité augmente.<br>Après gain de niveau, att. plus fréquentes.
83|Débloque la capacité Mini-vague.<br>Gagne des niveaux pour l'utiliser plus souvent !
84|Débloque la capacité Immun. zombies.<br>Gagne des niveaux pour prolonger l'immunité !
85|Débloque la capacité Fléau des colosses.
86|Débloque la capacité Fléau des Béhémoths.
87|Débloque la capacité Esquive Sans caract.<br>Gagne des niveaux pour prolonger l’esquive !
88|Débloque la capacité Esquive.<br>Gagne des niveaux pour en prolonger les effets !
89|Débloque la capacité mini-réplique offensive.<br>Gagne des niveaux pour l’utiliser plus souvent !
90|Débloque la capacité Esquive universelle.<br>Gagne des niveaux pour l’utiliser plus souvent !
91|Débloque Fléau des Sages.
92|Débloque Fort contre Reliques.
93|Améliore les malédictions.<br>Gagne des niveaux pour augmenter la durée des malédictions.
94|Obtiens la capacité "Explosion".<br>Gagne des niveaux pour lancer plus de vagues explosives !
95|Débloque la capacité Esquive (métal).<br>Gagne des niveaux pour augmenter les chances d’Esquive !
