加油！自由研究第1天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第1天
加油！自由研究第2天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第2天
加油！自由研究第3天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第3天
加油！自由研究第4天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第4天
加油！自由研究第5天！<br>恭喜獲得「貓咪券＋1」！！	第5天
加油！自由研究第6天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第6天
加油！自由研究第7天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第7天
加油！自由研究第8天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第8天
加油！自由研究第9天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第9天
加油！自由研究第10天！<br>恭喜獲得「貓咪券＋1」！！	第10天
加油！自由研究第11天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第11天
加油！自由研究第12天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第12天
加油！自由研究第13天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第13天
加油！自由研究第14天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第14天
加油！自由研究第15天！<br>恭喜獲得「貓咪券＋1」！！	第15天
加油！自由研究第16天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第16天
加油！自由研究第17天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第17天
加油！自由研究第18天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第18天
加油！自由研究第19天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第19天
加油！自由研究第20天！<br>恭喜獲得「貓咪券＋1」！！	第20天
加油！自由研究第21天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第21天
加油！自由研究第22天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第22天
加油！自由研究第23天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第23天
加油！自由研究第24天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第24天
加油！自由研究第25天！<br>恭喜獲得「稀有券＋1」！！	第25天
加油！自由研究第26天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第26天
加油！自由研究第27天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第27天
加油！自由研究第28天！<br>恭喜獲得「傳說的捕蟲網＋1」！！	第28天
