＠|＠|＠|						//「0」の時の解放文章
需要先達成條件|加碼多多等級3|才能在這個區域探險|						//「1」の時の解放文章
需要先達成條件|加碼多多等級6|才能在這個區域探險|						//「2」の時の解放文章
需要先達成條件|等級排行600，以及加碼多多等級10|才能在這個區域探險|						//「3」の時の解放文章
需要先達成條件|等級排行900，以及加碼多多等級14|才能在這個區域探險|						//「4」の時の解放文章
需要先達成條件|等級排行1600，以及加碼多多等級19|才能在這個區域探險|						//「5」の時の解放文章
需要先達成條件|加碼多多等級24|才能在這個區域探險|						//「6」の時の解放文章
需要先達成條件|加碼多多等級30|才能在這個區域探險|						//「7」の時の解放文章
需要先達成條件|加碼多多等級36|才能在這個區域探險|						//「8」の時の解放文章
需要先達成條件|加碼多多等級43|才能在這個區域探險|						//「9」の時の解放文章
需要先達成條件|加碼多多等級50|才能在這個區域探險|						//「10」の時の解放文章
需要先達成條件|加碼多多等級58|才能在這個區域探險|						//「11」の時の解放文章
需要先達成條件|加碼多多等級67|才能在這個區域探險|						//「12」の時の解放文章
需要先達成條件|加碼多多等級72|才能在這個區域探險|						//「13」の時の解放文章
需要先達成條件|加碼多多等級83|才能在這個區域探險|						//「14」の時の解放文章
需要先達成條件|加碼多多等級88|才能在這個區域探險|//「15」の時の解放文章
需要先達成條件|玩家等級5000與加碼多多等級50|才能在這個區域探險|//「16」の時の解放文章
