100000|1
150000|1|感覺到了世界和平
200000|1|我想明天一定不會睡過頭
250000|1|找回了失去的記憶
300000|1|熱淚盈眶了
350000|1|好像視力提高了0.1的感覺
400000|1|想起了過去埋起來的時空膠囊
500000|1|不知覺興奮起來了
750000|1|感覺到了明天考試可以得99分
800000|2|有了神社的能量會提升的預感
825000|2|懷念起了逐漸消失的經驗值
850000|2|為什麼人們會添香油錢呢
875000|2|想起了心底的苦澀檸檬香
900000|2|好像被溫暖包圍了的感覺
950000|2|好像看到了點未來的感覺
1000000|2|一定給你變美麗
1150000|2|好像有了些許幸福的感覺
1250000|2|願望會實現吧
1400000|2|感覺到了可以挑戰24小時
1500000|3|盼望了可以不要浪費
1600000|3|我想明年再加油
1700000|3|什麼是幸福呀
1800000|3|有可能靈感更銳利了
1900000|3|某處傳來了新生命的聲音
2500000|3|在某處的勇者能力也提升了
3000000|3|想起了初戀情人
4000000|3|增加了一點追蹤數
5000000|3|度量更寬大了
7000000|3|想打電話給媽媽了
9000000|4|想使壞了
9000000|4|嘴巴破洞治好了
9000000|4|想到了很好的侵略方法
9000000|4|邁向更大一步了
9000000|4|就快可以飛起來了，的感覺
9000000|4|就要轉運了
9000000|4|感覺到要轉蛋就是現在
9000000|4|學會了如何花式跳繩
9000000|4|神來一句了
9000000|4|好像來世會是個大富翁的感覺
9000000|5|好像財運提高了的感覺
9000000|5|下定決心了
9000000|5|想起了陳年往事
9000000|5|肩膀的不適感消失了
9000000|5|笑到下巴都快掉下來
9000000|5|大叔體味變淡了
9000000|5|附近的小貓也好像在給予祝福呢
9000000|5|萌生信仰心了
9000000|5|變得更喜歡貓咪了
9000000|5|親戚叔叔準備升官了
17060000|6|神社的耐震性提升到2了
17120000|6|感覺明天會是個好日子
17180000|6|領悟了青椒的美味
17240000|6|棉被充滿了太陽的味道
17300000|6|不知不覺眼眶泛淚
17360000|6|雞蛋裡跑出兩個蛋黃
17420000|6|吃冰棒得到再來一支
17480000|6|不認識的阿嬤送了糖果給我
17540000|6|身上的毛充滿了光澤
17600000|6|突然想到搞笑的好點子
17660000|7|存到了改建神社所需的費用
17720000|7|衣服比預計的還要快乾
17780000|7|變得比較不會被蚊子叮
17840000|7|看見了雨後天晴的彩虹
17900000|7|隔壁鄰居閃到腰的毛病治好了
17960000|7|又有一隻新的貓咪來到了這世界
18020000|7|找回了那個時候的熱情
18080000|7|用5折的價格買到喜歡的配菜
18140000|7|在某處有茶柱立起來了
18200000|7|想起遺忘許久的密碼了
-1|8|到達了新境界
