Montagslevel	1000	0	3
Dienstagslevel	1001	0	3
Mittwochslevel	1002	0	3
Donnerstagslevel	1003	0	3
Freitagslevel	1004	0	3
Wochenendlevel	1027	0	4
Grünes Sprießen	1097	0	5
Lila Sprießen	1098	0	5
Rotes Sprießen	1099	0	5
Blaues Sprießen	1100	0	5
Gelbes Sprießen	1101	0	5
Blutrote Katastrophe	1014	0	0
Unvergleichlich	1016	0	0
Himmel der Dunkelheit	1015	0	0
Süße Ironie	1043	0	0
Zorn des Himmels	1039	0	0
Dimension der Verzweiflung	1066	0	0
Morgenrot	1096	0	0
Wandelnde Tote	1122	0	0
Die 2. Dimension	1157	0	0
Taifun-Nemo	1189	0	0
Der große Diablo	1259	0	0
Blutrote Rache	1169	0	1
NEO-Düsterhimmel	1172	0	1
Auch unvergleichlich	1176	0	1
Zorn des Himmlischen	1185	0	1
Bittere Ironie	1187	0	1
Deliriumsdimension	1193	0	1
Roter Nachthimmel	1195	0	1
Dominanter Clionel	1196	0	1
Die Toten machen weiter	1198	0	1
Taifun-Nihil	1247	0	1
Aufsteigender Clionel	1095	0	0
Krönung der Königin	1119	0	0
Fluss Styx	1117	0	0
Tödliches Debüt	1128	0	0
König Wahwahs Rache	1158	0	0
Tiefschlaf	1177	0	0
Blauer Schlag	1215	0	0
Grund des Sumpfs	1226	0	0
Auftakt zum Ruin	1246	0	0
Symphonie der Versuchung	1272	0	0
Hof der Pein	1217	0	0
Papuus Paradies	1219	0	0
Die alte Königin	1220	0	0
Wanwans Ruhm	1229	0	0
Z-Clionel erhebt sich	1231	0	0
Erster Botengang	1232	0	0
Rashomon	1273	0	0
Herrsch. des Tyrannen	1340	0	0
Fluss Acheron	1199	0	1
Verurteilung der Königin	1201	0	1
Die 3. Dimension	1203	0	1
Tod durch Zugabe	1205	0	1
König Wahwahs Rückkehr	1207	0	1
Tieferer Traum	1214	0	1
Gipfel des Sumpfs	1243	0	1
Hof der Qual	1296	0	1
NEO-Wanwans Ruhm	1338	0	1
Die verrückte Katze	1017	0	0
Der verrückte Panzer	1018	0	0
Die verrückte Axt	1019	0	0
Die verrückten Stelzen	1020	0	0
Die verrückte Kuh	1021	0	0
Der verrückte Vogel	1022	0	0
Der verrückte Fisch	1023	0	0
Die verrückte Echse	1024	0	0
Der verrückte Titan	1025	0	0
Verrückte Moneko	1161	0	0
Irre Katze	1102	0	1
Irrer Panzer	1103	0	1
Irre Axt	1104	0	1
Irre Stelzen	1105	0	1
Irre Kuh	1106	0	1
Irrer Vogel	1107	0	1
Irrer Fisch	1108	0	1
Irre Echse	1109	0	1
Irrer Titan	1110	0	1
Kleine Katze erwacht!	1130	0	1
Kleiner Panzer erwacht!	1131	0	1
