item_pack_name_0	Packaktion: Katzenbatzenpaket!
item_pack_name_1	Packaktion: Katzenbatzen-Superpaket!
item_pack_name_2	Packaktion: Katzenbatzen-Megapaket!
item_pack_name_3	Blitzangebot: Katzenbatzen-Spezialset!
item_pack_name_4	Blitzangebot: Katzenbatzen-Superset!
item_pack_name_5	Blitzangebot: Katzenbatzen-Megaset!
item_pack_name_6	Sonderangebot: Kaufe ein seltenes Ticket!
item_pack_name_7	Sonderangebot: Platinticket!
item_pack_name_11	Kaufe das Platin-Startpaket!
item_pack_name_12	
item_pack_name_13	Shakurellöwe-Paket
item_pack_name_14	Shakureltiger-Paket
item_pack_name_15	Shakurelpanda-Paket
item_pack_name_17	Dankeschönpaket
item_pack_name_18	Limit. Angebot: Silber
item_pack_name_19	Limit. Angebot: Gold
item_pack_name_20	Limit. Angebot: Platin
item_pack_purchased_title	<flash>%@</flash><br>
item_pack_purchased_item	%@ x %d → <color=255,255,0>%d</color><br>
item_pack_purchased_xp	%@ %d → <color=255,255,0>%d</color><br>
item_pack_purchased_ticket	%@ x %d → <color=255,255,0>%d</color><br>
battle_result_first_clear_bonus	<color=255,255,0>Einmalige Abschlussbelohnung</color><br>Du erhältst <flash>30 Katzenbatzen!</flash><br>Du erhältst außerdem <flash>1 Führung!</flash>
user_rank_gift_1600_catseye_unlocked	<flash>Erhöhe deine Stufengrenze!</flash><br>Benutze ein Katzenauge, um bei bestimmten<br>Katzen höhere Stufen freizuschalten!
user_rank_gift_no_more	<color=255,255,0>Du hast alle verfügbaren Belohnungen<br>freigeschaltet ... Bald gibt es mehr!</color>
user_rank_popup_title1	<color=255,255,0>Benutzerrang-Mission</color><br>
user_rank_popup_title2	<flash>Benutzerrang %d erreicht!</flash><br>
user_rank_popup_title3	<color=255,255,0>Benutzerrang ${rankNum} erreicht!</color><br>Belohnung abholen?
user_rank_full_recovery_energy	Du hast <flash>1 Führung</flash> abgeholt!
data_upload_error_catfood_20000	Daten werden möglicherweise nicht gespeichert, weil sie geändert oder gehackt wurden. Bitte kontaktiere den Support.
energy_connecting	Daten werden hochgeladen ...
energy_connection_failed1	Fehler beim Aktualisieren der Energiedaten.
energy_connection_failed2	Überprüfe deine Verbindung und versuche es erneut.
energy_fraud1	Die Systemzeit wurde möglicherweise verändert.
energy_fraud2	Für kurze Zeit füllt sich die Energie nicht auf.
gamatoto_connection	Daten werden hochgeladen ...
gamatoto_connection_failed	Fehler bei der Berechnung der Expeditionszeit. Überprüfe deine Verbindung und starte die App neu.
gamatoto_fraud	Die Systemzeit wurde möglicherweise verändert. Für kurze Zeit füllt sich die Energie nicht auf.
reset_item_reward	<color=255,255,0>Belohnungsverfügbarkeit wiederhergestellt!</color><br>Bereits erhaltene Belohnungen sind erneut erhältlich.<br>Schließe Aufgaben ab, um sie erneut zu erhalten!
reset_tower_state	<color=255,255,0>Belohnungen/Abschlussstatus zurückgesetzt!</color><br>Levelabschlussbedingungen wurden zurückgesetzt und<br>Belohnungen können erneut erhalten werden.
reward_energy	Chance auf Energieauffüllung!<br>Video ansehen, um %d Energie aufzufüllen?</flash>
receive_energy	%d Energie aufgefüllt.
receive_energy_full	Alle Energie aufgefüllt.
network_unavailable_energy	Energie nicht aktualisiert.\nÜberprüfe deine Netzwerkverbindung!
network_unavailable_gamatoto	Katzenbatzen nicht aktualisiert.\nÜberprüfe deine Netzwerkverbindung!
001_img044.png	i001_img044_de.png
001_img044.imgcut	i001_img044_de.imgcut
001_img045.png	i001_img045_de.png
001_img045.imgcut	i001_img045_de.imgcut
021_e.png	i021_e_de.png
021_e.imgcut	i021_e_de.imgcut
