nekokan_product_id	index	nekokan_n	product_name
jp.co.ponos.battlecatstw.nekokan1	0	30	ネコカン30個
jp.co.ponos.battlecatstw.nekokan2	1	90	ネコカン90個
jp.co.ponos.battlecatstw.nekokan3	2	180	ネコカン180個
jp.co.ponos.battlecatstw.nekokan4	3	330	ネコカン330個
jp.co.ponos.battlecatstw.nekokan5	4	690	ネコカン690個
jp.co.ponos.battlecatstw.nekokan6	5	1080	ネコカン1080個
jp.co.ponos.battlecatstw.nekokan7	6	1860	ネコカン1860個
jp.co.ponos.battlecatstw.nekokan8	7	3900	ネコカン3900個
jp.co.ponos.battlecatstw.nekokan_pack1	8	160	初心者パック1
jp.co.ponos.battlecatstw.nekokan_pack2	9	400	初心者パック2
jp.co.ponos.battlecatstw.nekokan_pack3	10	1100	初心者パック3
jp.co.ponos.battlecatstw.rankup_sale1	11	160	ランクアップセール1
jp.co.ponos.battlecatstw.rankup_sale2	12	0	ランクアップセール2
jp.co.ponos.battlecatstw.rankup_sale3	13	0	ランクアップセール3
jp.co.ponos.battlecatstw.item_pack1	14	160	アイテムパック1
jp.co.ponos.battlecatstw.item_pack2	15	400	アイテムパック2
jp.co.ponos.battlecatstw.item_pack3	16	1100	アイテムパック3
jp.co.ponos.battlecatstw.matatabi_set1	17	900	マタタビセット1
jp.co.ponos.battlecatstw.matatabi_set2	18	1900	マタタビセット2
jp.co.ponos.battlecatstw.matatabi_set3	19	4000	マタタビセット3
jp.co.ponos.battlecatstw.platinum_ticket	20	100	プラチナチケット
jp.co.ponos.battlecatstw.rare_ticket	21	0	レアチケット
jp.co.ponos.battlecatstw.platinum_ticket2	22	0	プラチナチケット2
jp.co.ponos.battlecatstw.nyanko_club	23	0	にゃんこクラブ
jp.co.ponos.battlecatstw.chara_479	24	30	グミネコ
jp.co.ponos.battlecatstw.chara_498	25	300	シャクレルライオン
jp.co.ponos.battlecatstw.chara_499	26	400	シャクレルタイガー
jp.co.ponos.battlecatstw.chara_500	27	500	シャクレルパンダ
jp.co.ponos.battlecatstw.restart	28	0	リスタートパック
jp.co.ponos.battlecatstw.blackfriday_set	29	0	BF大感謝パック
jp.co.ponos.battlecatstw.platinum_ticket3	30	0	プラチナチケット3
jp.co.ponos.battlecatstw.super_set1	31	0	超限定セール！ネコカンパック超梅
jp.co.ponos.battlecatstw.super_set2	32	0	超限定セール！ネコカンパック超竹
jp.co.ponos.battlecatstw.super_set3	33	0	超限定セール！ネコカンパック超松
jp.co.ponos.battlecatstw.premium_sale	34	0	おめでとうセール
jp.co.ponos.battlecatstw.chara_558	35	0	キャラ「レアガチャネコ」販売
jp.co.ponos.battlecatstw.daikansha_set	36	0	通常大感謝パック
jp.co.ponos.battlecatstw.legend_ticket	37	0	レジェンドチケット販売
jp.co.ponos.battlecatstw.otasuke_sale1	38	0	お助けセール！ネコボン3時間使い放題
jp.co.ponos.battlecatstw.otasuke_sale2	39	0	お助けセール！ニャンピュータ3時間使い放題
jp.co.ponos.battlecatstw.otasuke_sale3	40	0	お助けセール！スニャイパー3時間使い放題
jp.co.ponos.battlecatstw.nekokan2_1	41	0	韓国、台湾版専用100ネコカン
jp.co.ponos.battlecatstw.powerup_sale1	42	0	パワーアップセール！ネコカン&アイテムパック梅
jp.co.ponos.battlecatstw.powerup_sale2	43	0	パワーアップセール！ネコカン&アイテムパック竹
jp.co.ponos.battlecatstw.powerup_sale3	44	0	パワーアップセール！ネコカン&アイテムパック松
jp.co.ponos.battlecatstw.kansha_set	45	0	感謝パック
jp.co.ponos.battlecatstw.legend_ticket	46	0	レジェンドチケット販売
jp.co.ponos.battlecatstw.rankup_sale4_1	0	0	お得！ネコカンパック
jp.co.ponos.battlecatstw.rankup_sale5_1	0	0	超お得！経験値パック
jp.co.ponos.battlecatstw.rankup_sale6_1	0	0	超お得！キャッツアイ&バトルアイテムパック
jp.co.ponos.battlecatstw.rare_ticket2_1	0	0	キャッツアイ&レアチケットセット販売
jp.co.ponos.battlecatstw.kouryaku_set_1	0	0	攻略応援パック
