＠|＠|＠|						//「0」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 3|per accedere a quest'area.|						//「1」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 6|per accedere a quest'area.|						//「2」の時の解放文章
Servono Grado giocatore 600|e GAMATOTO di livello 10|per accedere a quest'area.|						//「3」の時の解放文章
Servono Grado giocatore 900|e GAMATOTO di livello 14|per accedere a quest'area.|						//「4」の時の解放文章
Servono Grado giocatore 1600|e GAMATOTO di livello 19|per accedere a quest'area.|						//「5」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 24|per accedere a quest'area.|						//「6」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 30|per accedere a quest'area.|						//「7」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 36|per accedere a quest'area.|						//「8」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 43|per accedere a quest'area.|						//「9」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 50|per accedere a quest'area.|						//「10」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 58|per accedere a quest'area.|						//「11」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 67|per accedere a quest'area.|						//「12」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 72|per accedere a quest'area.|						//「13」の時の解放文章
Le Spedizioni di GAMATOTO|devono essere al livello 83|per accedere a quest'area.|						//「14」の時の解放文章
Per accedere a quest'area,|il livello 88 di GAMATOTO|è obbligatorio.|//「15」の時の解放文章
Per accedere a quest'area,|servono Grado giocat. 5000+|e GAMATOTO di livello 50+.|//「16」の時の解放文章
