紅天使大會|＠||||||||||||||||
黑星人大會|＠||||||||||||||||
不死鳥大會|＠||||||||||||||||
5週年紀念大會|＠||||||||||||||||
無精打采的修行|＠||||||||||||||||
6週年紀念大會|＠||||||||||||||||
亂鬥！Servant大來襲！|＠||||||||||||||||
魚群天堂|＠||||||||||||||||
飛踢公主軍團來襲！|＠||||||||||||||||
城與龍與道場|＠||||||||||||||||
戽斗軍團，來襲！|＠||||||||||||||||
吸血伯爵大賽|＠|
天空舞蹈大賽|＠|
宇宙亡者大賽|＠|
去見比我更強的傢伙|＠|
7週年紀念大會|＠||||||||||||||||
MikuMiku歌謠祭|＠||||||||||||||||
玩命關頭大會|＠
去見比我更強的傢伙|＠
8週年紀念大會|＠
紅天使大會|＠
黑星人大會|＠
不死鳥大會|＠
9週年紀念大會|＠
10週年紀念大會|＠
|＠
小心射程大會|＠
明治劍客浪漫大會|＠
小心波動大會|＠
|＠
鬥爭本能大會|＠
史上最強生物決戰！|＠
索尼克大戰！|＠
鬥爭本能大會|＠
小心停止大會|＠
