スピードアップ,戦闘スピードが2倍速になります,戦闘中アイテムをタップすれば,ON・OFFが可能,＠,
トレジャーレーダー,お宝出現率アップ！,勝利すれば１００％の確率で,最高のお宝をゲットすることができる,＠,
ネコボン,戦闘開始時から働きネコのレベルが,ＭＡＸ状態でスタートします,＠,
ニャンピュータ,ネコ型ＣＰＵが戦闘をやってくれます,ネコ型なので性能は期待できない,＠,
おかめはちもく,戦闘終了後に得られる経験値が,１．５倍になります,＠,
スニャイパー,スナイパーが援護射撃をしてくれます,弾が当たると必ずヒットバック,攻撃力は城の体力に比例します,＠,
XP,キャラクターのレベルを,パワーアップすることができます,＠,
NP,＠,,,
ダミー,＠,,,
ダミー,＠,,,
XP 5000,＠,,,
XP 10000,＠,,,
XP 30000,＠,,,
XP 50000,＠,,,
XP 100000,＠,,,
XP 200000,＠,,,
XP 500000,＠,,,
XP 1000000,＠,,,
XP 2000000,＠,,,
XP 500000,＠,,,
にゃんこチケット,＠,,,
レアチケット,＠,,,
ネコカン,アイテムや経験値などを購入することができます,＠,,
福引チケット,＠,,,
MH大狩猟チケット,＠,,,
まもるよチケット,＠,,,
福引チケット,＠,,,
福引チケット,＠,,,
福引チケット,＠,,,
プラチナチケット,＠,,,
紫マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
赤マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
青マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
緑マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
黄マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
紫マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
赤マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
青マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
緑マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
黄マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
虹マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
古代マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
古代マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
虹マタタビの種,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビの種,＠,
金マタタビ,にゃんこをさらなる高みへクラスチェンジさせることが,できるという幻のマタタビ,＠,
福引チケット,＠,,,
福引チケット,＠,,,
福引チケット,＠,,,
福引チケット,＠,,,
福引チケット,＠,,,
キャッツアイ【EX】,特定のEXキャラのレベル上限を解放できます,※Lv30に到達後、使用できます,＠,
キャッツアイ【レア】,レアキャラのレベル上限を解放できます,※Lv30に到達後、使用できます,＠,
キャッツアイ【激レア】,激レアキャラのレベル上限を解放できます,※Lv30に到達後、使用できます,＠,
キャッツアイ【超激レア】,超激レアキャラのレベル上限を解放できます,※Lv30に到達後、使用できます,＠,
キャッツアイ【伝説】,基本キャラ以外のキャラのレベル上限を解放できます,※Lv30に到達後、使用できます,＠,
