Festival del tesoro	#00acee
Festival tesoro (Impero)	100
Festival tesoro (Futuro)	101
Festival tesoro (Cosmo)	104
Evento delle sfere talento	#864a2b
Isola del tesoro nascosto	24055
Blitz del costruttore	#374f8e
Caverna di comete	1150
Isola di Cenere	1151
Stretto delle ali	1152
Evento Biglietto normale	#ff6600
Miaobiglietto da occasione	1006
L'assedio di Ippo!	1007
Pericolo imminente	1078
Evento allenamento	#ff00ff
Livello XP	1028
Megablitz di XP!	1059
Colosseo di XP	1124
XP spietati!	1155
Valanga di XP!	1319
Terreni di prova	1250
Evento mat. evoluzione	#008f03
Più strani	1162
Più epici	1222
Più cattivi	1274
Buffet di miagrumi	1118
Minatori epici	1326
Livelli del giorno	#82318e
Livello Blitz lun.	1073
Livello Blitz mar.	1074
Livello Blitz mer.	1075
Livello Blitz giov.	1076
Livello Blitz ven.	1077
Evento Selezione del Behemoth	#5f801f
Foresta segreta di Gapra	31000
Deserto Ashvini	31001
Vulcano Jinfore	31002
Evento Ricerca imperatrice	#3f7bd4
Confluenza arcana	1255
Servo delle tenebre	1256
Gatto malvagio	1257
Panzer malvagio	1258
Parco del demone	1265
Gatto ascia liberato	1266
