Login Reward #1<br>You got 20 Cat Food!	Day 1	
Login Reward #2<br>You got 1 Speed Up!	Day 2	
Login Stamp #3!<br>You got 1 Sniper the Cat!	Day 3	
Login Stamp #4!<br>You got 20 Cat Food!	Day 4	
Login Stamp #5!<br>You got 1 Normal Ticket!	Day 5	
Login Stamp #6!<br>You got 1 Cat Jobs!	Day 6	
Login Stamp #7!<br>You got limited unit "Merc" and 1 Normal Ticket!	Day 7	
Login Stamp #8!<br>You got +30,000 XP!	Day 8	
Login Stamp #9!<br>You got 2 Normal Tickets!	Day 9	
Login Stamp #10!<br>You got 30 Cat Food!	Day 10	
Login Stamp #11!<br>You got 1 Rare Ticket!	Day 11	
Login Stamp #12!<br>You got 30 Cat Food!	Day 12	
Login Stamp #13!<br>You got 1 Rich Cat!	Day 13	
Login Stamp #14!<br>You got 1 Treasure Radar!	Day 14	
