【모험 1일째 고향 마을】<br>고양이는 보물상자를 열었다<br>「스피드 업+5」을 발견했다!	1일째
【모험 2일째 고향 마을】<br>고양이는 항아리 안을 들여다보았다<br>「고양이 도령+4」을 발견했다!	2일째
【모험 3일째 고향 마을】<br>고양이는 소꿉친구에게<br>「레어 티켓+1」을 받았다!	3일째
【모험 4일째 고향 마을】<br>고양이는 옷장을 열었다<br>「야옹컴+4」을 발견했다!	4일째
【모험 5일째 고향 마을】<br>고양이는 문지기에게<br>「냥코 티켓+2」을 받았다!	5일째
【모험 6일째 작은 동굴】<br>고양이는 보물상자를 열었다<br>「레어 티켓+1」을 발견했다!	6일째
【모험 7일째 작은 동굴】<br>고양이는 벽을 조사했다<br>「트레저 레이더+1」를 발견했다!	7일째
【모험 8일째 작은 동굴】<br>고양이는 동굴 안에서<br>「스냥이퍼+5」를 발견했다!	8일째
【모험 9일째 험한 화산】<br>고양이는 모험자에게<br>「레어 티켓+1」을 받았다!	9일째
【모험 10일째 험한 화산】<br>고양이는 마그마 속에서<br>「냥코 티켓+3」을 발견했다!	10일째
【모험 11일째 험한 화산】<br>고양이는 화구의 보물상자를 열었다<br>「고양이 박사+4」를 발견했다!	11일째
【모험 12일째 여관】<br>고양이는 옷장을 열었다<br>「레어 티켓+1」을 발견했다!	12일째
【모험 13일째 여관】<br>고양이는 세이브 포인트에서<br>「고양이 도령+3」을 발견했다!	13일째
【모험 14일째 광대한 사막】<br>고양이는 모래 속에서<br>「야옹컴+3」을 발견했다!	14일째
【모험 15일째 광대한 사막】<br>묻혀 있던 콘택트 렌즈와<br>「레어 티켓+1」을 발견했다!	15일째
【모험 16일째 광대한 사막】<br>고양이는 오아시스에서<br>「트레저 레이더+1」를 발견했다!	16일째
【모험 17일째 섬을 잇는 대교】<br>고양이는 다리 밑에서<br>「고양이 박사+3」를 발견했다!	17일째
【모험 18일째 섬을 잇는 대교】<br>고양이는 새둥지에서<br>「레어 티켓+1」을 획득했다!	18일째
【모험 19일째 코코리카 마을】<br>고양이는 촌장에게<br>「스피드 업+5」을 받았다!	19일째
【모험 20일째 알현실】<br>고양이는 왕에게<br>「냥코 티켓+3」을 받았다!	20일째
【모험 21일째 알현실】<br>고양이는 대신의 주머니에서<br>「레어 티켓+1」을 훔쳤다!	21일째
【모험 22일째 지하 감옥】<br>고양이는 감옥 안에서<br>「고양이 박사+3」를 발견했다!	22일째
【모험 23일째 지하 감옥】<br>고양이는 해골에서<br>「고양이 도령+3」을 발견했다!	23일째
【모험 24일째 지하 감옥】<br>고양이는 열쇠와<br>「레어 티켓+1」을 발견했다!	24일째
【모험 25일째 꽁꽁 언 설산】<br>고양이는 눈 속에서<br>「냥코 티켓+2」을 발견했다!	25일째
【모험 26일째 꽁꽁 언 설산】<br>고양이는 설인에게<br>「트레저 레이더+1」를 받았다!	26일째
【모험 27일째 꽁꽁 언 설산】<br>고양이는 10+1번 도망쳤다!<br>「레어 티켓+1」을 발견했다!	27일째
【모험 28일째 미궁의 숲】<br>고양이는 오카리나와<br>「야옹컴+3」을 발견했다!	28일째
【모험 29일째 미궁의 숲】<br>고양이는 낙엽 속에서<br>「스냥이퍼+5」를 발견했다!	29일째
【모험 30일째 숲의 출구】<br>고양이는 숲의 대요정에게<br>「레어 티켓+1」을 받았다!	30일째
