textID|テキスト内容
1|「공격력 다운」효과를 해방합니다.<br>레벨을 올리면 공격력 다운시키는 시간이 길어집니다.
2|「움직임을 멈춘다」효과를 해방합니다.<br>레벨을 올리면 움직임을 멈추는 시간이 길어집니다.
3|「움직임을 느리게 한다」효과를 해방합니다.<br>레벨을 올리면 움직임을 느리게 하는 시간이 길어집니다.
4|「공격 타겟 한정」효과를 해방합니다.
5|「엄청 강하다」효과를 해방합니다.
6|「맷집이 좋다」효과를 해방합니다.
7|「초 데미지」효과를 해방합니다.
8|「날려버린다」효과를 해방합니다.<br>레벨을 올리면 날려버리는 확률이 높아집니다.
9|「워프」효과를 해방합니다.
10|체력 저하로 공격력이 상승하는 능력을 해방합니다.<br>레벨을 올리면 능력 발동 시의 공격력이 상승합니다.
11|「살아남는다」능력을 해방합니다.<br>레벨을 올리면 살아남는 확률이 높아집니다.
12|「성 파괴 특기」능력을 해방합니다.
13|「크리티컬」능력을 해방합니다.<br>레벨을 올리면 크리티컬 발동 확률이 높아집니다.
14|「좀비 킬러」능력을 해방합니다.
15|「베리어 브레이커」능력을 해방합니다.<br>레벨을 올리면 베리어 파괴 확률이 높아집니다.
16|「격파시 머니 UP」능력을 해방합니다.
17|「파동 공격」능력을 해방합니다.<br>레벨을 올리면 파동을 뿜어내는 확률이 높아집니다.
18|「공격력 다운 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다. 
19|「움직임을 멈춘다 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다.
20|「움직임을 느리게 한다 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다.
21|「날려버린다 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다.
22|「파동 데미지 내성」능력을 해방합니다.<br>레벨을 올리면 받은 데미지를 더욱 경감시킵니다.
23|「파동 스톱퍼」능력을 해방합니다.
24|「워프 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다. 
25|「고대의 저주 무효」 능력을 해방합니다.
26|「고대의 저주 내성」능력을 해방합니다.<br>레벨을 올리면 적으로부터 받는 효과가 더욱 경감됩니다. 
27|캐릭터의 기본 체력이 좋아집니다.<br>레벨을 올리면 체력이 더욱 높아집니다.
28|캐릭터의 기본 공격력이 좋아집니다.<br>레벨을 올리면 공격력이 더욱 높아집니다.
29|캐릭터의 이동 속도가 빨라집니다.<br>레벨을 올리면 속도가 더욱 빨라집니다.
30|캐릭터의 넉백 횟수가 증가됩니다.<br>레벨을 올리면 횟수가 더욱 증가합니다.
31|캐릭터의 생산 코스트가 줄어듭니다.<br>레벨을 올리면 코스트가 더욱 줄어듭니다.
32|캐릭터의 생산 스피드가 빨라집니다. <br>레벨을 올리면 스피드가 더욱 빨라집니다.
33|유효 타겟에 빨간 적을 추가합니다.
34|유효 타겟에 떠있는 적을 추가합니다.
35|유효 타겟에 검은 적을 추가합니다.
36|유효 타겟에 메탈 적을 추가합니다.
37|유효 타겟에 천사를 추가합니다.
38|유효 타겟에 에이리언을 추가합니다.
39|유효 타겟에 좀비를 추가합니다.
40|유효 타겟에 고대종을 추가합니다.
41|유효 타겟에 속성을 가지지 않는 적을 추가합니다.
42|「공격력 다운」효과를 강화합니다.<br>레벨을 올리면 공격력을 다운시키는 시간이 길어집니다.
43|「움직임을 멈춘다」효과를 강화합니다.<br>레벨을 올리면 움직임을 멈추는 시간이 길어집니다.
44|「움직임을 느리게 한다」효과를 강화합니다.<br>레벨을 올리면 움직임을 느리게 하는 시간이 길어집니다.
45|「날려버린다」효과를 강화합니다.<br>레벨을 올리면 날려버리는 확률이 높아집니다.
46|체력 저하로 공격력이 상승하는 능력을 강화합니다.<br>레벨을 올리면 능력 발동 시의 공격력이 상승합니다.
47|「살아남는다」능력을 강화합니다.<br>레벨을 올리면 살아남을 확률이 높아집니다.
48|「크리티컬」능력을 강화합니다.<br>레벨을 올리면 크리티컬 발동 확률이 높아집니다.
49|「베리어 브레이커」능력을 강화합니다.<br>레벨을 올리면 베리어 파괴 확률이 높아집니다.
50|「파동 공격」능력을 강화합니다.<br>레벨을 올리면 파동을 내는 확률이 높아집니다.
51|「워프」효과를 강화합니다.<br>레벨을 올리면 워프 시간이 길어집니다.
52|「크리티컬」능력을 해방합니다.
53|「공격력 다운 무효」 능력을 해방합니다.
54|「움직임을 멈춘다 무효」 능력을 해방합니다.
55|「움직임을 느리게 한다 무효」 능력을 해방합니다.
56|「날려버린다 무효」 능력을 해방합니다.
57|「파동 데미지 무효」 능력을 해방합니다.
58|「워프 무효」 능력을 해방합니다.
59|「혼신의 일격」 효과를 해방합니다.<br>레벨을 올리면 혼신의 일격이 발동할 확률이 높아집니다.
60|「공격 무효」 효과를 해방합니다.<br>레벨을 올리면 공격을 무효로 하는 시간이 길어집니다.
61|「혼신의 일격」 효과를 강화합니다.<br>레벨을 올리면 혼신의 일격이 발동할 확률이 높아집니다.
62|「공격 무효」 효과를 강화합니다.<br>레벨을 올리면 공격을 무효로 하는 시간이 길어집니다.
