0,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
0,クリア済みのステージで,経験値を貯めて再挑戦にゃ！,＠,＠,＠
0,どうしても勝てないときは,各地に散らばるお宝を集めるといいにゃ！,にゃんこ達のパワーが,数倍に膨れ上がるにゃ！,＠
1,コストの安いにゃんこをたくさん生産して,遠距離攻撃できるにゃんこを守る！,にゃんこ軍団を勝利に導くための,戦い方の秘訣にゃ！,＠
2,時には神さまのチカラを,借りてみるといいかもにゃ！,＠,＠,＠
3,アイテムを使えば,戦いを有利に進められるはずにゃ！,アイテムは曜日ステージで,手に入れることも出来るにゃ！,＠
4,第一章で集めたお宝効果も,第二章で発動させることができるにゃ！,どうしても勝てないときは,お宝で大幅パワーアップするにゃ！,＠
5,粗悪なお宝よりも最高のお宝の方が,揃った時の効果が大きいにゃ！,統率力に余裕があれば最高のお宝を,どんどん集めて強くなるにゃ！,＠
5,範囲攻撃を持ったキャラクターは,邪魔なザコ敵を一掃してくれるにゃ！,範囲攻撃を持ったEXキャラクターを,効果的に出陣させるのにゃ！,＠
6,基本キャラクターを第３形態まで進化出来れば,大きな戦力アップになるにゃ！,にゃんこチケットを手に入れて,基本キャラクターを強くするにゃ！,＠
7,エイリアンはとっても強いにゃ！,日本編をクリアしてキャラクターの,レベルをあげるか、エイリアンに強くなる,お宝を集めてリベンジにゃ！,＠
8,日本編で集めたお宝効果は,未来編でも有効にゃ！,最高のお宝を集めまくって再挑戦にゃ！,＠,＠
9,ユーザーランクを上げるとにゃんこを,さらに強化することが出来るようになるにゃ！,ユーザーランクはパワーアップをすれば,どんどん上げることが出来るにゃ！,＠
10,勝てない時は未来編のお宝を集めて,エイリアンに強くなるにゃ！,にゃんコンボも駆使して,再チャレンジにゃ！,＠
11,ネコ基地のにゃんこのフキダシをタップすれば,攻略のヒントとなる豆知識を,たくさん得ることが出来るにゃ！,＠,＠
11,メタル属性を持つ敵キャラには,「クリティカル」能力が有効にゃ！,手持ちのキャラクターの能力を確認して,有効なにゃんこを連れていくにゃ！,＠
12,レアリティの高いキャラクターは,基本キャラクターの成長があってこそ,活躍してくれるにゃ！,日々の精進が大切にゃ！,＠
13,「レジェンドストーリー」では多くの経験値を,獲得出来るにゃ！,クリア済みのステージで,経験値を貯めて再挑戦にゃ！,＠
14,「ちびまどか」と「ちびほむら」の,深い絆が絶望の運命を変えるにゃ！,＠,＠,＠
15,宇宙編では未来編に登場しなかった,新しいエイリアンがたくさん出てくるにゃ！,宇宙編のお宝を集めれば,そんなエイリアンたちに強くなるにゃ！,＠
16,ここでしか効果を発揮しないお宝が,宇宙には眠ってるってどこかで聞いたにゃ！,なんとかお宝を集めてリベンジにゃ！,＠,＠
17,「バリア」を持つ敵キャラには,「バリアブレイカー」能力が有効にゃ！,手持ちのキャラクターの能力を確認して,有効なにゃんこを連れていくにゃ！,＠
18,「ワープ」を使ってくる敵キャラには,「ワープ無効」能力が有効にゃ！,手持ちのキャラクターの能力を確認して,有効なにゃんこを連れていくにゃ！,＠
19,「ワープ」を使ってくる敵キャラには,「ワープ無効」能力が有効にゃ！,手持ちのキャラクターの能力を確認して,有効なにゃんこを連れていくにゃ！,＠
20,「バリア」を持った敵は,バリアの強度を上回る攻撃を与えないと,ダメージがきかないにゃ！,強そうなにゃんこを連れていくといいにゃ！,＠
21,「バリア」を持った敵は,バリアの強度を上回る攻撃を与えないと,ダメージがきかないにゃ！,強そうなにゃんこを連れていくといいにゃ！,＠
22,スターがあるエイリアンはとっても強いにゃ！,スターがあるエイリアンに強くなる,お宝を集めてリベンジにゃ！,＠,＠
23,バリアの強度を上回る攻撃を与えれば,「バリアブレイカー」の能力が無くても,バリアを割ることができるにゃ！,＠,＠
24,ここでしか効果を発揮しないお宝が,宇宙には眠ってるってどこかで聞いたにゃ！,なんとかお宝を集めてリベンジにゃ！,＠,＠
25,ここでしか効果を発揮しないお宝が,宇宙には眠ってるってどこかで聞いたにゃ！,なんとかお宝を集めてリベンジにゃ！,＠,＠
26,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
26,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
26,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
27,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
27,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
27,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
28,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
28,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
28,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
29,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
29,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
29,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
30,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
30,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
30,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
31,一部の降臨ステージは,ネコビタンステージからも,挑戦できるにゃ,＠,＠
31,経験値を貯めて,パワーアップしたり,属性を合わせて再挑戦にゃ！,＠,＠
31,キャラクターのレベルを上げて,にゃんこ達をパワーアップすれば,強敵もきっと倒せるようになるにゃ！,＠,＠
