【日本編1章】	日本編1章の最高のお宝を全てゲット
【日本編2章】	日本編2章の最高のお宝を全てゲット
【日本編3章】	日本編3章の最高のお宝を全てゲット
【日本奪還Ⅰ】	日本編1章のゾンビステージを全クリア
【日本奪還Ⅱ】	日本編2章のゾンビステージを全クリア
【日本奪還Ⅲ】	日本編3章のゾンビステージを全クリア
【未来編1章】	未来編1章の最高のお宝を全てゲット
【未来編2章】	未来編2章の最高のお宝を全てゲット
【未来編3章】	未来編3章の最高のお宝を全てゲット
【未来奪還Ⅰ】	未来編1章のゾンビステージを全クリア
【未来奪還Ⅱ】	未来編2章のゾンビステージを全クリア
【宇宙編1章】	宇宙編1章の最高のお宝を全てゲット
【宇宙編2章】	宇宙編2章の最高のお宝を全てゲット
【宇宙編3章】	宇宙編3章の最高のお宝を全てゲット
【侵略者撃破】	フィリバスターステージをクリア
【伝説のネコⅠ】	レジェンドストーリー<br>ステージレベル1を全クリア
【伝説のネコⅡ】	レジェンドストーリー<br>ステージレベル2を全クリア
【伝説のネコⅢ】	レジェンドストーリー<br>ステージレベル3を全クリア
【レッドサイクロン】	紅のカタストロフをクリア
【暗黒サイクロン】	ダークネスヘブンをクリア
【白金サイクロン】	国士無双をクリア
【天使サイクロン】	天罰をクリア
【鋼鉄サイクロン】	鉄子の部屋をクリア
【宇宙サイクロン】	絶望異次元をクリア
【猛烈サイクロン】	緊急爆風警報をクリア
【Zサイクロン】	ローリングデッドをクリア
【異次元サイクロン】	絶望新次元をクリア
【古代サイクロン】	台風零号をクリア
【天使降臨】	断罪天使クオリネル降臨をクリア
【地獄門】	地獄門をクリア
【女帝飛来】	女帝飛来をクリア
【亡者降臨】	亡者デブウ降臨をクリア
【伯爵降臨】	チワワン伯爵降臨をクリア
【夢見よ乙女】	夜は短し夢みよ乙女をクリア
【河豚惑星】	ブルーインパクトをクリア
【狂乱討伐】	狂乱ステージを全クリア
【大狂乱討伐】	大狂乱ステージを全クリア
【ちびネコ討伐】	開眼のちびネコステージを全クリア
【新年】	新年、あけました。おめっ...をクリア
【節分】	召喚された福！をクリア
【ひな祭り】	雛壇の戦士達をクリア
【青春】	春だよ！高校教師をクリア
【こいのぼり】	コイの五月病をクリア
【結婚】	禁断の花嫁をクリア
【真夏】	だって夏じゃニャーイ！をクリア
【盆】	あの世からの帰省ラッシュ！をクリア
【敬老】	町でみたすごい老人をクリア
