218,218,194,1,		//下地のカラーR,G,B,点線,
20,	//A
374,1536,			//1
641,1406,			//2
835,1595,			//3
980,1692,			//4
1264,1648,			//5
1194,1519,			//6
1392,1380,
1332,1228,
1121,1221,
875,1296,
593,1239,
478,1098,
330,1060,
411,849,
616,818,
689,680,
1017,547,
1315,730,
1374,864,
985,1022,
10,	//B
374,1536,			//1
835,1595,			//2
1264,1648,			//3
1392,1380,			//4
1121,1221,			//5
593,1239,			//6
330,1060,
616,818,
1017,547,
1374,864,
1,	//C
1158,1233,			//1
3,	//D
1151,1312,			//1
1158,1233,			//2
1162,1157,			//3
1,	//E
985,1022,			//1
20,	//F
1417,1647,			//1
1171,1595,			//2
981,1722,			//3
802,1644,			//4
594,1631,			//5
678,1501,			//6
455,1361,			//7
525,1216,			//8
298,1096,			//9
480,932,			//10
446,741,			//11
712,816,			//12
886,557,			//13
1146,495,			//14
1209,747,			//15
1435,921,			//16
1448,1132,			//17
1343,1381,			//18
1040,1227,			//19
985,1022,			//20
20,	//G
548,469,			//1
453,732,			//2
362,1000,			//3
524,1219,			//4
543,1506,			//5
804,1567,			//6
1085,1611,			//7
1260,1476,			//8
944,1328,			//9
1243,1271,			//10
1371,1065,			//11
1294,859,			//12
1467,730,			//13
1266,471,			//14
1014,524,			//15
788,443,			//16
680,601,			//17
992,752,			//18
634,956,			//19
985,1022,			//20
20,	//H
1437,658,			//1
1557,825,			//2
1288,860,			//3
1246,1066,			//4
1459,1347,			//5
1313,1540,			//6
1067,1455,			//7
923,1322,			//8
703,1514,			//9
459,1342,			//10
458,1122,			//11
290,1033,			//12
260,788,			//13
456,734,			//14
667,835,			//15
676,600,			//16
994,749,			//17
841,903,			//18
912,1150,			//19
985,1022,			//20
20,	//I
657,1691,			//1
1009,1583,			//2
1249,1696,			//3
1461,1356,			//4
1202,1342,			//5
914,1271,			//6
621,1371,			//7
520,1221,			//8
285,1034,			//9
523,966,			//10
455,718,			//11
671,643,			//12
793,803,			//13
1002,738,			//14
1032,518,			//15
1326,650,			//16
1518,776,			//17
1292,845,			//18
1241,1034,			//19
985,1022,			//20
20,	//J
1007,742,			//1
1020,534,			//2
1320,660,			//3
1284,852,			//4
1370,1045,			//5
1347,1272,			//6
1186,1485,			//7
943,1310,			//8
737,1427,			//9
526,1220,			//10
316,1200,			//11
281,1016,			//12
304,817,			//13
454,725,			//14
491,518,			//15
678,608,			//16
743,822,			//17
641,1007,			//18
846,1157,			//19
985,1022,			//20
30,	//K
1570,1051,			//1
1602,1189,			//2
1464,1318,			//3
1263,1383,			//4
1148,1189,			//5
1247,1058,			//6
1405,990,			//7
1440,860,			//8
1286,846,			//9
1101,718,			//10
1020,524,			//11
888,407,			//12
822,519,			//13
708,443,			//14
595,326,			//15
421,419,			//16
414,602,			//17
557,496,			//18
546,631,			//19
448,730,			//20
363,858,			//21
485,994,			//22
600,857,			//23
761,885,			//24
666,1071,			//25
784,1330,			//26
820,1049,			//27
899,851,			//28
839,725,			//29
681,635,			//30
10,	//L
1551,1034,			//1
1291,854,			//2
1100,590,			//3
877,854,			//4
672,631,			//5
529,1225,			//6
820,1266,			//7
956,1481,			//8
1582,1430,			//9
1040,1197,			//10
20
450,700
276,984
464,1388
826,1652
1224,1720
1192,1476
1218,1328
946,1420
588,1075
668,606
478,498
884,328
1136,294
1016,496
1494,542
1158,712
853,764
1181,899
1299,1218
985,1022
15
1470,1600
1294,1686
1412,1363
1150,1228
909,1166
650,1004
335,1064
447,743
816,608
918,373
1045,535
1011,747
1277,865
994,1025
991,920
5
1132,335
682,592
303,383
283,1015
1002,750
20
1191,1729
955,1613
936,1455
405,1445
622,966
294,994
446,727
401,407
666,677
841,861
884,328
1017,524
1202,321
1461,647
1161,683
1188,908
1499,1080
1308,1253
1225,1494
985,1022
//ステージ数
//x,y,
