0,180,0,25000,1,25001,1,25003,1
1,180,0,25007,1,25002,1,25004,1
2,180,0,25008,1,25005,1,25006,1
0,180,300547,25009,1,25012,1,25015,1,25018,1,25021,1,25024,1,25027,1
1,180,300547,25010,1,25013,1,25016,1,25019,1,25022,1,25025,1,25028,1
2,180,300547,25011,1,25014,1,25017,1,25020,1,25023,1,25026,1,25029,1
0,180,300547,25063,1,25067,1
1,180,300547,25064,1,25068,1
2,180,300547,25065,1,25069,1
0,180,300006,25030,1,25051,1,25052,1,25053,1
1,180,300006,25031,1,25054,1,25055,1,25056,1
2,180,300006,25032,1,25057,1,25058,1,25059,1
0,180,0,25060,1
1,180,0,25061,1
2,180,0,25062,1
2,180,0,25066,1
3,0,0,25070,1
3,0,0,25071,1
3,0,0,25072,1

//レアリティ
//鑑定時間
//抽選条件
//抽選マップ
//抽選割合
