โจมตีเพิ่มขึ้น %@: %@	ดาเมจต่อ %@ เพิ่มขึ้น
ป้องกันเพิ่มขึ้น %@: %@	ดาเมจจาก %@ ลดลง
เพิ่มเอฟเฟกต์แข็งแกร่ง %@: %@	เอฟเฟกต์แข็งแกร่งจะเพิ่มกับ %@
เพิ่มดาเมจมหาศาล %@: %@	ดาเมจจะเพิ่มกับ %@
เพิ่มเอฟเฟกต์อึด %@: %@	ความอึดต่อการโจมตี %@ จะดีขึ้น
คลื่นความตายจิ๋ว %@	มีคลื่นจิ๋วเมื่อแพ้<br>ทุก 2 รอบ (ไม่สะสม)
ทนต่อดาเมจคลื่น %@	ลดดาเมจจากการโจมตีคลื่นของศัตรู
รับเงินคืน %@	รับเงินค่าใช้แมวที่แพ้คืนบางส่วน<br>ทุก 2 รอบ
ทนต่อกระแทกกลับ %@	ลดเอฟเฟกต์จากการโจมตีกระแทกกลับของศัตรู
บูสต์ด่านเรื่องราวแห่งตำนาน %@	บูสต์พลังชีวิตและโจมตี<br>ในด่านเรื่องราวแห่งตำนาน (ไม่สะสม)
มือสังหารยักษ์ %@	มือสังหารยักษ์ทุก 2 รอบ (ไม่สะสม)
ชาร์จปืนใหญ่แมว %@	ชาร์จปืนใหญ่เมื่อแมวปราชัย<br>มีผลหลังใช้งานทุก 2 ครั้ง (ไม่สะสม)
ทนต่อพิษ %@	ลดดาเมจจากการโจมตีด้วยพิษของศัตรู
หลบหลีกการโจมตี (ทั้งหมด) %@	มอบความสามารถหลบหลีกการโจมตี (ทั้งหมด)<br>ให้กับแมวที่ใช้งานทุกสองตัว
ทนต่อชะลอ %@	ลดดาเมจจากการโจมตีชะลอของศัตรู
ทนต่อคำสาป %@	ลดดาเมจจากคำสาปของศัตรู
บูสต์ตำนานประหลาด %@	บูสต์พลังชีวิตและโจมตี<br>ในตำนานประหลาด (ไม่สะสม)
โต้โหมกระหน่ำเดี่ยว %@	โต้ด้วยโจมตีโหมกระหน่ำหนึ่งครั้งหลังถูก<br>ศัตรูใช้การโจมตีโหมกระหน่ำใส่<br>ทุกสองครั้ง (ไม่ทับซ้อน)
เบอร์เซอร์เกอร์ %@	พลังโจมตีเพิ่มขึ้นหลังปราบ<br>ศัตรูได้จำนวนหนึ่ง (ไม่ทับซ้อน)
คูลดาวน์สั้นลง %@	คูลดาวน์สั้นลงกับทุกการใช้<br>สองครั้ง (ไม่ทับซ้อน)
ทนต่อแช่แข็ง %@	ลดเอฟเฟกต์แช่แข็งจากการโจมตีของศัตรู
ทนต่อลดทอน %@	ลดเอฟเฟกต์ลดทอนจากการโจมตีของศัตรู
ราคาลดลง %@	ลดค่าใช้งานยูนิตทุก 2 รอบ (ไม่สะสม)
ทนต่อโจมตีโหมกระหน่ำ %@	ลดดาเมจจากการโจมตีโหมกระหน่ำของศัตรู
