jp.co.ponos.battlecats.nekokan1	eio1z3
jp.co.ponos.battlecats.nekokan2	wxgzyz
jp.co.ponos.battlecats.nekokan3	lixf65
jp.co.ponos.battlecats.nekokan4	gn1pis
jp.co.ponos.battlecats.nekokan5	bs8lam
jp.co.ponos.battlecats.nekokan6	mss97u
jp.co.ponos.battlecats.nekokan7	b3orcc
jp.co.ponos.battlecats.nekokan8	nno3yt
jp.co.ponos.battlecats.nekokan_pack1	w9iysj	初心者パック600円
jp.co.ponos.battlecats.nekokan_pack2	dvsusf	初心者パック1400円
jp.co.ponos.battlecats.nekokan_pack3	egjaj8	初心者パック3600円	
jp.co.ponos.battlecats.rankup_sale1	q42eqv	ランクアップセールネコカン
jp.co.ponos.battlecats.rankup_sale2	gsz6wf	ランクアップセール経験値
jp.co.ponos.battlecats.rankup_sale3	uzfolj	ランクアップセールアイテム大盛りパック
jp.co.ponos.battlecats.item_pack1	doq698	アイテムパック600円
jp.co.ponos.battlecats.item_pack2	57fuj0	アイテムパック1400円
jp.co.ponos.battlecats.item_pack3	favert	アイテムパック3600円
jp.co.ponos.battlecats.matatabi_set1	g6u8ci	マタタビセット2400円
jp.co.ponos.battlecats.matatabi_set2	wupgmf	マタタビセット4800円
jp.co.ponos.battlecats.matatabi_set3	7ygur8	マタタビセット9800円
jp.co.ponos.battlecats.platinum_ticket	luoi35
jp.co.ponos.battlecats.rare_ticket	2n3k45
jp.co.ponos.battlecats.chara_479	zfrp1m	グミネコ
jp.co.ponos.battlecats.nyanko_club	sq6uhv	にゃんこクラブゴールド会員権
jp.co.ponos.battlecats.restart	shj596	「リスタートパック」
jp.co.ponos.battlecats.daikansha_set	x2oq0n	「大感謝パック」
jp.co.ponos.battlecats.super_set1	a5snea	「超限定セール！ネコカンパック超梅」
jp.co.ponos.battlecats.super_set2	4fve88	「超限定セール！ネコカンパック超竹」
jp.co.ponos.battlecats.super_set3	t2fhhw	「超限定セール！ネコカンパック超松」
jp.co.ponos.battlecats.premium_sale	u95m8y	おめでとうセール
jp.co.ponos.battlecats.chara_558	djhkmh	キャラ「レアガチャネコ」販売
jp.co.ponos.battlecats.chara_567	4stkcz	キャラ「チビクロプスネコタマゴ」販売
jp.co.ponos.battlecats.legend_ticket	vabft2	レジェンドチケット販売
jp.co.ponos.battlecats.otasuke_sale1	xydr9a	お助けセール！ネコボン3時間使い放題
jp.co.ponos.battlecats.otasuke_sale2	xbwcp9	お助けセール！ニャンピュータ3時間使い放題
jp.co.ponos.battlecats.otasuke_sale3	w7zevp	お助けセール！スニャイパー3時間使い放題
jp.co.ponos.battlecats.chara_608	vbylqy	限定キャラ「ネコウエハース」販売
jp.co.ponos.battlecats.powerup_sale1	3h4mys	パワーアップセール！ネコカン&アイテムパック梅
jp.co.ponos.battlecats.powerup_sale2	irk7al	パワーアップセール！ネコカン&アイテムパック竹
jp.co.ponos.battlecats.powerup_sale3	q6lytb	パワーアップセール！ネコカン&アイテムパック松
jp.co.ponos.battlecats.kansha_set	mydbdm	感謝パック
