56,34,29,1,		//下地のカラーR,G,B,点線,
2,			//A
458,675,			//1
534,598,			//2
2,			//B
470,475,			//1
572,548,			//2
2,			//C
690,475,			//1
848,460,			//2
1,			//D
734,675,			//1
2,			//E
600,450,			//1
600,725,			//2
5,			//F
458,675,			//1
572,688,			//2
635,612,			//3
598,520,			//4
534,598,			//5
5,			//G
470,475,			//1
379,525,			//2
485,556,			//3
540,634,			//4
572,548,			//5
5,			//H
690,475,			//1
678,567,			//2
788,602,			//3
880,534,			//4
848,460,			//5
10,			//I
343,652,			//1
415,544,			//2
509,474,			//3
515,593,			//4
536,709,			//5
630,608,			//6
724,531,			//7
855,499,			//8
857,612,			//9
734,675,			//10
5,			//J
600,450,			//1
513,525,			//2
600,587,			//3
683,648,			//4
600,725,			//5
//ステージ数
//x,y,
