¡Menú «Mejorar» desbloqueado!|Toca el botón «Mejorar» en la base gatuna||para activar unidades y mejorar tu ejército.|＠|
¡Menú de organización desbloqueado!|Ya puedes organizar las unidades|que quieras llevar a la batalla.|＠||
¡Menú de tesoros desbloqueado!|Reúne tesoros para activar|poderosos bonus.|＠||
¡Bestiario desbloqueado!|Aquí puedes leer información sobre los|enemigos a los que te has enfrentado.|＠||
¡Tienda desbloqueada!|Aquí puedes comprar muchos objetos útiles|para usarlos en la batalla.|＠||
¡Tienda de Friskas desbloqueada!|Puedes acceder a ella desde el menú principal.|＠|||
¡Dios nos presta sus poderes!|Ya puedes invocar al Misidiós en la batalla.|＠|||
¡Buscagatos desbloqueado!|Filtra e inspecciona a todos los|gatos que has activado.|＠||
¡Gamatoto desbloqueado!|Envíalo de excursión para que recoja|valiosos objetos como premio.|＠||
¡Nuevos objetos disponibles en la tienda!|Compra gataminas para acortar la duración de|las excursiones de Gamatoto.|＠||
¡Aumenta el nivel máximo!|Utiliza gatojos con determinados gatos|para desbloquear niveles más altos.|＠||
¡Almacén de fruta felina desbloqueado!|Echa un vistazo a las frutas felinas|y a las semillas que has obtenido hasta ahora.|＠||
¡Ya puedes grabar y compartir tus batallas!|Activa el autograbado en el menú de ajustes|e inmortaliza tus batallas. La grabación se|detendrá automáticamente al final del combate.|＠|
¡Ya puedes ver las partidas de otros!|Ve al menú de ajustes en la pantalla de título|para buscar vídeos de The Battle Cats.|＠||
¡Ya está disponible el Dojo Afilagarras!|Lucha en la Sala de Iniciados|y pon a prueba tus habilidades.|＠||
