Te voy a enseñar un milagro superchulo.| Observa... ¡Abracadabra, pata de cabra!|
Bueno,|elige lo que quieras.|
No te preocupes,|tengo tiempo de sobra.|
¿No te decides?|Siempre con la cabeza llena de deseos, eh...|
Ah, perdona, estaba echando una siesta.||
Ah, perdona, no te estaba escuchando.||
Todos somos un poco románticos, hasta yo.|Pero solo a veces.|
Los milagros cuestan Friskas.||
A veces me cansa que todo el mundo|esté dependiendo de mí, ¿sabes?|
¿Ahora? ¿En serio?|Es que estoy muy liado.|
¿Y ahora qué?|Ah, eres tú otra vez...|
Dicen que hay que llevar la cabeza alta.|¿Por qué no llevarla pegada al cuerpo?|
¿No tienes alas o qué? Ah, claro...|Si las tuvieras, sería superraro...|
Ser Dios no es complicado.|De hecho, está chupado.|
Ya me han dicho que soy muy resultón.|¿Tu qué opinas?|
Admítelo: lo que sientes es amor.||
¿Cuándo se jubila uno en este trabajo?|¿Y a qué me dedicaré después?...|
Cuando me enfado...,|todo el mundo sufre.|
¿Friskas?|Bueno, no está mal...|
La verdad es que Dios mola bastante,|si no está feo que lo diga yo.|
¿Cuántas veces me has pedido ese milagro?||
Pero vamos a ver..., ¿ese otra vez?||
¡Venga ya!... ¿En serio?|Es que te encanta, ¿verdad?|
Siento como si fuera uno con el universo.|Supongo que será solo cosa mía...|
Hasta Dios tiene gustos y preferencias.||
¿Que cuáles son los secretos de Dios?|Eso es secreto.|
Cuando te miro...,|me acuerdo de cuando yo era joven.|
Sí, quieres ser popular.||
El dinero es el mejor abogado.||
¿Mi uniforme? Es de carne y hueso.||
¿A que molo un montón?||
Prefiero amar a ser amado.|No, lo digo en serio.|
Friskas = Fe||
