Ti mostrerò un miracolo...| Uno bello. *Abracadabra! Alakazam!|
Beh,|scegli quello che vuoi.|
Non preoccuparti...|Ho tutto il tempo.|
Non hai ancora scelto?|Sei il solito perditempo.|
Oh scusa, mi ero addormentato.||
Oh scusa, non stavo ascoltando.||
Tutti vogliono essere romantici, anche io.|Ma non sempre.|
I miracoli avvengono grazie al Friskat.||
A volte mi stanco di dover|essere invocato da tutti.|
Adesso? Davvero?|Sarei un po' impegnato...|
Oh, che c'è ora?|Oh, ancora tu.|
Ho sentito che camminate a testa alta.|Quindi state in testa ad altri? Strambi.|
Non avete le ali? Oh, aspetta.|Se le aveste, sarebbe alquanto disgustoso.|
Essere un dio non è difficile.|Direi anzi che è facile, sai?|
Mi hanno detto che sono belloccio.|Tu che ne dici?|
Ammettilo, mi ami.||
Ehi, a quanti anni andrò in pensione?|Chissà cosa farò quando verrà il momento.|
Sai, quando mi arrabbio...|soffrono tutti.|
Friskat?|Non lo odio.|
Dio è davvero un gran tipo...|se posso permettermi.|
Quel miracolo, a quante volte stiamo?||
Aspetta, come... ancora quello?||
Oh, ma insomma, davvero?|Deve... davvero piacerti, eh?|
Mi sento... tutt'uno con l'universo.|Oh? Allora è solo una mia sensazione.|
Anche dio ha delle preferenze.||
Il segreto di dio?|Beh... è un segreto.|
Quando ti guardo,|mi ricordo di quand'ero giovane.|
Già, vuoi essere popolare.||
I soldi sono il miglior avvocato.||
L'uniforme di dio è la nudità.||
Sono fantastico, non trovi?||
Vorrei amare di più, anziché essere amato.|No, sul serio.|
Tanto Friskat = Tanta fede.||
