164,165,157,1,		//下地のカラーR,G,B,点線,
6
1475,2344
1305,2116
1507,2016
1891,2205
1850,1951
2190,2008
6
2213,1942
1903,1701
2258,1630
2078,1431
2483,1437
2246,1174
6
2797,1126
3080,1056
3312,1200
3440,1460
3688,1340
3576,1096
6
4118,1217
4538,1178
4790,866
5030,758
5078,503
4754,590
6
4760,263
4361,182
4178,377
3884,266
3597,73
3194,271
6
3174,558
3459,698
3772,651
3982,510
4245,593
4184,874
6
3717,842
2963,913
2466,527
1834,705
1452,421
1066,637
6
4927,1705
4594,1852
4535,2156
4072,2313
4349,2625
4018,2843
6
3740,2712
3266,2415
2893,2594
2861,2947
3542,3073
3955,3381
6
3076,3433
2740,3144
2236,3352
1916,3016
1272,3176
722,3602
//ステージ数
//x,y,
