13,0,0,0,0,0,   //城番号
4000,1150000,1,1,183,20,0,0,0,0,	//幅,	城体力,	生産最低F,生産最高F,	背景種類,	出現最大数,以後未使用
256,2,100,250,300,100,7,9,0,200,
605,3,200,300,400,100,5,6,0,200,
586,2,350,350,400,100,7,9,0,400,
551,1,500,400,500,100,1,2,0,100,0,0,
256,0,180,500,500,99,7,9,0,200,
605,0,180,400,450,99,5,6,0,200,
643,1,0,1,1,99,0,0,1,100,
586,1,80,100,150,99,7,9,0,400,0,0,1,
605,2,200,200,250,99,5,6,0,200,0,0,1,
551,1,450,150,200,99,1,2,0,100,0,0,1,
605,2,480,150,200,99,5,6,0,200,0,0,1,
586,2,500,150,200,99,7,9,0,400,0,0,1,
605,2,800,300,400,99,5,6,0,200,0,0,1,
617,1,1000,250,300,99,3,4,0,100,0,0,1,
586,5,1050,200,250,99,7,9,0,400,0,0,1,
605,2,1500,300,400,99,5,6,0,200,0,0,1,
256,2,1500,300,350,99,7,9,0,200,0,0,1,
551,1,1650,450,450,99,1,2,0,100,0,0,1,
23,1,13500,1,1,100,1,1,0,100,
0,0,0,0,0,0,0,9,0,
0,0,0,0,0,0,0,9,0,
0,0,0,0,0,0,0,9,0,
0,0,0,0,0,0,0,9,0,
0,0,0,0,0,0,0,9,0,


//敵は１ステージ最大１０種類
