GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID	CharaID
0	0	21	0	0	0	1	-1
1	0	21	0	0	1	1	-1
2	0	21	0	0	17	1	-1
3	0	21	0	0	2	1	-1
4	0	21	0	0	3	1	-1
5	0	21	0	0	0	1	-1
6	0	21	0	0	1	1	-1
7	0	21	0	0	2	1	-1
8	0	21	0	0	3	1	-1
9	0	21	0	0	4	1	-1
10	0	21	0	0	4	1	-1
11	0	21	0	0	17	1	-1
12	0	21	0	0	17	1	-1
13	0	21	0	0	17	1	-1
14	0	21	0	0	5	1	-1
15	0	21	0	0	6	1	-1
16	0	21	0	0	6	1	-1
17	0	21	0	0	0	1	-1
18	0	21	0	0	0	1	-1
19	0	21	0	0	4	1	-1
20	0	21	0	0	4	1	-1
21	0	21	0	0	5	1	-1
22	0	21	0	0	14	1	-1
23	0	21	0	0	15	1	-1
24	0	21	0	0	13	1	-1
25	0	21	0	0	0	1	-1
26	0	21	0	0	0	1	-1
27	0	21	0	0	1	1	-1
28	0	21	0	0	1	1	-1
29	0	21	0	0	2	1	-1
30	0	21	0	0	2	1	-1
31	0	21	0	0	3	1	-1
32	0	21	0	0	3	1	-1
33	0	21	0	0	4	1	-1
34	0	21	0	0	4	1	-1
35	0	21	0	0	5	1	-1
36	0	21	0	0	5	1	-1
37	0	21	0	0	6	1	-1
38	0	21	0	0	6	1	-1
39	0	21	0	0	7	1	-1
40	0	21	0	0	7	1	-1
41	0	21	0	0	6	1	-1
42	0	21	0	0	6	1	-1
43	0	21	0	0	7	1	-1
44	0	21	0	0	7	1	-1
45	0	21	0	0	12	1	-1
46	0	21	0	0	8	1	-1
47	0	21	0	0	7	1	-1
48	0	21	0	0	7	1	-1
49	1	21	0	0	11	1	-1
50	0	21	0	0	0	1	-1
51	0	21	0	0	0	1	-1
52	0	21	0	0	0	1	-1
53	0	21	0	0	1	1	-1
54	0	21	0	0	2	1	-1
55	0	21	0	0	3	1	-1
56	0	21	0	0	4	1	-1
57	0	21	0	0	5	1	-1
58	0	21	0	0	5	1	-1
59	0	21	0	0	5	1	-1
60	0	21	0	0	6	1	-1
61	0	21	0	0	7	1	-1
62	0	21	0	0	14	1	-1
63	0	21	0	0	14	1	-1
64	0	21	0	0	9	1	-1
65	0	21	0	0	10	1	-1
66	0	21	0	0	16	1	-1
67	0	21	0	0	18	1	-1
68	0	21	0	0	18	1	-1
69	0	21	0	0	18	1	-1
70	0	21	0	0	7	1	-1
71	0	21	0	0	7	1	-1
72	0	21	0	0	7	1	-1
73	0	21	0	0	19	1	-1
74	0	21	0	0	19	1	-1
75	0	21	0	0	19	1	-1
76	0	21	0	0	15	1	-1
77	0	21	0	0	15	1	-1
78	0	21	0	0	18	1	-1
79	0	21	0	0	18	1	-1
80	0	21	0	0	18	1	-1
81	0	21	0	0	19	1	-1
82	0	21	0	0	18	1	-1
83	0	21	0	0	18	1	-1
84	0	21	0	0	18	1	-1
85	0	21	0	0	20	1	-1
86	0	29	0	1	21	5	-1
87	0	29	0	1	21	5	-1
88	0	21	0	0	19	1	-1
89	0	21	0	0	5	1	-1
90	0	21	0	0	5	1	-1
91	0	21	0	0	5	1	-1
92	0	21	0	0	22	1	-1
93	0	21	0	0	5	1	-1
94	0	21	0	0	23	1	-1
95	0	21	0	0	23	1	-1
96	0	21	0	0	8	1	-1
97	0	21	0	0	0	1	-1
98	0	21	0	0	0	1	-1
99	0	21	0	0	0	1	-1
100	0	21	0	0	1	1	-1
101	0	21	0	0	1	1	-1
102	0	21	0	0	1	1	-1
103	0	21	0	0	2	1	-1
104	0	21	0	0	2	1	-1
105	0	21	0	0	2	1	-1
106	0	21	0	0	3	1	-1
107	0	21	0	0	3	1	-1
108	0	21	0	0	3	1	-1
109	0	21	0	0	4	1	-1
110	0	21	0	0	4	1	-1
111	0	21	0	0	4	1	-1
112	0	21	0	0	6	1	-1
113	0	21	0	0	6	1	-1
114	0	21	0	0	6	1	-1
115	0	21	0	0	7	1	-1
116	0	21	0	0	7	1	-1
117	0	21	0	0	7	1	-1
118	0	21	0	0	18	1	-1
119	0	21	0	0	18	1	-1
120	0	21	0	0	18	1	-1
121	0	21	0	0	24	1	-1
122	0	21	0	0	24	1	-1
123	0	21	0	0	24	1	-1
124	0	21	0	0	5	1	-1
125	0	21	0	0	22	1	-1
126	0	21	0	0	19	1	-1
127	0	21	0	0	9	1	-1
128	0	29	0	1	21	5	-1
129	0	21	0	0	18	1	-1
130	0	21	0	0	18	1	-1
131	0	21	0	0	18	1	-1
132	0	21	0	0	10	1	-1
133	0	21	0	0	16	1	-1
134	0	21	0	0	19	1	-1
135	0	29	0	1	21	5	-1
136	0	21	0	0	5	1	-1
137	0	21	0	0	19	1	-1
138	0	29	0	1	21	5	-1
139	0	21	0	0	0	1	-1
140	0	21	0	0	0	1	-1
141	0	21	0	0	0	1	-1
142	0	21	0	0	1	1	-1
143	0	21	0	0	1	1	-1
144	0	21	0	0	1	1	-1
145	0	21	0	0	2	1	-1
146	0	21	0	0	2	1	-1
147	0	21	0	0	2	1	-1
148	0	21	0	0	3	1	-1
149	0	21	0	0	3	1	-1
150	0	21	0	0	3	1	-1
151	0	21	0	0	4	1	-1
152	0	21	0	0	4	1	-1
153	0	21	0	0	4	1	-1
154	0	21	0	0	6	1	-1
155	0	21	0	0	6	1	-1
156	0	21	0	0	6	1	-1
157	0	21	0	0	7	1	-1
158	0	21	0	0	7	1	-1
159	0	21	0	0	7	1	-1
160	0	21	0	0	18	1	-1
161	0	21	0	0	18	1	-1
162	0	21	0	0	18	1	-1
163	0	21	0	0	24	1	-1
164	0	21	0	0	24	1	-1
165	0	21	0	0	24	1	-1
166	0	21	0	0	5	1	-1
167	0	21	0	0	22	1	-1
168	0	21	0	0	19	1	-1
169	0	29	0	1	21	5	-1
170	0	21	0	0	25	1	-1
171	0	21	0	0	25	1	-1
172	0	21	0	0	26	1	-1
173	0	21	0	0	27	1	-1
174	0	29	0	1	21	5	-1
175	0	21	0	0	28	1	-1
176	0	21	0	0	17	1	-1
177	0	21	0	0	2	1	-1
178	0	21	0	0	2	1	-1
179	0	21	0	0	2	1	-1
180	0	21	0	0	15	1	-1
181	0	21	0	0	15	1	-1
182	0	21	0	0	19	1	-1
183	0	21	0	0	27	1	-1
184	0	29	0	1	21	5	-1
185	0	21	0	0	13	1	-1
186	0	21	0	0	29	1	-1
187	0	21	0	0	29	1	-1
188	0	21	0	0	3	1	-1
189	0	21	0	0	3	1	-1
190	0	21	0	0	3	1	-1
191	0	21	0	0	30	1	-1
192	0	21	0	0	31	1	-1
193	0	21	0	0	19	1	-1
194	0	21	0	0	27	1	-1
195	0	29	0	1	21	5	-1
196	0	21	0	0	29	1	-1
197	0	21	0	0	20	1	-1
198	0	21	0	0	24	1	-1
199	0	21	0	0	24	1	-1
200	0	21	0	0	24	1	-1
201	0	21	0	0	19	1	-1
202	0	21	0	0	27	1	-1
203	0	29	0	1	21	5	-1
204	0	21	0	0	28	1	-1
205	0	21	0	0	32	1	-1
206	0	21	0	0	28	1	-1
207	0	21	0	0	28	1	-1
208	0	21	0	0	33	1	-1
209	0	21	0	0	33	1	-1
210	0	21	0	0	33	1	-1
211	0	21	0	0	19	1	-1
212	0	21	0	0	27	1	-1
213	0	29	0	1	21	5	-1
214	0	21	0	0	34	1	-1
215	0	21	0	0	0	1	-1
216	0	21	0	0	0	1	-1
217	0	21	0	0	0	1	-1
218	0	21	0	0	1	1	-1
219	0	21	0	0	1	1	-1
220	0	21	0	0	1	1	-1
221	0	21	0	0	2	1	-1
222	0	21	0	0	2	1	-1
223	0	21	0	0	2	1	-1
224	0	21	0	0	3	1	-1
225	0	21	0	0	3	1	-1
226	0	21	0	0	3	1	-1
227	0	21	0	0	4	1	-1
228	0	21	0	0	4	1	-1
229	0	21	0	0	4	1	-1
230	0	21	0	0	6	1	-1
231	0	21	0	0	6	1	-1
232	0	21	0	0	6	1	-1
233	0	21	0	0	7	1	-1
234	0	21	0	0	7	1	-1
235	0	21	0	0	7	1	-1
236	0	21	0	0	18	1	-1
237	0	21	0	0	18	1	-1
238	0	21	0	0	18	1	-1
239	0	21	0	0	24	1	-1
240	0	21	0	0	24	1	-1
241	0	21	0	0	24	1	-1
242	0	21	0	0	33	1	-1
243	0	21	0	0	33	1	-1
244	0	21	0	0	33	1	-1
245	0	21	0	0	5	1	-1
246	0	21	0	0	22	1	-1
247	0	21	0	0	32	1	-1
248	0	21	0	0	28	1	-1
249	0	21	0	0	28	1	-1
250	0	21	0	0	28	1	-1
251	0	21	0	0	30	1	-1
252	0	21	0	0	31	1	-1
253	0	21	0	0	35	1	-1
254	0	21	0	0	19	1	-1
255	0	21	0	0	27	1	-1
256	0	29	0	1	21	5	-1
257	0	21	0	0	8	1	-1
258	0	21	0	0	9	1	-1
259	0	21	0	0	26	1	-1
260	0	21	0	0	20	1	-1
261	0	21	0	0	19	1	-1
