0,1,1000
0,2,1000
0,3,1000
1,1,1000
1,2,1000
1,3,1000
2,1,300
2,2,300
2,3,300
3,1,400
3,2,400
3,3,400
4,1,300
4,2,300
4,3,300
5,1,300
5,2,300
5,3,300
6,1,400
6,2,400
6,3,400
7,1,400
7,2,400
7,3,400
8,1,300
8,2,300
8,3,300
9,1,0
9,2,0
9,3,0
10,1,0
10,2,0
10,3,0
11,1,0
11,2,0
11,3,0
12,1,5
12,2,5
12,3,5
13,1,300
13,2,300
13,3,300
14,1,300
14,2,300
14,3,300
15,1,0
15,2,0
15,3,0
16,1,5
16,2,5
16,3,5
17,1,0
17,2,0
17,3,0
18,1,300
18,2,300
18,3,300
19,1,5
19,2,5
19,3,5
20,1,5
20,2,5
20,3,5
21,1,300
21,2,300
21,3,300
22,1,250
22,2,250
22,3,250
23,1,5
23,2,5
23,3,5
24,1,250
24,2,250
24,3,250
25,1,500
25,2,500
25,3,500
26,1,0
26,2,0
26,3,0
27,1,0
27,2,0
28,1,0
28,2,0
29,1,0
29,2,0
30,1,300
30,2,300
30,3,300
31,1,400
31,2,400
31,3,400
32,1,400
32,2,400
32,3,400
33,1,400
33,2,400
33,3,400
34,1,0
34,2,250
34,3,250
35,1,250
35,2,250
35,3,250
36,1,400
36,2,400
36,3,400
37,1,500
37,2,500
37,3,500
38,1,300
38,2,300
38,3,300
39,1,400
39,2,400
39,3,400
40,1,300
40,2,300
40,3,300
41,1,500
41,2,500
41,3,500
42,1,400
42,2,400
42,3,400
43,1,400
43,2,400
43,3,400
44,1,400
44,2,400
44,3,400
45,1,0
45,2,0
46,1,300
46,2,300
46,3,300
47,1,500
47,2,500
47,3,500
48,1,300
48,2,300
48,3,300
49,1,300
49,2,300
49,3,300
50,1,400
50,2,400
50,3,400
51,1,400
51,2,400
51,3,400
52,1,400
52,2,400
52,3,400
53,1,0
53,2,0
54,1,0
54,2,0
55,1,300
55,2,300
55,3,300
56,1,300
56,2,300
56,3,300
57,1,300
57,2,300
57,3,300
58,1,400
58,2,400
58,3,400
59,1,400
59,2,400
59,3,400
59,4,400
60,1,300
60,2,300
60,3,300
61,1,400
61,2,400
61,3,400
62,1,0
62,2,0
63,1,0
63,2,0
63,3,0
64,1,300
64,2,300
65,1,300
65,2,300
66,1,300
66,2,300
66,3,300
67,1,500
67,2,500
67,3,500
68,1,300
68,2,300
68,3,300
69,1,0
69,2,0
69,3,0
70,1,5
70,2,5
70,3,5
71,1,400
71,2,400
71,3,400
72,1,400
72,2,400
72,3,400
73,1,400
73,2,400
73,3,400
73,4,400
74,1,0
74,2,0
74,3,0
75,1,400
75,2,400
75,3,400
75,4,400
76,1,400
76,2,400
76,3,400
76,4,400
77,1,300
77,2,300
77,3,300
78,1,5
78,2,5
78,3,5
79,1,5
79,2,5
79,3,5
80,1,5
80,2,5
80,3,5
81,1,0
81,2,0
81,3,0
82,1,5
82,2,5
83,1,300
83,2,300
83,3,300
84,1,300
84,2,300
84,3,300
85,1,300
85,2,300
85,3,300
86,1,300
86,2,300
86,3,300
87,1,400
87,2,400
87,3,400
88,1,5
88,2,5
88,3,5
89,1,300
89,2,300
90,1,300
90,2,300
91,1,1000
91,2,1000
91,3,1000
