【2012年の出来事】<br>11月15日、にゃんこ大戦争がリリース！<br>「スピードアップ＋5」をゲットした！！	1日目
【2013年の出来事①】<br>全世界100万DLを達成しました！！<br>「ネコボン＋3」をゲットした！！	2日目
【2013年の出来事②】<br>レアガチャ、にゃんこガチャが登場！！<br>「レアチケット＋1」をゲットした！！	3日目
【2013年の出来事③】<br>レジェンドストーリー追加！！<br>「ニャンピュータ＋5」をゲットした！！	4日目
これで5日目！<br>レジェンドチケットまであと25日！！<br>「にゃんこチケット＋2」をゲットした！！	5日目
【2014年の出来事①】<br>全世界1000万DLを達成しました！！<br>「レアチケット＋1」をゲットした！！	6日目
【2014年の出来事②】<br>英語版、韓国版のサービス開始！！<br>「トレジャーレーダー＋1」をゲットした！！	7日目
【2014年の出来事③】<br>ユーザーランクが追加されました！！<br>「スニャイパー＋5」をゲットした！！	8日目
【2015年の出来事①】<br>3DS版にゃんこ大戦争配信！！<br>「レアチケット＋1」をゲットした！！	9日目
これで10日目！<br>レジェンドチケットまであと20日！！<br>「にゃんこチケット＋3」をゲットした！！	10日目
【2015年の出来事②】<br>台湾版のサービスが開始！！<br>「おかめはちもく＋4」をゲットした！！	11日目
【2015年の出来事③】<br>未来編1～3章が登場しました！！<br>「レアチケット＋1」をゲットした！！	12日目
【2016年の出来事①】<br>超激レアに第3形態追加！！<br>「ネコボン＋4」をゲットした！！	13日目
【2016年の出来事②】<br>ガマトト探検隊、キャッツアイ登場！！<br>「ニャンピュータ＋5」をゲットした！！	14日目
これで15日目！折り返し地点！<br>レジェンドチケットまであと15日！！<br>「レアチケット＋1」をゲットした！！	15日目
【2017年の出来事①】<br>オトート開発隊が登場！！<br>「トレジャーレーダー＋1」をゲットした！！	16日目
【2017年の出来事②】<br>宇宙編1章が登場しました！！<br>「おかめはちもく＋3」をゲットした！！	17日目
【2018年の出来事①】<br>にゃんこクラブが登場しました！！<br>「レアチケット＋1」をゲットした！！	18日目
【2018年の出来事②】<br>宇宙編2章が登場しました！！<br>「スピードアップ＋5」をゲットした！！	19日目
これで20日目！<br>レジェンドチケットまであと10日！！<br>「にゃんこチケット＋3」をゲットした！！	20日目
【2019年の出来事①】<br>にゃんこTVがスタートしました！<br>「レアチケット＋1」をゲットした！！	21日目
【2019年の出来事②】<br>レジェンドクエスト、宇宙編3章が登場！！<br>「おかめはちもく＋3」をゲットした！！	22日目
【2020年の出来事①】<br>にゃんこ神社が登場しました！！<br>「ネコボン＋3」をゲットした！！	23日目
【2020年の出来事②】<br>レジェンドチケットが登場！<br>「レアチケット＋1」をゲットした！！	24日目
これで25日目！<br>レジェンドチケットまであと5日！！<br>「にゃんこチケット＋2」をゲットした！！	25日目
【2021年の出来事①】<br>にゃんこスクラッチが登場しました！！<br>「トレジャーレーダー＋1」をゲットした！！	26日目
【2021年の出来事②】<br>魔界編、にゃんこ別塔などが登場！！<br>「レアチケット＋1」をゲットした！！	27日目
【2022年の出来事①】<br>全世界7000万DLを達成しました！！<br>「スニャイパー＋5」をゲットした！！	28日目
【2022年の出来事②】<br>超獣と新たな進化素材「獣石」が登場！！<br>「レアチケット＋1」をゲットした！！	29日目
【2022年の出来事③】<br>にゃんこ大戦争が10周年を迎えました！！<br>「レジェンドチケット＋1」をゲットした！！	30日目
