【学園生活： 1日目】<br>「伝説のラブレター＋1」をゲットした！！	1日目
【学園生活： 2日目】<br>「伝説のラブレター＋1」をゲットした！！	2日目
【学園生活： 3日目】<br>「伝説のラブレター＋1」をゲットした！！	3日目
【学園生活： 4日目】<br>「伝説のラブレター＋1」をゲットした！！	4日目
【学園生活： 5日目】<br>「にゃんこチケット＋1」をゲットした！！	5日目
【学園生活： 6日目】<br>「伝説のラブレター＋1」をゲットした！！	6日目
【学園生活： 7日目】<br>「伝説のラブレター＋1」をゲットした！！	7日目
【学園生活： 8日目】<br>「伝説のラブレター＋1」をゲットした！！	8日目
【学園生活： 9日目】<br>「伝説のラブレター＋1」をゲットした！！	9日目
【学園生活： 10日目】<br>「にゃんこチケット＋1」をゲットした！！	10日目
【学園生活： 11日目】<br>「伝説のラブレター＋1」をゲットした！！	11日目
【学園生活： 12日目】<br>「伝説のラブレター＋1」をゲットした！！	12日目
【学園生活： 13日目】<br>「伝説のラブレター＋1」をゲットした！！	13日目
【学園生活： 14日目】<br>「伝説のラブレター＋1」をゲットした！！	14日目
【学園生活： 15日目】<br>「レアチケット＋1」をゲットした！！	15日目
【学園生活： 16日目】<br>「伝説のラブレター＋1」をゲットした！！	16日目
【学園生活： 17日目】<br>「伝説のラブレター＋1」をゲットした！！	17日目
【学園生活： 18日目】<br>「伝説のラブレター＋1」をゲットした！！	18日目
【学園生活： 19日目】<br>「伝説のラブレター＋1」をゲットした！！	19日目
【学園生活： 20日目】<br>「にゃんこチケット＋1」をゲットした！！	20日目
【学園生活： 21日目】<br>「伝説のラブレター＋1」をゲットした！！	21日目
【学園生活： 22日目】<br>「伝説のラブレター＋1」をゲットした！！	22日目
【学園生活： 23日目】<br>「伝説のラブレター＋1」をゲットした！！	23日目
【学園生活： 24日目】<br>「伝説のラブレター＋1」をゲットした！！	24日目
【学園生活： 25日目】<br>「にゃんこチケット＋1」をゲットした！！	25日目
【学園生活： 26日目】<br>「伝説のラブレター＋1」をゲットした！！	26日目
【学園生活： 27日目】<br>「伝説のラブレター＋1」をゲットした！！	27日目
【学園生活： 最終日】<br>「にゃんこチケット＋1」をゲットした！！	28日目
