スタンプ 1個目のプレゼント<br>「にゃんこチケット＋1」をゲットした！！	1日目
スタンプ 2個目のプレゼント<br>「XP＋5,000」をゲットした！！	2日目
スタンプ 3個目のプレゼント<br>「レアチケット＋1」をゲットした！！	3日目
スタンプ 4個目のプレゼント<br>「スピードアップ＋1」をゲットした！！	4日目
スタンプ 5個目のプレゼント<br>「にゃんこチケット＋1」をゲットした！！	5日目
スタンプ 6個目のプレゼント<br>「ネコボン＋1」をゲットした！！	6日目
スタンプ 7個目のプレゼント<br>「レアチケット＋1」をゲットした！！	7日目
スタンプ 8個目のプレゼント<br>「トレジャーレーダー＋1」をゲットした！！	8日目
スタンプ 9個目のプレゼント<br>「にゃんこチケット＋1」をゲットした！！	9日目
スタンプ 10個目のプレゼント<br>「ニャンピュータ＋1」をゲットした！！	10日目
スタンプ 11個目のプレゼント<br>「レアチケット＋1」をゲットした！！	11日目
スタンプ 12個目のプレゼント<br>「スニャイパー＋1」をゲットした！！	12日目
スタンプ 13個目のプレゼント<br>「にゃんこチケット＋1」をゲットした！！	13日目
スタンプ 14個目のプレゼント<br>「レアチケット＋1」をゲットした！！	14日目
