데미지 업 %@【%@】	%@에게 입히는 데미지가 올라갑니다
데미지 경감 %@【%@】	%@에게 입는 데미지가 줄어듭니다
엄청 강하다 강화 %@【%@】	%@에 엄청 강하다 효과가 상승합니다
초 데미지 강화 %@【%@】	%@에 초 데미지 효과가 상승합니다
맷집이 좋다 강화 %@【%@】	%@에 맷집이 좋다 효과가 상승합니다
데스 소열파 %@	캐릭터가 쓰러질 때 소열파를 내는 능력이<br>2번 생산할 때마다 부여됩니다 (중복 불가)
파동 데미지 내성 %@	적으로부터의 파동 공격으로 받는 데미지를 경감시킵니다
캐시백 %@	캐릭터가 쓰러질 때 생산 가격의 일부를<br>돌려받을 수 있는 능력이 2번 생산할 때마다 부여됩니다
날려버린다 내성 %@	적 캐릭터로부터의 「날려버린다」 효과를 경감시킵니다
레전드 스토리 강화 %@	레전드 스토리에서 체력과 공격력이 올라갑니다 (중복 불가)
초생명체 특효 %@	초생명체 특효 능력이 2번 생산할 때마다 부여됩니다 (중복 불가)
냥코 대포 충전 %@	2번 생산할 때마다, 캐릭터가 쓰러질 때<br>냥코 대포가 약간 충전되는 능력이 부여됩니다 (중복 불가)
독 공격 데미지 내성 %@	적 캐릭터의 독 공격으로 받는 데미지를 경감시킵니다
전 공격 무효 %@	적 캐릭터로부터 일정 시간 데미지를 받지 않게 되는 능력이<br>2번 생산할 때마다 부여됩니다 (중복 불가)
움직임을 느리게 한다 내성 %@	적 캐릭터로부터의 「움직임을 느리게 한다」 효과를 경감시킵니다
고대의 저주 내성 %@	적 캐릭터로부터의 「고대의 저주」 효과를 경감시킵니다
신 레전드 스토리 강화 %@	신 레전드 스토리에서 체력과 공격력이 올라갑니다 (중복 불가)
1회 열파 카운터 %@	열파 공격으로 데미지를 받을 시, 적에게 열파 공격을 1번만<br>되돌려 주는 능력이 2번 생산할 때마다 부여됩니다 (중복 불가)
격파 시 공격력 업 %@	적 캐릭터를 일정 수 쓰러뜨릴 시<br>공격력이 올라가는 능력이 부여됩니다 (중복 불가)
생산 시간 단축 %@	생산 시간을 단축시키는 능력이<br>2번 생산할 때마다 부여됩니다 (중복 불가)
움직임을 멈춘다 내성 %@	적 캐릭터로부터의 「움직임을 멈춘다」 효과를 경감시킵니다
공격력 다운 내성 %@	적 캐릭터로부터의 「공격력 다운」 효과를 경감시킵니다
생산 코스트 할인 %@	생산 코스트가 감소되는 능력이<br>2번 생산할 때마다 부여됩니다 (중복 불가)
열파 데미지 내성 %@	적으로부터의 열파 공격으로 받는 데미지를 경감시킵니다.
