3270,589,521,493,	 		//0北海道
2766,1165,205,193,   	//1青森
2641,1295,149,228,   	//2秋田
2802,1455,157,237,   	//3岩手
2481,1614,123,195,   	//4山形
2586,1745,156,171,		//5宮城
2495,1957,206,161, 		//6福島
2399,2167,133,170,   	//7茨城
2325,2065,106,129,   	//8栃木
2194,2086,142,145, 		//9群馬
2165,2200,128,73,   	//10埼玉
2230,2292,104,51, 	  //11東京
2327,2367,128,157, 		//12千葉
2127,2336,100,78,   	//13神奈川
2152,1942,249,251,   	//14新潟
1962,2120,152,244, 		//15長野
2030,2257,103,111,  	//16山梨
1893,2383,186,135,   	//17静岡
1886,1976,111,100,  	//18富山
1775,2128,150,177,   	//19岐阜
1707,2302,129,113,   	//20愛知
1701,2014,127,208,   	//21石川
1615,2086,167,133, 		//22福井
1539,2272,78,123,   	//23滋賀
1562,2395,118,203,   	//24三重
1457,2418,75,118,  		//25奈良
1452,2232,134,152,   	//26京都
1406,2336,77,104,   	//27大阪
1337,2461,110,125, 		//28和歌山
1302,2207,136,206,   	//29兵庫
1191,2084,154,79,   	//30鳥取
1095,2160,129,122,  	//31岡山
897,2093,187,177,  		//32島根
890,2206,157,124,   	//33広島
664,2247,158,113, 		//34山口
1094,2353,101,58,   	//35香川
1124,2412,120,94,   	//36徳島
909,2387,178,167, 		//37愛媛
903,2493,192,153,   	//38高知
477,2331,128,133,   	//39福岡
573,2485,133,131,  		//40大分
502,2670,133,192,   	//41宮崎
401,2609,155,142,  		//42熊本
327,2694,126,170, 		//43鹿児島
320,2374,91,88,  			//44佐賀
263,2469,118,111,  		//45長崎
1022,890,270,307,   	//46沖縄
65,1024,44,34,   			//47西表島
