id,unlock_stage_id,unlock_mission_id,unlock_userrank,lock_stage_id,lock_mission_id,lock_userrank
0,-1,-1,-1,-1,-1,-1
1,300000,-1,-1,-1,-1,-1
2,300006,-1,-1,-1,-1,-1
3,300010,-1,-1,-1,-1,-1
4,300013,-1,-1,-1,-1,-1
5,300015,-1,-1,-1,-1,-1
6,300022,-1,-1,-1,-1,-1
7,300031,-1,-1,-1,-1,-1
8,300038,-1,-1,-1,-1,-1
9,300047,-1,-1,-1,-1,-1
10,300147,-1,-1,-1,-1,-1
11,300247,-1,-1,-1,-1,-1
12,300347,-1,-1,-1,-1,-1
13,300447,-1,-1,-1,-1,-1
14,300547,-1,-1,-1,-1,-1
15,300047,-1,-1,300247,-1,-1
16,300044,-1,-1,-1,-1,-1
17,700028,-1,-1,-1,-1,-1
18,700038,-1,-1,-1,-1,-1
19,300647,-1,-1,-1,-1,-1
20,300747,-1,-1,-1,-1,-1
21,300847,-1,-1,-1,-1,-1
22,-1,17001,-1,-1,-1,-1
23,-1,17002,-1,-1,-1,-1
24,-1,17003,-1,-1,-1,-1
25,-1,17004,-1,-1,-1,-1
26,-1,17005,-1,-1,-1,-1
27,-1,17006,-1,-1,-1,-1
28,-1,17007,-1,-1,-1,-1
29,700048,-1,-1,-1,-1,-1
30,4800,-1,-1,-1,-1,-1
31,-1,1,-1,-1,-1,-1
32,-1,9212,-1,-1,-1,-1
33,-1,42,-1,-1,-1,-1
34,126800,-1,-1,-1,-1,-1
35,-1,9288,-1,-1,-1,-1
36,-1,9289,-1,-1,-1,-1
37,-1,9290,-1,-1,-1,-1
38,-1,9291,-1,-1,-1,-1
39,-1,9295,-1,-1,-1,-1
40,-1,9296,-1,-1,-1,-1
41,-1,9297,-1,-1,-1,-1
42,-1,9298,-1,-1,-1,-1
43,700039,-1,-1,-1,-1,-1
44,404200,-1,-1,-1,-1,-1
45,-1,9161,-1,-1,-1,-1
46,-1,9162,-1,-1,-1,-1
47,-1,9163,-1,-1,-1,-1
48,-1,9164,-1,-1,-1,-1
49,-1,9165,-1,-1,-1,-1
50,-1,9166,-1,-1,-1,-1
51,-1,9211,-1,-1,-1,-1
52,-1,48,-1,-1,-1,-1
53,-1,49,-1,-1,-1,-1
54,-1,50,-1,-1,-1,-1
55,-1,51,-1,-1,-1,-1
56,700629,-1,-1,-1,-1,-1
57,-1,52,-1,-1,-1,-1
58,-1,53,-1,-1,-1,-1
59,-1,56,-1,-1,-1,-1
60,1304800,-1,-1,-1,-1,-1
