mission_id,unlock_condition_id,priority,popup_condition,item_category,item,item_count
0,1,1,0,0,22,20
1,2,1,0,0,22,20
2,2,1,0,0,22,20
3,2,1,0,0,22,20
4,6,1,0,0,22,20
5,9,1,0,0,22,20
6,9,1,0,0,22,20
7,11,1,0,0,22,20
8,1,1,0,0,22,20
9,2,1,0,0,22,20
10,3,1,0,0,22,20
11,5,1,0,0,22,20
12,6,1,0,0,22,20
13,7,1,0,0,22,20
14,8,1,0,0,22,20
15,16,100,0,0,22,50
16,9,102,0,0,22,50
17,10,104,0,0,22,100
18,9,106,0,0,22,50
19,12,108,0,0,22,50
20,13,110,0,0,22,100
21,1,2,0,0,22,20
22,12,112,0,0,22,100
23,19,114,0,0,22,100
24,1,0,0,0,29,1
25,20,116,0,0,22,150
26,2,0,0,0,29,1
27,30,200,0,0,29,1
28,30,201,0,0,29,1
29,2,0,0,0,29,1
8000,15,1000,0,0,6,100000
8001,15,1001,0,0,20,1
8002,15,1002,0,0,57,1
8003,15,1003,0,0,20,1
8004,15,1004,0,0,22,20
8005,11,1005,0,0,6,100000
8006,11,1006,0,0,20,1
8007,11,1007,0,0,6,100000
8008,11,1008,0,0,20,1
8009,11,1009,0,0,20,1
8010,11,1010,0,0,22,30
8011,11,1011,0,0,22,30
9000,17,2000,1,1,352,1
9001,9,10000,0,0,20,1
9002,9,10001,0,0,20,1
9003,9,10002,0,0,20,1
9004,9,10003,0,0,6,50000
9005,9,10004,0,0,22,30
9006,9,20000,0,0,22,10
9007,9,20001,0,0,22,10
9008,9,20002,0,0,22,10
9009,9,20003,0,0,22,10
9010,9,20004,0,0,22,10
9011,9,10050,1,0,20,1
9012,9,10051,0,0,20,1
9013,9,10052,0,0,20,1
9014,9,10053,0,0,22,30
9015,9,20050,1,0,22,10
9016,9,20051,0,0,22,10
9017,9,20052,0,0,22,10
9018,9,20053,0,0,22,10
9019,2,3000,1,0,22,55
9020,9,3001,1,0,22,55
9021,2,3002,0,0,22,55
9022,2,20054,1,0,22,10
9023,2,20100,0,0,22,10
9024,2,20101,0,0,22,10
9025,2,20102,0,0,22,10
9026,2,20103,0,0,22,10
9027,2,20104,0,0,22,10
9028,18,2001,1,1,383,1
9029,2,10100,1,0,22,10
9030,2,10101,0,0,22,10
9031,2,10102,0,0,22,10
9032,2,10103,0,0,22,10
9033,2,10104,0,0,22,10
9034,2,10150,1,0,20,1
9035,2,10151,0,0,20,1
9036,2,10152,0,0,20,1
9037,2,20150,1,0,22,10
9038,2,20151,0,0,22,10
9039,2,20152,0,0,22,10
9040,2,10200,1,0,22,10
9041,2,10201,0,0,22,10
9042,2,10202,0,0,22,10
9043,2,10250,1,0,20,1
9044,2,10251,0,0,20,1
9045,2,10252,0,0,20,1
9046,2,10300,1,0,22,10
9047,2,10301,0,0,22,10
9048,2,10302,0,0,22,10
9049,2,10350,1,0,22,10
9050,2,20201,0,0,22,10
9051,2,20202,0,0,20,1
9052,2,20203,0,0,20,1
9053,2,20204,0,0,20,1
9054,9,20205,1,0,20,1
9055,2,20206,0,0,22,10
9056,2,20207,0,0,22,10
9057,2,20208,0,0,22,10
9058,2,20209,0,0,22,10
9059,2,20210,0,0,22,30
9060,2,20250,1,0,22,30
9061,2,20251,0,0,22,30
9062,2,20252,0,0,22,30
9063,2,20253,0,0,20,1
9064,2,20254,0,0,20,1
9065,2,20255,0,0,20,1
9066,2,20300,1,0,22,10
9067,2,20301,0,0,22,10
9068,2,20302,0,0,22,10
9069,2,20304,0,0,20,1
9070,2,20305,0,0,20,1
9071,2,20306,0,0,20,1
9072,2,10400,1,0,20,1
9073,2,10401,0,0,20,1
9074,2,10402,0,0,20,1
9075,2,20350,1,0,20,1
9076,2,20351,0,0,20,1
9077,2,20352,0,0,20,1
9078,2,20353,0,0,22,10
9079,2,20354,0,0,22,10
9080,2,20355,0,0,22,10
9081,2,20400,1,0,20,1
9082,2,20401,0,0,20,1
9083,2,20402,0,0,20,1
9084,2,20403,1,0,22,30
9085,2,10450,1,0,20,1
9086,2,10451,0,0,20,1
9087,2,10452,0,0,20,1
9088,2,10453,0,0,22,10
9089,11,5000,1,0,20,1
9090,11,5001,0,0,20,1
9091,11,5002,0,0,20,1
9092,2,5003,1,0,22,10
9093,2,20450,1,0,22,30
9094,2,20451,0,0,22,30
9095,2,20452,0,0,22,30
9096,2,20453,0,0,22,30
9097,2,10500,1,0,22,10
9098,11,5010,1,0,20,1
9099,11,5011,0,0,20,1
9100,11,5012,0,0,20,1
9101,2,5013,1,0,22,10
9102,2,20500,1,0,20,1
9103,2,20501,0,0,20,1
9104,2,20502,0,0,20,1
9105,2,20550,1,0,20,1
9106,2,20551,0,0,20,1
9107,2,20552,0,0,20,1
9108,2,20553,0,0,22,10
9109,2,20554,0,0,22,10
9110,2,20555,0,0,22,10
9111,11,5020,1,0,20,1
9112,11,5021,0,0,20,1
9113,11,5022,0,0,20,1
9114,2,5023,1,0,22,10
9115,11,5030,1,0,20,1
9116,11,5031,0,0,20,1
9117,11,5032,0,0,20,1
9118,2,5033,1,0,22,10
9119,2,10005,1,0,20,1
9120,2,10006,0,0,20,1
9121,2,10007,0,0,20,1
9122,2,10008,1,0,22,10
9123,2,20600,1,0,22,10
9124,2,20601,0,0,22,10
9125,2,20602,0,0,22,10
9126,2,20603,0,0,22,10
9127,2,20604,0,0,22,10
9128,2,20605,0,0,22,30
9129,2,20606,0,0,22,10
9130,2,20607,0,0,22,10
9131,2,20650,1,0,20,1
9132,2,20651,0,0,20,1
9133,2,20652,0,0,20,1
9134,11,5040,1,0,20,1
9135,11,5041,0,0,20,1
9136,11,5042,0,0,20,1
9137,2,5043,1,0,22,10
9138,11,5050,1,0,20,1
9139,11,5051,0,0,20,1
9140,11,5052,0,0,20,1
9141,2,5053,1,0,22,10
9142,2,20705,1,0,20,1
9143,2,20706,0,0,20,1
9144,2,20707,0,0,20,1
9145,2,20703,0,0,20,1
9146,2,20704,0,0,22,10
9147,2,10550,1,0,20,1
9148,2,10551,0,0,20,1
9149,2,10552,0,0,20,1
9150,2,10553,0,0,22,10
9151,11,5060,1,0,20,1
9152,11,5061,0,0,20,1
9153,11,5062,0,0,20,1
9154,2,5063,1,0,22,10
9155,2,10600,1,0,22,10
9156,2,10105,1,0,22,10
9157,11,5070,1,0,20,1
9158,11,5071,0,0,20,1
9159,11,5072,0,0,20,1
9160,2,5073,1,0,22,10
9161,9,4000,1,0,20,1
9162,9,4001,0,0,20,1
9163,9,4002,0,0,20,1
9164,9,4003,0,0,20,1
9165,12,4004,0,0,20,1
9166,12,4005,0,0,20,1
9167,12,3010,0,0,20,3
9168,2,3011,1,0,22,66
9169,9,3012,1,0,22,66
9170,11,5080,1,0,20,1
9171,11,5081,0,0,20,1
9172,11,5082,0,0,20,1
9173,2,5083,1,0,22,10
9174,11,5090,1,0,20,1
9175,11,5091,0,0,20,1
9176,11,5092,0,0,20,1
9177,2,5093,1,0,22,10
9178,2,20105,1,0,22,10
9179,11,5100,1,0,20,1
9180,11,5101,0,0,20,1
9181,11,5102,0,0,20,1
9182,2,5103,1,0,22,10
9183,2,20750,1,0,22,10
9184,11,5110,1,0,20,1
9185,11,5111,0,0,20,1
9186,11,5112,0,0,20,1
9187,2,5113,1,0,22,10
9188,2,20800,1,0,22,10
9189,2,20801,0,0,22,10
9190,2,20802,0,0,22,10
9191,2,20850,1,0,137,3
9192,2,20851,0,0,137,3
9193,2,20853,0,0,137,3
9194,2,20854,0,0,137,3
9195,2,20855,0,0,137,3
9196,2,20856,0,0,137,5
9197,2,20857,0,0,137,7
9198,2,20356,0,0,22,10
9199,2,20900,1,0,20,1
9200,2,20901,0,0,20,1
9201,2,20902,0,0,20,1
9202,2,20903,0,0,22,10
9203,2,20950,1,0,22,10
17001,9,30001,0,0,6,100000
17002,22,30002,0,0,6,300000
17003,23,30003,0,0,6,500000
17004,24,30004,0,0,6,800000
17005,25,30005,0,0,6,1000000
17006,26,30006,0,0,6,1500000
17007,27,30007,0,0,6,2000000
17008,28,30008,0,0,6,10000000
1000,9,30000,0,0,6,3000
1001,9,30000,0,0,6,3000
1002,9,30000,0,0,6,3000
1003,9,30000,0,0,5,1
1004,9,30000,0,0,0,1
1005,9,30000,0,0,6,3000
1006,9,30000,0,0,0,1
1007,9,30000,0,0,4,1
1008,9,30000,0,0,0,1
1009,9,30000,0,0,2,1
1010,9,30000,0,0,0,1
1011,9,30000,0,0,5,1
1012,9,30000,0,0,4,1
1013,9,30000,0,0,1,1
1014,9,30000,0,0,20,1
1100,9,30000,0,0,6,10000
1101,9,30000,0,0,6,10000
1102,9,30000,0,0,6,10000
1103,9,30000,0,0,2,1
1104,9,30000,0,0,55,1
1105,9,30000,0,0,6,10000
1106,9,30000,0,0,55,1
1107,9,30000,0,0,4,1
1108,9,30000,0,0,3,1
1109,9,30000,0,0,4,1
1110,9,30000,0,0,3,1
1111,9,30000,0,0,2,1
1112,9,30000,0,0,5,1
1113,9,30000,0,0,1,1
1114,9,30000,0,0,20,1
1200,9,30000,0,0,6,20000
1201,9,30000,0,0,6,20000
1202,9,30000,0,0,6,20000
1203,9,30000,0,0,6,20000
1204,9,30000,0,0,6,20000
1205,9,30000,0,0,6,20000
1206,9,30000,0,0,6,20000
1207,9,30000,0,0,6,20000
1208,9,30000,0,0,6,20000
1209,9,30000,0,0,6,20000
1210,9,30000,0,0,3,1
1211,9,30000,0,0,3,1
1212,9,30000,0,0,3,1
1213,9,30000,0,0,2,1
1214,9,30000,0,0,2,1
1215,9,30000,0,0,0,1
1216,9,30000,0,0,2,1
1217,9,30000,0,0,2,1
1218,9,30000,0,0,56,1
1219,9,30000,0,0,4,1
1220,9,30000,0,0,4,1
1221,9,30000,0,0,4,1
1222,9,30000,0,0,4,1
1223,9,30000,0,0,5,1
1224,9,30000,0,0,5,1
1225,9,30000,0,0,0,1
1226,9,30000,0,0,5,1
1227,9,30000,0,0,5,1
1228,9,30000,0,0,1,1
1229,9,30000,0,0,20,1
1300,9,30000,0,0,6,30000
1301,9,30000,0,0,6,30000
1302,9,30000,0,0,6,30000
1303,9,30000,0,0,6,30000
1304,9,30000,0,0,6,30000
1305,9,30000,0,0,6,30000
1306,9,30000,0,0,6,30000
1307,9,30000,0,0,6,30000
1308,9,30000,0,0,6,30000
1309,9,30000,0,0,2,1
1310,9,30000,0,0,2,1
1311,9,30000,0,0,2,1
1312,9,30000,0,0,2,1
1313,9,30000,0,0,2,1
1314,9,30000,0,0,5,1
1315,9,30000,0,0,5,1
1316,9,30000,0,0,1,1
1317,9,30000,0,0,20,1
1318,9,30000,0,0,55,1
1319,9,30000,0,0,55,1
1320,9,30000,0,0,55,1
1321,9,30000,0,0,3,1
1322,9,30000,0,0,3,1
1323,9,30000,0,0,3,1
1324,9,30000,0,0,0,1
1325,9,30000,0,0,0,1
1326,9,30000,0,0,4,1
1327,9,30000,0,0,4,1
1328,9,30000,0,0,4,1
1329,9,30000,0,0,4,1
1330,9,30000,0,0,5,1
1331,9,30000,0,0,5,1
1332,9,30000,0,0,56,1
1333,9,30000,0,0,57,1
1334,9,30000,0,0,1,1
1335,9,30000,0,0,20,1
1400,9,30000,0,0,6,40000
1401,9,30000,0,0,6,40000
1402,9,30000,0,0,6,40000
1403,9,30000,0,0,6,40000
1404,9,30000,0,0,6,40000
1405,9,30000,0,0,6,40000
1406,9,30000,0,0,6,40000
1407,9,30000,0,0,6,40000
1408,9,30000,0,0,2,1
1409,9,30000,0,0,2,1
1410,9,30000,0,0,2,1
1411,9,30000,0,0,2,1
1412,9,30000,0,0,2,1
1413,9,30000,0,0,5,1
1414,9,30000,0,0,5,1
1415,9,30000,0,0,1,1
1416,9,30000,0,0,20,1
1417,9,30000,0,0,55,1
1418,9,30000,0,0,55,1
1419,9,30000,0,0,55,1
1420,9,30000,0,0,3,1
1421,9,30000,0,0,3,1
1422,9,30000,0,0,3,1
1423,9,30000,0,0,0,1
1424,9,30000,0,0,0,1
1425,9,30000,0,0,0,1
1426,9,30000,0,0,4,1
1427,9,30000,0,0,4,1
1428,9,30000,0,0,4,1
1429,9,30000,0,0,4,1
1430,9,30000,0,0,4,1
1431,9,30000,0,0,57,1
1432,9,30000,0,0,5,1
1433,9,30000,0,0,56,1
1434,9,30000,0,0,57,1
1435,9,30000,0,0,20,1
1500,9,30000,0,0,6,50000
1501,9,30000,0,0,6,50000
1502,9,30000,0,0,6,50000
1503,9,30000,0,0,6,50000
1504,9,30000,0,0,6,50000
1505,9,30000,0,0,6,50000
1506,9,30000,0,0,6,50000
1507,9,30000,0,0,6,50000
1508,9,30000,0,0,6,50000
1509,9,30000,0,0,2,1
1510,9,30000,0,0,2,1
1511,9,30000,0,0,2,1
1512,9,30000,0,0,2,1
1513,9,30000,0,0,2,1
1514,9,30000,0,0,5,1
1515,9,30000,0,0,5,1
1516,9,30000,0,0,20,1
1517,9,30000,0,0,55,1
1518,9,30000,0,0,55,1
1519,9,30000,0,0,3,1
1520,9,30000,0,0,3,1
1521,9,30000,0,0,3,1
1522,9,30000,0,0,0,1
1523,9,30000,0,0,0,1
1524,9,30000,0,0,0,1
1525,9,30000,0,0,4,1
1526,9,30000,0,0,56,1
1527,9,30000,0,0,4,1
1528,9,30000,0,0,4,1
1529,9,30000,0,0,4,1
1530,9,30000,0,0,5,1
1531,9,30000,0,0,5,1
1532,9,30000,0,0,57,1
1533,9,30000,0,0,4,1
1534,9,30000,0,0,1,1
1535,9,30000,0,0,20,1
1600,9,30000,0,0,6,60000
1601,9,30000,0,0,6,60000
1602,9,30000,0,0,6,60000
1603,9,30000,0,0,6,60000
1604,9,30000,0,0,6,60000
1605,9,30000,0,0,6,60000
1606,9,30000,0,0,6,60000
1607,9,30000,0,0,6,60000
1608,9,30000,0,0,55,1
1609,9,30000,0,0,55,1
1610,9,30000,0,0,55,1
1611,9,30000,0,0,2,1
1612,9,30000,0,0,2,1
1613,9,30000,0,0,5,1
1614,9,30000,0,0,5,1
1615,9,30000,0,0,2,1
1616,9,30000,0,0,2,1
1617,9,30000,0,0,2,1
1618,9,30000,0,0,1,1
1619,9,30000,0,0,20,1
1620,9,30000,0,0,3,1
1621,9,30000,0,0,3,1
1622,9,30000,0,0,3,1
1623,9,30000,0,0,0,1
1624,9,30000,0,0,0,1
1625,9,30000,0,0,0,1
1626,9,30000,0,0,4,1
1627,9,30000,0,0,4,1
1628,9,30000,0,0,4,1
1629,9,30000,0,0,4,1
1630,9,30000,0,0,5,1
1631,9,30000,0,0,5,1
1632,9,30000,0,0,56,1
1633,9,30000,0,0,57,1
1634,9,30000,0,0,57,1
1635,9,30000,0,0,20,1
1700,9,30000,0,0,6,70000
1701,9,30000,0,0,6,70000
1702,9,30000,0,0,6,70000
1703,9,30000,0,0,6,70000
1704,9,30000,0,0,6,70000
1705,9,30000,0,0,6,70000
1706,9,30000,0,0,6,70000
1707,9,30000,0,0,6,70000
1708,9,30000,0,0,6,70000
1709,9,30000,0,0,55,1
1710,9,30000,0,0,55,1
1711,9,30000,0,0,55,1
1712,9,30000,0,0,2,1
1713,9,30000,0,0,2,1
1714,9,30000,0,0,5,1
1715,9,30000,0,0,5,1
1716,9,30000,0,0,2,1
1717,9,30000,0,0,2,1
1718,9,30000,0,0,1,1
1719,9,30000,0,0,20,1
1720,9,30000,0,0,2,1
1721,9,30000,0,0,3,1
1722,9,30000,0,0,3,1
1723,9,30000,0,0,3,1
1724,9,30000,0,0,0,1
1725,9,30000,0,0,0,1
1726,9,30000,0,0,0,1
1727,9,30000,0,0,56,1
1728,9,30000,0,0,4,1
1729,9,30000,0,0,4,1
1730,9,30000,0,0,4,1
1731,9,30000,0,0,5,1
1732,9,30000,0,0,5,1
1733,9,30000,0,0,4,1
1734,9,30000,0,0,57,1
1735,9,30000,0,0,20,1
1800,9,30000,0,0,56,1
1801,9,30000,0,0,56,1
1802,9,30000,0,0,57,1
1803,9,30000,0,0,6,85000
1804,9,30000,0,0,6,85000
1805,9,30000,0,0,6,85000
1806,9,30000,0,0,6,85000
1807,9,30000,0,0,6,85000
1808,9,30000,0,0,6,85000
1809,9,30000,0,0,6,85000
1810,9,30000,0,0,6,85000
1811,9,30000,0,0,6,85000
1812,9,30000,0,0,55,1
1813,9,30000,0,0,55,1
1814,9,30000,0,0,55,1
1815,9,30000,0,0,2,1
1816,9,30000,0,0,2,1
1817,9,30000,0,0,2,1
1818,9,30000,0,0,2,1
1819,9,30000,0,0,4,1
1820,9,30000,0,0,1,1
1821,9,30000,0,0,4,1
1822,9,30000,0,0,4,1
1823,9,30000,0,0,4,1
1824,9,30000,0,0,5,1
1825,9,30000,0,0,5,1
1826,9,30000,0,0,3,1
1827,9,30000,0,0,3,1
1828,9,30000,0,0,3,1
1829,9,30000,0,0,0,1
1830,9,30000,0,0,0,1
1831,9,30000,0,0,0,1
