增加金錢吧！|只要按左下方的按鈕|就會加快金錢增加的速度！|＠|增加金錢吧！|金錢的最大值也會增加|對戰鬥很有利唷！|＠||||||||
角色的生產|快來生產角色吧！|點選下方的圖示吧！|＠|角色的生產|生產出來的角色會自動地|攻擊敵人和城堡唷！|不斷地存錢來生產角色吧！|＠|||||||
貓咪砲發射！|按下方的按鈕可以從城堡發動雷射攻擊！|射程範圍可至城堡圖示的位置！|讓敵人聚集到射程內一口氣打倒他們吧！|＠|||||||||||
成員切換！|隊伍角色增加到6個以上時|會新增到隊伍後排|像下面這樣上下滑動即可切換！|＠|||||||||||
你相信神的奇蹟嗎？|按上方的按鈕，神就會來幫助你！|危急的時候可以借助神的力量！|＠||||||||||||
善用道具吧！|這邊是使用中的戰鬥道具！|按下圖示後，即使在戰鬥中|也可切換ON・OFF|＠|||||||||||
隊伍編成 其1|從畫面下方「長按」想使用的角色|拖曳到畫面上方的|出陣列表中！|隊伍編成 其2|選擇並「長按」出陣列表中的角色|可以變更角色的排序|也可以在畫面下方將角色移除！|＠|||||||
道具的使用方法|想使用已購買之道具時|請選擇下方的道具圖示！|注意：只能在戰鬥開始前選擇|＠|||||||||||
關於貓罐頭 其1|貓罐頭是可以透過付費之類方法取得的|特別道具|＠|關於貓罐頭 其2|點擊畫面下方帶有＋的圖示|隨時可以購買貓罐頭。|※購買貓罐頭時需要連接網路|＠|||||||
初次降臨！神的宣傳活動|一般情況下召喚神的力量需要貓罐頭|但是只有這次可以免費體驗神的力量！|按這個圖案或者輕點螢幕吧！|＠|||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠||||||||||||
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
|||＠|＠|＠|＠|＠|＠|＠|＠|
關於角色表示畫面|在暫停畫面的選項更改設定|就可以讓角色們以2列表示喔！|＠|＠|＠|＠|＠|＠|＠|＠|
