スタンプ 1個目のプレゼント<br>「スピードアップ＋4」をゲットした！！	1日目
スタンプ 2個目のプレゼント<br>「ネコボン＋4」をゲットした！！	2日目
スタンプ 3個目のプレゼント<br>「トレジャーレーダー＋2」をゲットした！！	3日目
スタンプ 4個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	4日目
スタンプ 5個目のプレゼント<br>「レアチケット＋1」をゲットした！！	5日目
スタンプ 6個目のプレゼント<br>「おかめはちもく＋2」をゲットした！！	6日目
スタンプ 7個目のプレゼント<br>「スニャイパー＋2」をゲットした！！	7日目
スタンプ 8個目のプレゼント<br>「レアチケット＋1」をゲットした！！	8日目
スタンプ 9個目のプレゼント<br>「ニャンピューター＋4」をゲットした！！	9日目
スタンプ 10個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	10日目
スタンプ 11個目のプレゼント<br>「レアチケット＋1」をゲットした！！	11日目
スタンプ 12個目のプレゼント<br>「トレジャーレーダー＋2」をゲットした！！	12日目
スタンプ 13個目のプレゼント<br>「スピードアップ＋4」をゲットした！！	13日目
スタンプ 14個目のプレゼント<br>「レアチケット＋1」をゲットした！！	14日目
スタンプ 15個目のプレゼント<br>「ネコボン＋4」をゲットした！！	15日目
スタンプ 16個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	16日目
スタンプ 17個目のプレゼント<br>「レアチケット＋1」をゲットした！！	17日目
スタンプ 18個目のプレゼント<br>「おかめはちもく＋2」をゲットした！！	18日目
スタンプ 19個目のプレゼント<br>「スニャイパー＋3」をゲットした！！	19日目
スタンプ 20個目のプレゼント<br>「レアチケット＋1」をゲットした！！	20日目
スタンプ 21個目のプレゼント<br>「ニャンピューター＋4」をゲットした！！	21日目
スタンプ 22個目のプレゼント<br>「にゃんこチケット＋2」をゲットした！！	22日目
スタンプ 23個目のプレゼント<br>「レアチケット＋1」をゲットした！！	23日目
スタンプ 24個目のプレゼント<br>「トレジャーレーダー＋2」をゲットした！！	24日目
スタンプ 25個目のプレゼント<br>「おかめはちもく＋2」をゲットした！！	25日目
スタンプ 26個目のプレゼント<br>「レアチケット＋1」をゲットした！！	26日目
スタンプ 27個目のプレゼント<br>「スニャイパー＋3」をゲットした！！	27日目
スタンプ 28個目のプレゼント<br>「トレジャーレーダー＋2」をゲットした！！	28日目
スタンプ 29個目のプレゼント<br>「おかめはちもく＋2」をゲットした！！	29日目
スタンプ 30個目のプレゼント<br>「金塊ネコ」をゲットした！！	30日目
