萬聖節快樂！第1天<br>恭喜獲得「傳說的靈魂＋1」！！	第1天	//ログイン1日目獲得文章
萬聖節快樂！第2天<br>恭喜獲得「傳說的靈魂＋1」！！	第2天	//ログイン2日目獲得文章
萬聖節快樂！第3天<br>恭喜獲得「傳說的靈魂＋1」！！	第3天	//ログイン3日目獲得文章
萬聖節快樂！第4天<br>恭喜獲得「傳說的靈魂＋1」！！	第4天	//ログイン4日目獲得文章
萬聖節快樂！第5天<br>恭喜獲得「貓咪券＋1」！！	第5天	//ログイン5日目獲得文章
萬聖節快樂！第6天<br>恭喜獲得「傳說的靈魂＋1」！！	第6天	//ログイン6日目獲得文章
萬聖節快樂！第7天<br>恭喜獲得「傳說的靈魂＋1」！！	第7天	//ログイン7日目獲得文章
萬聖節快樂！第8天<br>恭喜獲得「傳說的靈魂＋1」！！	第8天	//ログイン8日目獲得文章
萬聖節快樂！第9天<br>恭喜獲得「傳說的靈魂＋1」！！	第9天	//ログイン9日目獲得文章
萬聖節快樂！第10天<br>恭喜獲得「貓咪券＋1」！！	第10天	//ログイン10日目獲得文章
萬聖節快樂！第11天<br>恭喜獲得「傳說的靈魂＋1」！！	第11天	//ログイン11日目獲得文章
萬聖節快樂！第12天<br>恭喜獲得「傳說的靈魂＋1」！！	第12天	//ログイン12日目獲得文章
萬聖節快樂！第13天<br>恭喜獲得「傳說的靈魂＋1」！！	第13天	//ログイン13日目獲得文章
萬聖節快樂！第14天<br>恭喜獲得「傳說的靈魂＋1」！！	第14天	//ログイン14日目獲得文章
萬聖節快樂！第15天<br>恭喜獲得「稀有券＋1」！！	第15天	//ログイン15日目獲得文章
萬聖節快樂！第16天<br>恭喜獲得「傳說的靈魂＋1」！！	第16天	//ログイン16日目獲得文章
萬聖節快樂！第17天<br>恭喜獲得「傳說的靈魂＋1」！！	第17天	//ログイン17日目獲得文章
萬聖節快樂！第18天<br>恭喜獲得「傳說的靈魂＋1」！！	第18天	//ログイン18日目獲得文章
