			0	20	5	200	0
		タイムオーバーのようにゃ<br>ここまで付き合ってくれて<br>ありがとうにゃ<br>プレゼントあげるにゃ！	0	20	5	
1	0	祝！！にゃんこ大戦争<br>世界累計5000万<br>ダウンロード達成にゃ！<br>ちょっとお話するにゃ！	2			
2	0	いつも遊んでくれて<br>ありがとにゃ！	3			
3	0	5000万ダウンロード記念<br>ということで<br>プレゼントがあるらしいにゃ！	4			
4	0	実は吾輩も中身を聞かされてなくて<br>プレゼントの中身がなんなのか<br>当てられたらたくさんくれる<br>ってえらい人が言ってたにゃ！	5
5	0	がんばって当てるから<br>一緒に考えてもらっても<br>いいにゃ？	6	30	
6	0	にゃんこからの一生に一度の<br>お願いにゃ	7	31		
7	0	ということで<br>中身を知っていると噂の<br>タンクネコに聞いてきたにゃ	8			
8	0	なんでもタンクネコが言うには<br>プレゼントの中身は自動的に<br>戦ってくれる便利アイテム<br>らしいのにゃ	9			
9	0	なるほど、わかったにゃ！<br>それはニャンピュータしかないにゃ！	10			
10	0	プレゼントはニャンピュータにゃ<br>そうおもうにゃ？	11	40		
11	0	でもタンクネコが言うには<br>ものすごく高性能な<br>スーパーアイテムとも言ってたにゃ	12			
12	0	じゃニャンピュータじゃ<br>ないにゃー！	13
13	0	ニャンピュータは<br>ネコ並みの頭脳にゃ<br>低性能が売りのアイテムにゃ	14	
14	0	敵が迫ってきて城を攻撃されても<br>出撃しないノンビリな性能にゃ	15
15	0	でもタンクネコが言うには<br>ネーミングがそのまんまの<br>アイテムらしいのにゃ	16
16	0	だったらニャンピュータ<br>しかないにゃ～！	17
17	0	ネコ並みの頭脳のコンピュータ<br>だから<br>「ニャンピュータ」<br>そのままにゃ！	18
18	0	それは絶対ニャンピュータしか<br>ないにゃ、そう思うにゃ？	19	50		
19	0	あ、あとタンクネコが言ってたのは<br>すごく役に立つアイテム<br>らしいにゃ	20		
20	0	じゃ、ニャンピュータ<br>じゃないにゃー	21
21	0	手動でやるほうがうまくいくにゃ<br>ちょっとテレビに気を取られて<br>たりするとだいたい<br>敗北になってるにゃ	22
22	0	うーん	23
