Anmeldestempel Nr. 1!<br>Du erhältst 1 seltenes Ticket!	Tag 1	//ログイン1日目獲得文章
Anmeldestempel Nr. 2!<br>Du erhältst 1 Katzenticket!	Tag 2	//ログイン2日目獲得文章
Anmeldestempel Nr. 3!<br>Du erhältst 5 Beschleuniger!	Tag 3	//ログイン3日目獲得文章
Anmeldestempel Nr. 4!<br>Du erhältst 555 XP!	Tag 4	//ログイン4日目獲得文章
Anmeldestempel Nr. 5!<br>Du erhältst die Münzenkatze!	Tag 5	//ログイン5日目獲得文章
Anmeldestempel Nr. 6!<br>Du erhältst 1 seltenes Ticket!	Tag 6	//ログイン6日目獲得文章
Anmeldestempel Nr. 7!<br>Du erhältst 1 Katzenticket!	Tag 7	//ログイン7日目獲得文章
Anmeldestempel Nr. 8!<br>Du erhältst 5 reiche Katzen!	Tag 8	//ログイン8日目獲得文章
Anmeldestempel Nr. 9!<br>Du erhältst 5.555 XP!	Tag 9	//ログイン9日目獲得文章
Anmeldestempel Nr. 10!<br>Du erhältst 1 seltenes Ticket!	Tag 10	//ログイン10日目獲得文章
Anmeldestempel Nr. 11!<br>Du erhältst 1 Katzenticket!	Tag 11	//ログイン11日目獲得文章
Anmeldestempel Nr. 12!<br>Du erhältst 5 Katzencomputer!	Tag 12	//ログイン12日目獲得文章
Anmeldestempel Nr. 13!<br>Du erhältst 55.555 XP!	Tag 13	//ログイン13日目獲得文章
Anmeldestempel Nr. 14!<br>Du erhältst 1 seltenes Ticket!	Tag 14	//ログイン14日目獲得文章
Anmeldestempel Nr. 15!<br>Du erhältst 1 Katzenticket!	Tag 15	//ログイン15日目獲得文章
Anmeldestempel Nr. 16!<br>Du erhältst 5 Katzenschützen!	Tag 16	//ログイン16日目獲得文章
Anmeldestempel Nr. 17!<br>Du erhältst 5 Katzenarbeit!	Tag 17	//ログイン17日目獲得文章
Anmeldestempel Nr. 18!<br>Du erhältst 1 seltenes Ticket!	Tag 18	//ログイン18日目獲得文章
Anmeldestempel Nr. 19!<br>Du erhältst 1 Katzenticket!	Tag 19	//ログイン19日目獲得文章
