Verbesserungen wurden freigeschaltet!|Tippe in der Katzenbasis auf Verbesserungen!||Schalte Katzeneinheiten vor dem Kampf frei!|＠|
Das Teamauswahl-Menü ist freigeschaltet!|Jetzt kannst du deine Katzen für den|Kampf besser organisieren.|＠||
Das Schatz-Menü ist freigeschaltet!|Hol dir Katzenschätze und aktiviere|Katzenschatz-Boni!|＠||
Die Feindefibel wurde freigeschaltet!|Hier kannst du alles über bislang|aufgetauchte Gegner nachlesen.|＠||
Der Shop ist eröffnet!|Du kannst hier viele nützliche|Gegenstände für den Kampf kaufen!|＠||
Der Futterladen ist eröffnet!|Greife im Hauptmenü auf ihn zu.|＠|||
Gott hat uns seine Kraft gewährt!|Du kannst nun im Kampf nach Gott rufen!|＠|||
Du hast das Katzenkompendium freigeschaltet!|Inspiziere und sortiere alle|deine Katzen!|＠||
Gamatoto wurde freigeschaltet!|Schick die Katzen auf Expeditionen und|sammle verschiedene Belohnungen!|＠||
Neue Gegenstände im Shop!|Kaufe Katzamin und verkürze|die Gamatoto-Expedition!|＠||
Erhöhe deine Stufengrenze!|Nutze ein Katzenauge für Katzen|und schalte höhere Stufen frei!|＠||
Katzenfrucht-Lager freigeschaltet!|Schau dir die Katzenfrucht und Kerne|an, die du gesammelt hast!|＠||
Du kannst nun Kämpfe aufnehmen und teilen!|Nutze die Auto-Aufnahme für epische Kämpfe|in den Einstellungen durch Antippen von AN.|Die Aufnahme endet automatisch am Kampfende.|＠|
Du kannst jetzt Videos anderer Spieler ansehen!|Nutze Einstellungen im Startbildschirm|und suche nach The Battle Cats-Medien.|＠||
Das Katzenkrallendojo ist geöffnet!|Teste in der Halle der Initianden|die Fertigkeiten deiner Katzen!|＠||
