0|เพิ่มเลเวลแมวของคุณ|เพื่อพาวเวอร์อัปให้พวกมันและ|ปราบพวกตัวร้ายได้อย่างง่ายดาย!|＠|＠
0|ลองเล่นด่านก่อนๆ เพื่อรับ XP เพิ่มขึ้น!|ใช้ XP เพื่ออัปเกรดแมวของคุณ!|＠|＠|＠
0|ถ้าเล่นยังไงก็ไม่ชนะ|ไปล่าสมบัติ! กลับไปเล่นด่าน|ที่เคยเล่นมาแล้ว เพื่อเก็บเซ็ตสมบัติ|และปลดล็อกโบนัสพลัง!|＠
1|ใช้งานแมวราคาถูกเยอะๆ|เพื่อปกป้องแมวโจมตีระยะไกลของคุณ|สู้โดยใช้กึ๋น|และชัยชนะจะเป็นของคุณแน่นอน!|＠
2|เวลาเข้าตาจน คุณสามารถ|หันไปพึ่งอุ้งมือพระเจ้าแมวได้เสมอ!|＠|＠|＠
3|ใช้ไอเทมปลดล็อกศักยภาพ|ที่ซ่อนอยู่ของกองทัพแมวของคุณ!|ได้ไอเทมเป็นรางวัลจาก|ด่านรายวันในด่านตำนาน!|＠
4|โบนัสสมบัติแมวที่คุณเปิดใช้งาน|ในบทที่ 1 ยังคงมีผลอยู่ในบทที่ 2!|ถ้าคุณเข้าตาจน|เก็บสมบัติและอัปเกรดแมวของคุณ!|＠
5|สมบัติระดับด้อยให้โบนัสเพียง|เล็กน้อยเท่านั้น... เก็บระดับดีเลิศ|มาให้ได้ทั้งหมด! ใช้พลังงานพิเศษนั้น|ล่าสมบัติที่ดีที่สุดมาให้ได้!|＠
5|แมวที่โจมตีพื้นที่เก่งกับ|ศัตรูที่อ่อนแอหลายๆ ตัว|ใช้แมวพิเศษให้ชำนาญ!|โดยเฉพาะแมวที่โจมตีพื้นที่!|＠
6|อัปเกรดยูนิตปกติให้เป็นร่างที่แท้จริง|เพื่อเสริมพลังการทำศึกของมัน|รับตั๋วแมวและอัปเกรดยูนิตของคุณ|ให้ไปสู่ศักยภาพสูงสุด!|＠
7|ศัตรูเอเลี่ยนแข็งแกร่งอย่างเหลือเชื่อ!|เคลียร์บทต่างๆ ของจักรวรรดิแมว|ให้ XP และสมบัติที่สามารถ|ช่วยให้คุณบดขยี้ผู้บุกรุกได้!|＠
8|โบนัสสมบัติแมวที่คุณเปิดใช้งาน|ในจักรวรรดิแมวยังคงมีประสิทธิภาพใน|สู่อนาคต! เก็บสมบัติระดับเลิศ|เพื่อได้เอฟเฟกต์อย่างเต็มที่!|＠
9|เพิ่มอันดับผู้ใช้ เพื่อเปิดเลเวลที่สูงขึ้น|ให้กับยูนิตแมวของคุณ!|อันดับผู้ใช้ที่สูงขึ้นจะมอบ|ศักยภาพสูงสุดให้กับแมวของคุณ!|＠
10|ไม่ใครไม่เคยแพ้มาก่อนในชีวิต...|แต่รีบลุกกลับมาให้ได้ ด้วยการ|เก็บสมบัติ! ลองใช้คอมโบแมว|เพื่อเสริมกองกำลังของคุณ!|＠
11|แตะที่กรอบคำพูดในฐานทัพแมว|เพื่อดูเคล็ดลับมีประโยชน์อื่นๆ|และกลเม็ดที่ใช้ได้ในเกม!!|＠|＠
11|โจมตีคริติคอลมีประสิทธิภาพสุดๆ|ต่อศัตรูประเภทโลหะ!|เปิดคู่มือแมวดูว่ายูนิตไหน|มีโอกาสโจมตีคริติคอลสูง!|＠
12|อย่าลืมอัปเกรดแมวพื้นฐานควบคู่กับ|แมวประเภทแรร์! ทำให้แมวทั้งหมด|ของคุณทรงพลัง... คุณไม่รู้หรอกว่า|ประเภทไหนจะเข้ามามีประโยชน์!|＠
13|คุณสามารถรับประสบการณ์มากมาย|ในเรื่องราวแห่งตำนาน!|ลองเล่นด่านที่เคลียร์แล้วอีกครั้ง|เพื่อสะสม XP รวมเพิ่มขึ้น!|＠
14|สายสัมพันธ์ระหว่างมาโดกะเล็ก|และโฮมูระเล็กอาจเปลี่ยนชะตาของคุณ|＠|＠|＠
15|แมวแห่งห้วงอวกาศมี|ศัตรูที่ประหลาดยิ่งกว่านี้อีก!|รับสมบัติใหม่และ|ต่อสู้ป้องกันภัยต่อห้วงอวกาศ!|＠
16|สมบัติประหลาดที่มีเอฟเฟกต์พิเศษ|ไม่เหมือนใคร นอนรออยู่ในอวกาศ...|เก็บสมบัติเหล่านั้นมาเพื่อชัยชนะ!|＠|＠
17|ความสามารถ "นักทะลวงบาเรีย"|มีประสิทธิภาพสุดๆ ในการต้านทาน|บาเรียของศัตรู อย่าลืม|เก็บสะสมแมวที่มีทักษะนั้น!|＠
18|ทักษะ "ตัวบล็อกวาร์ป" สามารถ|ต้านทานการโจมตีวาร์ปของศัตรู|ได้โดยง่าย อย่าลืมรวมพันธมิตร|ที่มีพลังนั้นเข้าไปในกองทัพของคุณ!|＠
19|ทักษะ "ตัวบล็อกวาร์ป" สามารถ|ต้านทานการโจมตีวาร์ปของศัตรู|ได้โดยง่าย อย่าลืมรวมพันธมิตร|ที่มีพลังนั้นเข้าไปในกองทัพของคุณ!|＠
20|บาเรียศัตรูจะบล็อกการโจมตีใดก็ตาม|ที่มีพลังน้อยกว่าพลังของบาเรีย|เตรียมแมวที่แข็งแกร่งที่สุด|ให้พร้อมรับมือกับมัน!|＠
21|บาเรียศัตรูจะบล็อกการโจมตีใดก็ตาม|ที่มีพลังน้อยกว่าพลังของบาเรีย|เตรียมแมวที่แข็งแกร่งที่สุด|ให้พร้อมรับมือกับมัน!|＠
22|เอเลี่ยนดวงดาวแข็งแกร่งมวากกก!|เก็บสมบัติเหล่านั้นมาและสั่งสม|พลังต้านเอเลี่ยนดาวของคุณ!|＠|＠
23|บาเรียทำแผนของคุณพังได้|เว้นแต่ว่าคุณจะเตรียม|นักทะลวงบาเรียให้พร้อม! คิดก่อนสู้!|＠|＠
24|สมบัติประหลาดที่มีเอฟเฟกต์พิเศษ|ไม่เหมือนใคร นอนรออยู่ในอวกาศ...|เก็บสมบัติเหล่านั้นมาเพื่อชัยชนะ!|＠|＠
25|สมบัติประหลาดที่มีเอฟเฟกต์พิเศษ|ไม่เหมือนใคร นอนรออยู่ในอวกาศ...|เก็บสมบัติเหล่านั้นมาเพื่อชัยชนะ!|＠|＠
26|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
26|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
26|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
27|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
27|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
27|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
28|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
28|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
28|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
29|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
29|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
29|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
30|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
30|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
30|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
31|ด่านจำกัดบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
31|เพื่ออัปแมวของคุณด้วย XP จากนั้น|สร้างทัพแมวที่สามารถปะทะกับ|ศัตรูประเภทต่างๆ ที่พบในด่านนี้!|＠|＠
31|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
32|ด่านไซโคลนบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
32|เมื่อต้องต่อสู้กับศัตรูที่คุณสมบัติ|เลือกแมวที่ต้านทานประเภทนั้นๆ ได้!|และคุณจะกลายเป็นมือโปรในไม่ช้า!|＠|＠
32|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
33|ด่านไซโคลนบางด่านสามารถ|ขอท้าทายเล่นได้ในส่วนหนึ่งของ|ซีรีส์ด่านวิตาเมี้ยว!|＠|＠
33|เมื่อต้องต่อสู้กับศัตรูที่คุณสมบัติ|เลือกแมวที่ต้านทานประเภทนั้นๆ ได้!|และคุณจะกลายเป็นมือโปรในไม่ช้า!|＠|＠
33|การเพิ่มเลเวลแมว จะอัปเกรดพลัง|การต่อสู้ เพื่อที่พวกมันจะสามารถ|กำจัดได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด!|＠|＠
