【世界篇1章】	取得世界篇1章全部的"最棒的寶物"
【世界篇2章】	取得世界篇2章全部的"最棒的寶物"
【世界篇3章】	取得世界篇3章全部的"最棒的寶物"
【奪還世界Ⅰ】	通過世界篇1章全部的"不死生物感染關卡"
【奪還世界Ⅱ】	通過世界篇2章全部的"不死生物感染關卡"
【奪還世界Ⅲ】	通過世界篇3章全部的"不死生物感染關卡"
【未來篇1章】	取得未來篇1章全部的"最棒的寶物"
【未來篇2章】	取得未來篇2章全部的"最棒的寶物"
【未來篇3章】	取得未來篇3章全部的"最棒的寶物"
【奪還未來Ⅰ】	通過未來篇1章全部的"不死生物感染關卡"
【奪還未來Ⅱ】	通過未來篇2章全部的"不死生物感染關卡"
【宇宙篇1章】	取得宇宙篇1章全部的"最棒的寶物"
【宇宙篇2章】	取得宇宙篇2章全部的"最棒的寶物"
【宇宙篇3章】	取得宇宙篇3章全部的"最棒的寶物"
【擊破侵略者】	通過"議事阻撓貓關卡"
【傳說的貓咪Ⅰ】	通過傳奇故事<br>全部的"關卡等級1關卡"
【傳說的貓咪Ⅱ】	通過傳奇故事<br>全部的"關卡等級2關卡"
【傳說的貓咪Ⅲ】	通過傳奇故事<br>全部的"關卡等級3關卡"
【赤色旋風】	通過"紅色突變"
【暗黑旋風】	通過"黑暗天堂"
【白金旋風】	通過"國士無雙"
【天使旋風】	通過"天譴"
【鋼鐵旋風】	通過"鐵子的部屋"
【宇宙旋風】	通過"絕望異次元"
【猛烈旋風】	通過"緊急暴風警報"
【D旋風】	通過"滾死樂團"
【異次元旋風】	通過"絕望新次元"
【古代旋風】	通過"零號颱風"
【天使降臨】	通過"斷罪天使海蝶降臨"
【地獄門】	通過"地獄門"
【女帝飛來】	通過"女帝飛來"
【亡者降臨】	通過"亡者肥普降臨"
【伯爵降臨】	通過"吉娃娃伯爵降臨"
【少女做夢吧】	通過"春宵苦短，少女做夢吧！"
【河豚星球】	通過"藍色衝擊"
【討伐狂亂】	通過全部的"狂亂關卡"
【討伐大狂亂】	通過全部的"大狂亂關卡"
【討伐小小貓】	通過全部的"開眼小小貓關卡"
【新年】	通過"新年快樂？"
【節分】	通過"被召喚的福！"
【女兒節】	通過"人偶架上的戰士們"
【青春】	通過"春天來了!高校教師 "
【戀愛至上】	通過"相思病戀歌"
【結婚】	通過"禁斷之妻"
【真夏】	通過"因為夏天喵！"
【歸鄉】	通過"返鄉熱潮！"
【敬老】	通過"在鎮上看到的超強老人"
【運動會】	通過"秋天運動會！"
【勞動】	通過"勞動感謝特別活動！"
【平安夜】	通過"聖誕節居然來了！"
【塔30樓】	通過"風雲貓咪塔30樓"
【塔40樓】	通過"風雲貓咪塔40樓"
【LEVEL FINAL】	通過"傳奇尋寶記的LEVEL FINAL"
【富豪Ⅰ】	突破"角色總生產額100萬元"
【富豪Ⅱ】	突破"角色總生產額500萬元"
【大富豪Ⅰ】	突破"角色總生產額1000萬元"
【大富豪Ⅱ】	突破"角色總生產額5000萬元"
【超富豪Ⅰ】	突破"角色總生產額1億元"
【超富豪Ⅱ】	突破"角色總生產額2億元"
【冒險家Ⅰ】	突破"加碼多多的探險時間1000小時"
【發明家Ⅰ】	開發"貓咪砲的主砲5個"
【等級提高Ⅰ】	到達"等級排行1000"
【精英夥伴Ⅰ】	發現"精英隊員1人"
【少女】	獲得"狼與少女"
【貓彈】	獲得"小戰士貓彈"
【咪娜】	獲得"貓紅帽咪娜"
【宮木武藏】	獲得"宮木武藏"
【貓騎士】	獲得"噴噴貓騎士"
【喵丸】	獲得"土偶喵丸 "
【奈落門】	通過"奈落門"
【古王妃飛來】	通過"古王妃飛來"
【聖者降臨】	通過"聖者波普降臨"
【暗沼幽靈】	通過"暗沼幽靈"
【烏爾斯】	獲得"巨狼與烏爾斯"
【狂亂家族】	通過"狂亂家族大亂鬥"
【綺羅星汪汪】	通過"綺羅星汪汪降臨"
【奪還未來Ⅲ】	通過未來篇3章全部的"不死生物感染關卡"
【死靈降臨】	通過"死靈妖精海蝶降臨"
【第一次的差事】	通過"第一次的差事"
【塔50樓】	通過"風雲貓咪塔50樓"
【春大集合】	通過"大亂鬪  春季特別活動"
【夏大集合】	通過"大亂鬪   夏季特別活動"
【秋大集合】	通過"大亂鬪   秋季特別活動"
【冬大集合】	通過"大亂鬪   冬季特別活動"
【春夏秋冬】	通過全部的"季節大集合"活動
【傳說的貓咪Ⅳ】	通過傳奇故事<br>全部的"關卡等級4關卡"
【擊破古代生命體】	通過"異弟關卡"
【破滅的序曲】	通過"破滅的序曲"
【多龍】	獲得古神面多龍
【惡魔旋風】	通過"大魔王"
【魔界】	通過"魔界篇"
【誘惑的交響曲】	通過"誘惑的交響曲"
【羅生門】	通過"羅生門"
【異界塔30樓】	通過"異界貓咪塔30樓"
【奪還宇宙Ⅰ】	通過宇宙篇1章全部的"不死生物感染關卡"
【納拉】	獲得"古獸納拉"
【超生命體 巨大斑海豹桑】	通過"巨大生物強襲"
【超生命體 巨象黑藏】	通過"巨象黑藏強襲"
【超生命體 巨蛾蛾蛾】	通過"巨蛾蛾蛾強襲"
【超生命體 巨大河馬星人】	通過"巨大河馬星人強襲"
【超生命體 巨大企鵝大哥Z】	通過"巨大企鵝大哥Z強襲"
【超生命體 特大號大天使】	通過"特大號大天使強襲"
【異界塔40樓】	通過"異界貓咪塔40樓"
【真・傳說的貓咪Ⅰ】	通過真傳奇故事<br>全部的"關卡等級1關卡"
【貓露薩】	獲得”猿人貓露薩”
【大魔王貓彈】	通過"大魔王貓彈大降臨"
【真・傳說的貓咪Ⅱ】	通過真傳奇故事<br>全部的"關卡等級2關卡"
【超生命體 巨大三惡魔】	通過"巨大三惡魔"
【三途沼澤之王】	通過”三途沼澤之王大降臨”
【奪還宇宙Ⅱ】	通過宇宙篇2章全部的"不死生物感染關卡"
【真・傳說的貓咪Ⅲ】	通過真傳奇故事<br>全部的"關卡等級3關卡"
【討伐超獸】	通過"甲普拉密林"、"亞蜥比沙漠"<br>和"將弗裂火山"的全部關卡
【討伐極惡貓咪】	通過全部的"極惡關卡"
【異界塔50樓】	通過"異界貓咪塔50樓"
【蘇拉格底】	獲得"論之賢者蘇拉格底"
【超生命體 大型陶器埴輪巨犬】	通過"大型陶器埴輪巨犬強襲"
【極惡家族】	通過"極惡家族大亂鬥"
【真・傳說的貓咪Ⅳ】	通過真傳奇故事<br>全部的"關卡等級4關卡"
【擊破神秘生命體】	通過"諾瓦關卡"
【超拳獸超派噴噴】	通過”超拳獸超派噴噴大降臨”
【最底層100樓】	通過"地底迷宮100樓"
【扭頓】	獲得”理之賢者扭頓”
【巨大生化魚鈴木】	通過”巨大生化魚鈴木大降臨”
